SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-12-21,HEA,CAV,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-23,HEA,RAP,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-27,HEA,HAW,HAW,1.75,0.333,1.0,0.333,0.0,0.0,0.0,0.333,1.0,0.333,0.667,0.667,1.0,0.0,0.333,0.333,1.0,0.333,0.0,0.0,0.0,1.667,2.233,3.333,0.644,0.5,1.0,0.667,0.0,20.9,10.7,100.0,10.9,0.0,0.0,37.7,152.0,74.0,50.9
2001-02,2001-12-28,HEA,GRI,HEA,1.312,0.25,0.75,0.333,0.0,0.0,0.0,0.25,0.75,0.333,0.5,0.5,1.0,0.0,0.25,0.25,0.75,0.25,0.0,0.0,0.0,1.25,1.675,2.5,0.644,0.5,1.0,0.667,0.0,20.9,10.7,100.0,10.9,0.0,0.0,37.7,152.0,74.0,50.9
2001-02,2001-12-30,HEA,PIS,PIS,1.05,0.2,0.6,0.333,0.0,0.0,0.0,0.2,0.6,0.333,0.4,0.4,1.0,0.0,0.2,0.2,0.6,0.2,0.0,0.0,0.0,1.0,1.34,2.0,0.644,0.5,1.0,0.667,0.0,20.9,10.7,100.0,10.9,0.0,0.0,37.7,152.0,74.0,50.9
2001-02,2001-12-31,HEA,PAC,PAC,0.875,0.167,0.5,0.333,0.0,0.0,0.0,0.167,0.5,0.333,0.333,0.333,1.0,0.0,0.167,0.167,0.5,0.167,0.0,0.0,0.0,0.833,1.117,1.667,0.644,0.5,1.0,0.667,0.0,20.9,10.7,100.0,10.9,0.0,0.0,37.7,152.0,74.0,50.9
2001-02,2002-01-04,HEA,CEL,CEL,2.546,0.143,0.857,0.167,0.0,0.429,0.0,0.143,0.429,0.333,0.429,0.571,0.75,0.0,0.286,0.286,0.571,0.143,0.0,0.286,0.429,0.857,0.429,-0.857,0.387,0.25,0.5,0.5,0.0,14.65,7.65,55.6,5.45,0.0,17.0,29.4,90.0,87.0,13.7
2001-02,2002-01-06,HEA,WAR,HEA,2.228,0.125,0.75,0.167,0.0,0.375,0.0,0.125,0.375,0.333,0.375,0.5,0.75,0.0,0.25,0.25,0.5,0.125,0.0,0.25,0.375,0.75,0.375,-0.75,0.387,0.25,0.5,0.5,0.0,14.65,7.65,55.6,5.45,0.0,17.0,29.4,90.0,87.0,13.7
2001-02,2002-01-08,HEA,NNE,NNE,1.98,0.111,0.667,0.167,0.0,0.333,0.0,0.111,0.333,0.333,0.333,0.444,0.75,0.0,0.222,0.222,0.444,0.111,0.0,0.222,0.333,0.667,0.333,-0.667,0.387,0.25,0.5,0.5,0.0,14.65,7.65,55.6,5.45,0.0,17.0,29.4,90.0,87.0,13.7
2001-02,2002-01-10,HEA,BLA,HEA,1.782,0.1,0.6,0.167,0.0,0.3,0.0,0.1,0.3,0.333,0.3,0.4,0.75,0.0,0.2,0.2,0.4,0.1,0.0,0.2,0.3,0.6,0.3,-0.6,0.387,0.25,0.5,0.5,0.0,14.65,7.65,55.6,5.45,0.0,17.0,29.4,90.0,87.0,13.7
2001-02,2002-01-12,HEA,SUN,SUN,1.62,0.091,0.545,0.167,0.0,0.273,0.0,0.091,0.273,0.333,0.273,0.364,0.75,0.0,0.182,0.182,0.364,0.091,0.0,0.182,0.273,0.545,0.273,-0.545,0.387,0.25,0.5,0.5,0.0,14.65,7.65,55.6,5.45,0.0,17.0,29.4,90.0,87.0,13.7
2001-02,2002-01-14,HEA,WAR,WAR,2.643,0.333,1.0,0.333,0.083,0.5,0.167,0.25,0.5,0.5,0.25,0.333,0.75,0.083,0.25,0.333,0.583,0.167,0.083,0.167,0.333,1.167,1.033,-1.0,0.509,0.458,0.5,0.25,2.2,12.933,7.7,54.467,4.867,1.7,11.333,25.567,112.0,95.0,17.033
2001-02,2002-01-16,HEA,LAK,LAK,2.44,0.308,0.923,0.333,0.077,0.462,0.167,0.231,0.462,0.5,0.231,0.308,0.75,0.077,0.231,0.308,0.538,0.154,0.077,0.154,0.308,1.077,0.954,-0.923,0.509,0.458,0.5,0.25,2.2,12.933,7.7,54.467,4.867,1.7,11.333,25.567,112.0,95.0,17.033
2001-02,2002-01-17,HEA,BLA,BLA,2.266,0.286,0.857,0.333,0.071,0.429,0.167,0.214,0.429,0.5,0.214,0.286,0.75,0.071,0.214,0.286,0.5,0.143,0.071,0.143,0.286,1.0,0.886,-0.857,0.509,0.458,0.5,0.25,2.2,12.933,7.7,54.467,4.867,1.7,11.333,25.567,112.0,95.0,17.033
2001-02,2002-01-19,HEA,PAC,HEA,2.115,0.267,0.8,0.333,0.067,0.4,0.167,0.2,0.4,0.5,0.2,0.267,0.75,0.067,0.2,0.267,0.467,0.133,0.067,0.133,0.267,0.933,0.827,-0.8,0.509,0.458,0.5,0.25,2.2,12.933,7.7,54.467,4.867,1.7,11.333,25.567,112.0,95.0,17.033
2001-02,2002-01-21,HEA,CAV,CAV,1.982,0.25,0.75,0.333,0.062,0.375,0.167,0.188,0.375,0.5,0.188,0.25,0.75,0.062,0.188,0.25,0.438,0.125,0.062,0.125,0.25,0.875,0.775,-0.75,0.509,0.458,0.5,0.25,2.2,12.933,7.7,54.467,4.867,1.7,11.333,25.567,112.0,95.0,17.033
2001-02,2002-01-22,HEA,BUL,HEA,2.679,0.529,1.059,0.5,0.235,0.588,0.4,0.294,0.471,0.625,0.176,0.235,0.75,0.059,0.235,0.294,0.471,0.118,0.059,0.118,0.412,1.529,1.294,-0.706,0.658,0.639,0.444,0.167,1.65,11.725,6.9,45.825,3.65,1.275,8.5,24.9,130.25,97.75,17.0
2001-02,2002-01-24,HEA,MAG,MAG,3.242,0.5,1.222,0.409,0.222,0.611,0.364,0.278,0.611,0.455,0.167,0.222,0.75,0.056,0.278,0.333,0.667,0.222,0.056,0.278,0.444,1.444,1.161,-0.389,0.547,0.523,0.5,0.136,1.32,11.18,6.56,45.34,4.54,1.02,15.38,25.24,110.4,93.6,11.26
2001-02,2002-01-26,HEA,NNE,HEA,3.072,0.474,1.158,0.409,0.211,0.579,0.364,0.263,0.579,0.455,0.158,0.211,0.75,0.053,0.263,0.316,0.632,0.211,0.053,0.263,0.421,1.368,1.1,-0.368,0.547,0.523,0.5,0.136,1.32,11.18,6.56,45.34,4.54,1.02,15.38,25.24,110.4,93.6,11.26
2001-02,2002-01-28,HEA,JAZ,JAZ,3.029,0.45,1.2,0.375,0.2,0.65,0.308,0.25,0.55,0.455,0.15,0.2,0.75,0.05,0.25,0.3,0.6,0.2,0.05,0.25,0.4,1.3,0.975,-0.65,0.505,0.479,0.458,0.125,1.1,9.317,5.467,37.783,3.783,0.85,12.817,29.6,92.0,95.5,1.333
2001-02,2002-01-29,HEA,NUG,NUG,2.911,0.429,1.19,0.36,0.19,0.619,0.308,0.238,0.571,0.417,0.143,0.19,0.75,0.048,0.238,0.286,0.571,0.19,0.048,0.238,0.381,1.238,0.895,-0.619,0.486,0.46,0.48,0.12,0.943,7.986,4.686,32.386,3.243,0.729,10.986,31.886,78.857,100.429,-10.071
2001-02,2002-02-01,HEA,SPU,HEA,2.779,0.409,1.136,0.36,0.182,0.591,0.308,0.227,0.545,0.417,0.136,0.182,0.75,0.045,0.227,0.273,0.545,0.182,0.045,0.227,0.364,1.182,0.855,-0.591,0.486,0.46,0.48,0.12,0.943,7.986,4.686,32.386,3.243,0.729,10.986,31.886,78.857,100.429,-10.071
2001-02,2002-02-03,HEA,KNI,KNI,2.658,0.391,1.087,0.36,0.174,0.565,0.308,0.217,0.522,0.417,0.13,0.174,0.75,0.043,0.217,0.261,0.522,0.174,0.043,0.217,0.348,1.13,0.817,-0.565,0.486,0.46,0.48,0.12,0.943,7.986,4.686,32.386,3.243,0.729,10.986,31.886,78.857,100.429,-10.071
2001-02,2002-02-05,HEA,HAW,HEA,2.547,0.375,1.042,0.36,0.167,0.542,0.308,0.208,0.5,0.417,0.125,0.167,0.75,0.042,0.208,0.25,0.5,0.167,0.042,0.208,0.333,1.083,0.783,-0.542,0.486,0.46,0.48,0.12,0.943,7.986,4.686,32.386,3.243,0.729,10.986,31.886,78.857,100.429,-10.071
2001-02,2002-02-13,HEA,MAG,HEA,2.445,0.36,1.0,0.36,0.16,0.52,0.308,0.2,0.48,0.417,0.12,0.16,0.75,0.04,0.2,0.24,0.48,0.16,0.04,0.2,0.32,1.04,0.752,-0.52,0.486,0.46,0.48,0.12,0.943,7.986,4.686,32.386,3.243,0.729,10.986,31.886,78.857,100.429,-10.071
2001-02,2002-02-15,HEA,BUC,BUC,2.397,0.346,0.962,0.36,0.154,0.5,0.308,0.192,0.462,0.417,0.115,0.154,0.75,0.038,0.192,0.231,0.5,0.154,0.038,0.192,0.308,1.0,0.75,-0.385,0.486,0.46,0.48,0.12,0.825,6.988,4.1,40.838,2.838,0.638,9.612,27.9,95.875,102.25,-6.137
2001-02,2002-02-17,HEA,TIM,TIM,2.308,0.333,0.926,0.36,0.148,0.481,0.308,0.185,0.444,0.417,0.111,0.148,0.75,0.037,0.185,0.222,0.481,0.148,0.037,0.185,0.296,0.963,0.722,-0.37,0.486,0.46,0.48,0.12,0.825,6.988,4.1,40.838,2.838,0.638,9.612,27.9,95.875,102.25,-6.137
2001-02,2002-02-18,HEA,BUL,HEA,2.603,0.357,1.036,0.345,0.143,0.5,0.286,0.214,0.536,0.4,0.107,0.143,0.75,0.071,0.179,0.25,0.571,0.143,0.036,0.25,0.321,1.036,0.732,-0.357,0.471,0.448,0.517,0.103,1.789,6.211,4.278,41.567,2.522,0.567,12.244,27.589,93.667,103.111,-6.144
2001-02,2002-02-20,HEA,CLI,HEA,2.674,0.379,1.034,0.367,0.172,0.517,0.333,0.207,0.517,0.4,0.138,0.172,0.8,0.069,0.241,0.31,0.586,0.138,0.034,0.241,0.345,1.103,0.831,-0.31,0.497,0.467,0.5,0.133,1.61,10.92,6.67,40.2,2.27,0.51,11.02,26.2,105.9,101.9,-4.23
2001-02,2002-02-23,HEA,WIZ,WIZ,2.585,0.367,1.0,0.367,0.167,0.5,0.333,0.2,0.5,0.4,0.133,0.167,0.8,0.067,0.233,0.3,0.567,0.133,0.033,0.233,0.333,1.067,0.803,-0.3,0.497,0.467,0.5,0.133,1.61,10.92,6.67,40.2,2.27,0.51,11.02,26.2,105.9,101.9,-4.23
2001-02,2002-02-24,HEA,WIZ,HEA,2.502,0.355,0.968,0.367,0.161,0.484,0.333,0.194,0.484,0.4,0.129,0.161,0.8,0.065,0.226,0.29,0.548,0.129,0.032,0.226,0.323,1.032,0.777,-0.29,0.497,0.467,0.5,0.133,1.61,10.92,6.67,40.2,2.27,0.51,11.02,26.2,105.9,101.9,-4.23
2001-02,2002-02-27,HEA,76E,76E,2.423,0.344,0.938,0.367,0.156,0.469,0.333,0.188,0.469,0.4,0.125,0.156,0.8,0.062,0.219,0.281,0.531,0.125,0.031,0.219,0.312,1.0,0.753,-0.281,0.497,0.467,0.5,0.133,1.61,10.92,6.67,40.2,2.27,0.51,11.02,26.2,105.9,101.9,-4.23
2001-02,2002-02-28,HEA,KNI,HEA,2.514,0.333,0.97,0.344,0.152,0.485,0.312,0.182,0.485,0.375,0.121,0.152,0.8,0.061,0.212,0.273,0.515,0.121,0.03,0.212,0.364,0.97,0.664,-0.424,0.468,0.437,0.5,0.125,1.464,9.927,6.064,36.545,2.064,0.464,10.018,25.545,96.273,102.455,-6.409
2001-02,2002-03-02,HEA,MAV,MAV,2.476,0.324,0.941,0.344,0.147,0.471,0.312,0.176,0.471,0.375,0.118,0.147,0.8,0.059,0.206,0.265,0.5,0.118,0.029,0.206,0.382,0.941,0.632,-0.471,0.468,0.438,0.5,0.125,1.342,9.1,5.558,33.5,1.892,0.425,9.183,23.417,88.25,103.0,-7.917
2001-02,2002-04-12,HEA,MAG,HEA,2.465,0.314,0.971,0.324,0.143,0.514,0.278,0.171,0.457,0.375,0.114,0.143,0.8,0.057,0.2,0.257,0.486,0.114,0.029,0.2,0.371,0.914,0.574,-0.714,0.442,0.412,0.471,0.118,1.238,8.4,5.131,30.923,1.746,0.392,8.477,25.154,81.462,103.538,-11.008
2001-02,2002-04-14,HEA,KNI,HEA,2.396,0.306,0.944,0.324,0.139,0.5,0.278,0.167,0.444,0.375,0.111,0.139,0.8,0.056,0.194,0.25,0.472,0.111,0.028,0.194,0.361,0.889,0.558,-0.694,0.442,0.412,0.471,0.118,1.238,8.4,5.131,30.923,1.746,0.392,8.477,25.154,81.462,103.538,-11.008
2001-02,2002-04-16,HEA,CHO,HEA,2.756,0.297,1.054,0.282,0.135,0.541,0.25,0.162,0.514,0.316,0.108,0.189,0.571,0.054,0.189,0.243,0.459,0.162,0.027,0.297,0.378,0.865,0.362,-1.135,0.38,0.359,0.487,0.103,1.15,7.8,4.764,28.714,2.1,0.364,10.764,25.429,75.643,103.143,-11.95
2001-02,2002-04-17,HEA,MAG,MAG,2.684,0.289,1.026,0.282,0.132,0.526,0.25,0.158,0.5,0.316,0.105,0.184,0.571,0.053,0.184,0.237,0.447,0.158,0.026,0.289,0.368,0.842,0.353,-1.105,0.38,0.359,0.487,0.103,1.15,7.8,4.764,28.714,2.1,0.364,10.764,25.429,75.643,103.143,-11.95
