SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,WIZ,MAG,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,WIZ,CHO,CHO,19.285,2.0,6.5,0.308,1.5,5.5,0.273,0.5,1.0,0.5,0.5,1.0,0.5,0.0,1.5,1.5,2.0,0.0,0.0,2.5,1.5,5.0,-0.2,-6.0,0.36,0.346,0.154,0.077,0.0,8.8,4.7,18.1,0.0,0.0,26.5,22.0,63.0,104.0,-9.3
2000-01,2000-11-03,WIZ,KNI,WIZ,22.19,2.333,7.0,0.333,1.667,5.667,0.294,0.667,1.333,0.5,1.333,1.667,0.8,0.0,1.333,1.333,2.333,0.0,0.0,2.667,1.333,6.667,1.4,-0.667,0.431,0.381,0.19,0.19,0.0,6.4,3.6,18.3,0.0,0.0,25.45,22.1,76.0,99.0,-6.7
2000-01,2000-11-04,WIZ,RAP,RAP,26.775,3.25,9.25,0.351,2.25,7.0,0.321,1.0,2.25,0.444,2.0,2.75,0.727,0.0,1.5,1.5,2.75,0.5,0.25,2.5,1.25,9.5,4.075,0.5,0.454,0.405,0.243,0.216,0.0,6.167,3.333,19.0,0.9,0.667,20.2,22.933,82.0,97.0,-2.667
2000-01,2000-11-07,WIZ,BUL,BUL,29.384,4.2,11.0,0.382,2.8,8.4,0.333,1.4,2.6,0.538,2.2,2.8,0.786,0.2,1.4,1.6,2.8,0.8,0.2,2.4,1.8,12.0,6.08,1.0,0.491,0.445,0.236,0.2,0.675,5.425,3.225,17.3,1.3,0.5,17.5,23.025,88.75,100.0,-1.125
2000-01,2000-11-08,WIZ,NNE,WIZ,29.625,4.0,10.667,0.375,2.833,8.167,0.347,1.167,2.5,0.467,2.667,3.5,0.762,0.167,1.667,1.833,2.333,0.667,0.333,2.0,2.333,11.833,5.85,1.0,0.485,0.43,0.234,0.25,0.54,6.28,3.46,13.84,1.04,0.88,14.0,21.68,92.8,99.6,-2.0
2000-01,2000-11-10,WIZ,PAC,WIZ,29.943,3.571,10.286,0.347,2.571,7.714,0.333,1.0,2.571,0.389,2.714,3.571,0.76,0.143,2.0,2.143,2.286,0.714,0.286,2.0,2.286,10.857,5.043,-0.143,0.458,0.396,0.25,0.264,0.45,8.367,4.233,13.233,1.117,0.733,14.5,20.783,86.5,100.667,-3.567
2000-01,2000-11-11,WIZ,CAV,CAV,30.879,3.75,10.875,0.345,2.875,8.375,0.343,0.875,2.5,0.35,2.625,3.375,0.778,0.125,1.875,2.0,2.25,0.625,0.25,2.125,2.375,11.0,4.538,-0.875,0.445,0.385,0.23,0.241,0.386,7.614,3.857,13.143,0.957,0.629,14.7,21.343,83.714,101.0,-4.429
2000-01,2000-11-15,WIZ,CEL,CEL,32.244,3.889,11.0,0.354,3.0,8.444,0.355,0.889,2.556,0.348,2.667,3.333,0.8,0.222,1.889,2.111,2.444,0.556,0.333,2.222,2.444,11.333,4.944,-1.667,0.455,0.394,0.232,0.242,0.663,7.375,3.887,14.237,0.838,0.775,15.162,20.888,85.5,101.0,-3.837
2000-01,2000-11-16,WIZ,SPU,WIZ,33.043,4.4,11.5,0.383,3.4,8.8,0.386,1.0,2.7,0.37,3.2,3.9,0.821,0.2,1.7,1.9,2.5,0.8,0.3,2.2,2.7,13.0,6.56,-0.8,0.492,0.426,0.235,0.278,0.589,6.556,3.456,14.022,1.167,0.689,14.489,21.344,90.778,103.333,-2.978
2000-01,2000-11-18,WIZ,CEL,WIZ,33.705,4.455,11.545,0.386,3.273,8.727,0.375,1.182,2.818,0.419,3.091,3.727,0.829,0.182,1.727,1.909,2.545,1.0,0.273,2.273,2.909,13.182,6.809,-1.364,0.5,0.437,0.244,0.268,0.53,6.47,3.4,13.82,1.44,0.62,14.93,21.0,91.8,103.6,-2.53
