SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-11-04,NET,PEL,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,2019-11-08,NET,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,2019-11-10,NET,SUN,SUN,4.023,1.0,1.667,0.6,1.0,1.667,0.6,0.0,0.0,0.0,0.667,1.667,0.4,1.667,0.333,2.0,0.333,0.0,0.0,0.0,0.667,2.667,2.733,1.667,0.556,0.6,0.0,0.4,39.0,8.3,24.1,13.7,0.0,0.0,0.0,23.6,142.0,122.0,4.4
2019-20,2019-11-12,NET,JAZ,JAZ,6.018,1.25,1.75,0.714,1.25,1.75,0.714,0.0,0.0,0.0,0.5,1.25,0.4,1.5,0.5,2.0,0.75,0.0,0.0,0.0,0.75,3.0,3.4,1.25,0.652,0.714,0.0,0.286,24.25,8.8,16.75,17.95,0.0,0.0,0.0,15.25,175.0,126.5,5.4
2019-20,2019-11-14,NET,NUG,NUG,7.17,1.0,1.8,0.556,1.0,1.6,0.625,0.0,0.2,0.0,0.4,1.0,0.4,1.2,0.8,2.0,0.8,0.2,0.0,0.0,0.8,2.4,2.82,0.0,0.536,0.556,0.111,0.222,16.167,12.033,14.233,15.267,1.3,0.0,0.0,12.5,127.333,120.667,2.167
2019-20,2019-11-16,NET,BUL,BUL,8.737,1.0,2.0,0.5,1.0,1.5,0.667,0.0,0.5,0.0,0.333,0.833,0.4,1.0,1.167,2.167,0.667,0.167,0.0,0.0,0.667,2.333,2.55,-1.167,0.493,0.5,0.25,0.167,12.125,12.775,12.6,11.45,0.975,0.0,0.0,11.375,112.0,116.75,0.025
2019-20,2019-11-18,NET,PAC,NET,9.979,1.429,2.571,0.556,1.429,1.857,0.769,0.0,0.714,0.0,0.286,0.857,0.333,0.857,1.286,2.143,0.857,0.143,0.0,0.0,0.714,3.143,3.129,-0.429,0.533,0.556,0.278,0.111,9.7,12.34,11.22,12.96,0.78,0.0,0.0,12.14,114.2,115.6,0.04
2019-20,2019-11-20,NET,HOR,NET,10.569,1.25,2.375,0.526,1.25,1.75,0.714,0.0,0.625,0.0,0.375,1.0,0.375,0.75,1.25,2.0,0.875,0.125,0.125,0.0,0.625,2.875,2.938,-2.125,0.511,0.526,0.263,0.158,8.083,11.35,9.883,12.617,0.65,0.8,0.0,11.1,107.833,116.167,-0.867
2019-20,2019-11-22,NET,KIN,NET,9.394,1.111,2.111,0.526,1.111,1.556,0.714,0.0,0.556,0.0,0.333,0.889,0.375,0.667,1.111,1.778,0.778,0.111,0.111,0.0,0.556,2.556,2.611,-1.889,0.511,0.526,0.263,0.158,8.083,11.35,9.883,12.617,0.65,0.8,0.0,11.1,107.833,116.167,-0.867
2019-20,2019-11-24,NET,KNI,KNI,8.788,1.0,1.9,0.526,1.0,1.4,0.714,0.0,0.5,0.0,0.5,1.0,0.5,0.6,1.2,1.8,0.7,0.1,0.1,0.3,0.7,2.5,2.23,-1.9,0.534,0.526,0.263,0.263,6.929,19.529,13.557,10.814,0.557,0.686,11.043,16.6,99.429,112.857,-6.5
2019-20,2019-11-25,NET,CAV,CAV,7.989,0.909,1.727,0.526,0.909,1.273,0.714,0.0,0.455,0.0,0.455,0.909,0.5,0.545,1.091,1.636,0.636,0.091,0.091,0.273,0.636,2.273,2.027,-1.727,0.534,0.526,0.263,0.263,6.929,19.529,13.557,10.814,0.557,0.686,11.043,16.6,99.429,112.857,-6.5
2019-20,2019-11-27,NET,CEL,CEL,8.367,0.917,1.75,0.524,0.917,1.333,0.688,0.0,0.417,0.0,0.417,0.833,0.5,0.583,1.083,1.667,0.833,0.083,0.333,0.333,0.667,2.25,2.258,-2.25,0.531,0.524,0.238,0.238,7.125,18.088,12.888,13.038,0.488,2.925,13.825,15.862,100.875,112.0,-5.012
2019-20,2019-11-29,NET,CEL,NET,9.133,0.846,1.615,0.524,0.846,1.231,0.688,0.0,0.385,0.0,0.385,0.923,0.417,0.615,1.077,1.692,0.846,0.077,0.385,0.462,0.769,2.077,1.992,-2.385,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2019-12-01,NET,HEA,NET,8.481,0.786,1.5,0.524,0.786,1.143,0.688,0.0,0.357,0.0,0.357,0.857,0.417,0.571,1.0,1.571,0.786,0.071,0.357,0.429,0.714,1.929,1.85,-2.214,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2019-12-04,NET,HAW,HAW,7.915,0.733,1.4,0.524,0.733,1.067,0.688,0.0,0.333,0.0,0.333,0.8,0.417,0.533,0.933,1.467,0.733,0.067,0.333,0.4,0.667,1.8,1.727,-2.067,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2019-12-06,NET,HOR,HOR,7.421,0.688,1.312,0.524,0.688,1.0,0.688,0.0,0.312,0.0,0.312,0.75,0.417,0.5,0.875,1.375,0.688,0.062,0.312,0.375,0.625,1.688,1.619,-1.938,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2019-12-08,NET,NUG,NET,6.984,0.647,1.235,0.524,0.647,0.941,0.688,0.0,0.294,0.0,0.294,0.706,0.417,0.471,0.824,1.294,0.647,0.059,0.294,0.353,0.588,1.588,1.524,-1.824,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2020-01-06,NET,MAG,MAG,6.596,0.611,1.167,0.524,0.611,0.889,0.688,0.0,0.278,0.0,0.278,0.667,0.417,0.444,0.778,1.222,0.611,0.056,0.278,0.333,0.556,1.5,1.439,-1.722,0.514,0.524,0.238,0.238,6.956,16.711,12.078,12.311,0.433,3.067,20.0,14.844,94.111,113.889,-5.967
2019-20,2020-01-18,NET,BUC,NET,6.329,0.579,1.158,0.5,0.579,0.895,0.647,0.0,0.263,0.0,0.263,0.632,0.417,0.421,0.737,1.158,0.579,0.053,0.263,0.316,0.526,1.421,1.326,-1.579,0.495,0.5,0.227,0.227,6.26,15.04,10.87,11.08,0.39,2.76,18.0,16.08,84.7,113.5,-8.16
2019-20,2020-01-20,NET,76E,NET,6.964,0.9,1.7,0.529,0.9,1.45,0.621,0.0,0.25,0.0,0.25,0.6,0.417,0.6,0.8,1.4,0.6,0.05,0.4,0.35,0.5,2.05,1.94,-2.15,0.522,0.529,0.147,0.147,7.2,14.818,11.245,11.573,0.355,3.836,17.064,17.036,87.273,112.545,-6.536
2019-20,2020-01-25,NET,PIS,PIS,7.446,1.143,2.0,0.571,1.095,1.667,0.657,0.048,0.333,0.143,0.333,0.714,0.467,0.762,0.762,1.524,0.667,0.048,0.381,0.333,0.571,2.667,2.552,-2.143,0.576,0.583,0.167,0.167,8.725,13.583,11.35,12.717,0.325,3.517,15.642,17.467,94.5,113.333,-4.725
2019-20,2020-01-26,NET,KNI,KNI,7.702,1.136,2.045,0.556,1.091,1.727,0.632,0.045,0.318,0.143,0.318,0.682,0.467,0.773,0.955,1.727,0.636,0.045,0.364,0.409,0.636,2.636,2.423,-2.545,0.562,0.567,0.156,0.156,8.692,15.231,12.223,11.738,0.3,3.246,17.515,17.477,91.308,112.462,-5.538
2019-20,2020-01-29,NET,PIS,NET,7.966,1.13,2.0,0.565,1.087,1.696,0.641,0.043,0.304,0.143,0.391,0.826,0.474,0.826,1.043,1.87,0.696,0.043,0.348,0.391,0.609,2.696,2.604,-2.565,0.57,0.576,0.152,0.196,9.286,15.964,12.871,12.536,0.279,3.014,16.264,16.886,97.357,112.714,-4.707
