SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2015-16,2015-10-28,RAP,PAC,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015-10-30,RAP,CEL,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015-11-01,RAP,BUC,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015-11-03,RAP,MAV,MAV,0.592,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.175,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,109.0,-24.8
2015-16,2015-11-04,RAP,THU,THU,1.088,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.04,-1.4,0.333,0.333,0.333,0.0,0.0,15.35,8.6,0.0,0.0,0.0,0.0,23.35,50.5,100.5,-14.85
2015-16,2015-11-06,RAP,MAG,MAG,0.907,0.167,0.5,0.333,0.167,0.333,0.5,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.333,0.033,-1.167,0.333,0.333,0.333,0.0,0.0,15.35,8.6,0.0,0.0,0.0,0.0,23.35,50.5,100.5,-14.85
2015-16,2015-11-08,RAP,HEA,HEA,0.777,0.143,0.429,0.333,0.143,0.286,0.5,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.143,0.286,0.029,-1.0,0.333,0.333,0.333,0.0,0.0,15.35,8.6,0.0,0.0,0.0,0.0,23.35,50.5,100.5,-14.85
2015-16,2015-11-10,RAP,KNI,RAP,1.259,0.125,0.75,0.167,0.125,0.625,0.2,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.25,-0.15,-0.875,0.167,0.167,0.167,0.0,8.233,10.233,9.733,0.0,0.0,0.0,0.0,26.267,41.0,107.0,-18.367
2015-16,2015-11-11,RAP,76E,76E,1.294,0.111,0.778,0.143,0.111,0.556,0.2,0.0,0.222,0.0,0.0,0.0,0.0,0.111,0.111,0.222,0.0,0.0,0.0,0.0,0.111,0.222,-0.211,-1.333,0.143,0.143,0.286,0.0,6.175,7.675,7.3,0.0,0.0,0.0,0.0,26.45,30.75,112.0,-22.2
2015-16,2015-11-13,RAP,PEL,RAP,3.627,0.5,1.7,0.294,0.5,1.4,0.357,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.1,0.1,0.0,0.1,0.3,1.0,0.26,-0.6,0.294,0.294,0.176,0.0,6.76,7.7,7.52,1.1,0.42,0.0,1.82,25.04,44.0,112.4,-19.58
