SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-17,HAW,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-10-21,HAW,CAV,CAV,4.16,1.5,2.0,0.75,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.5,0.5,0.0,0.5,3.5,4.0,1.0,0.875,0.875,0.5,0.0,13.4,24.0,19.0,0.0,5.1,8.7,0.0,18.9,169.0,95.0,21.0
2018-19,2018-10-24,HAW,MAV,HAW,10.69,3.0,4.0,0.75,1.333,1.667,0.8,1.667,2.333,0.714,0.333,0.667,0.5,0.333,1.0,1.333,0.333,0.333,0.333,0.667,1.667,8.0,6.267,5.667,0.932,0.958,0.583,0.083,6.7,14.0,10.6,2.8,2.55,4.35,9.2,18.75,151.5,104.0,11.3
2018-19,2018-10-27,HAW,BUL,HAW,11.93,2.75,4.5,0.611,1.5,2.5,0.6,1.25,2.0,0.625,0.25,0.5,0.5,1.0,1.25,2.25,0.25,0.25,0.25,0.75,2.0,7.0,4.975,3.75,0.742,0.75,0.444,0.056,10.267,13.2,11.9,1.867,1.7,2.9,10.9,18.467,127.333,103.0,3.267
2018-19,2018-10-29,HAW,76E,76E,12.48,2.2,4.6,0.478,1.2,2.4,0.5,1.0,2.2,0.455,0.6,0.8,0.75,1.6,1.8,3.4,1.0,0.2,0.2,0.8,1.6,6.0,4.84,0.8,0.606,0.587,0.478,0.13,13.65,17.175,15.475,13.5,1.275,2.175,11.8,18.7,115.0,102.0,2.175
2018-19,2018-10-30,HAW,CAV,CAV,14.275,2.5,5.667,0.441,1.5,3.167,0.474,1.0,2.5,0.4,0.833,1.333,0.625,2.0,1.833,3.833,0.833,0.333,0.167,0.667,1.5,6.833,5.383,-1.333,0.546,0.529,0.441,0.147,13.76,15.3,14.62,10.8,1.42,1.74,9.44,19.5,111.8,103.6,1.42
2018-19,2018-11-01,HAW,KIN,HAW,15.147,2.286,5.286,0.432,1.286,2.857,0.45,1.0,2.429,0.412,0.714,1.143,0.625,1.714,2.143,3.857,0.714,0.429,0.143,0.857,1.714,6.286,4.657,-3.143,0.543,0.527,0.459,0.135,11.467,16.167,13.983,9.0,1.55,1.45,14.533,18.017,102.167,107.333,-0.617
2018-19,2018-11-03,HAW,HEA,HAW,15.81,2.125,5.0,0.425,1.25,2.75,0.455,0.875,2.25,0.389,0.625,1.0,0.625,1.625,2.0,3.625,1.0,0.375,0.25,0.75,1.625,5.75,4.538,-4.0,0.528,0.512,0.45,0.125,10.557,14.643,12.743,10.257,1.329,1.771,12.457,16.257,104.286,110.857,-0.829
2018-19,2018-11-06,HAW,HOR,HOR,16.301,2.222,4.889,0.455,1.333,2.778,0.48,0.889,2.111,0.421,0.556,1.0,0.556,1.556,2.0,3.556,1.0,0.444,0.333,0.667,1.556,5.889,4.956,-3.0,0.553,0.545,0.432,0.114,10.062,14.225,12.288,9.738,1.462,2.212,10.9,15.375,111.0,111.75,-0.188
2018-19,2018-11-07,HAW,KNI,HAW,16.346,2.1,5.0,0.42,1.3,2.8,0.464,0.8,2.2,0.364,0.5,0.9,0.556,1.6,2.0,3.6,1.0,0.4,0.3,0.6,1.5,5.5,4.51,-3.1,0.51,0.5,0.44,0.1,10.456,14.322,12.511,9.489,1.3,1.967,9.689,15.333,105.778,111.889,-1.533
2018-19,2018-11-09,HAW,PIS,HAW,17.448,2.455,5.545,0.443,1.455,3.091,0.471,1.0,2.455,0.407,0.727,1.091,0.667,1.818,2.364,4.182,1.273,0.455,0.545,0.545,1.455,6.636,6.173,-2.636,0.551,0.533,0.443,0.131,10.71,15.36,13.07,11.05,1.34,2.85,8.72,15.51,111.6,111.1,0.54
2018-19,2018-11-11,HAW,LAK,LAK,18.218,2.667,5.917,0.451,1.583,3.25,0.487,1.083,2.667,0.406,0.833,1.167,0.714,1.917,2.75,4.667,1.167,0.5,0.5,0.583,1.417,7.25,6.725,-3.75,0.564,0.542,0.451,0.141,10.882,16.082,13.564,10.045,1.373,2.591,8.691,15.827,113.0,111.727,0.745
2018-19,2018-11-13,HAW,WAR,WAR,18.965,2.538,6.0,0.423,1.538,3.308,0.465,1.0,2.692,0.371,0.769,1.077,0.714,1.923,3.077,5.0,1.154,0.462,0.538,0.615,1.615,6.846,6.192,-3.385,0.529,0.506,0.449,0.128,10.675,16.708,13.833,9.575,1.258,2.642,9.008,15.483,107.75,110.917,-0.283
2018-19,2018-11-15,HAW,NUG,NUG,18.626,2.357,5.786,0.407,1.429,3.143,0.455,0.929,2.643,0.351,0.714,1.0,0.714,1.857,3.0,4.857,1.071,0.429,0.5,0.643,1.5,6.357,5.621,-3.786,0.511,0.488,0.457,0.123,10.431,16.577,13.631,8.838,1.162,2.438,10.238,15.238,100.923,111.538,-1.631
2018-19,2018-11-17,HAW,PAC,PAC,19.163,2.467,6.4,0.385,1.6,3.467,0.462,0.867,2.933,0.295,0.8,1.067,0.75,1.933,3.267,5.2,1.2,0.6,0.533,0.667,1.6,6.6,5.84,-5.267,0.48,0.453,0.458,0.125,10.329,17.7,13.957,9.764,1.443,2.471,9.929,15.914,99.357,111.929,-1.607
2018-19,2018-11-19,HAW,CLI,HAW,18.739,2.375,6.188,0.384,1.562,3.438,0.455,0.812,2.75,0.295,0.75,1.125,0.667,1.875,3.125,5.0,1.125,0.688,0.5,0.625,1.625,6.312,5.581,-5.75,0.472,0.449,0.444,0.121,10.18,17.08,13.573,9.113,1.827,2.307,9.267,15.713,96.933,110.067,-1.713
2018-19,2018-11-23,HAW,CEL,HAW,18.468,2.412,6.176,0.39,1.588,3.412,0.466,0.824,2.765,0.298,0.706,1.059,0.667,1.765,3.0,4.765,1.118,0.647,0.471,0.588,1.647,6.353,5.5,-5.294,0.478,0.457,0.448,0.114,9.544,16.438,12.931,9.156,1.712,2.162,8.688,15.762,98.75,110.938,-1.7
2018-19,2018-11-25,HAW,HOR,HAW,17.873,2.278,5.889,0.387,1.5,3.222,0.466,0.778,2.667,0.292,0.667,1.0,0.667,1.722,2.833,4.556,1.056,0.611,0.444,0.611,1.556,6.0,5.139,-6.167,0.474,0.453,0.453,0.113,9.871,15.471,12.606,8.618,1.612,2.035,11.118,15.476,94.824,111.235,-2.482
2018-19,2018-11-27,HAW,HEA,HEA,17.641,2.263,5.789,0.391,1.474,3.158,0.467,0.789,2.632,0.3,0.632,0.947,0.667,1.737,2.789,4.526,1.105,0.579,0.579,0.579,1.526,5.947,5.295,-6.158,0.479,0.459,0.455,0.109,10.289,15.556,12.861,9.067,1.522,3.189,10.5,15.311,98.222,111.333,-1.694
