SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-12-27,MAV,ROC,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-12-29,MAV,LAK,LAK,5.29,1.0,2.5,0.4,0.5,1.5,0.333,0.5,1.0,0.5,1.0,1.0,1.0,0,0.5,0.5,1.0,0.0,0,1.0,0.0,3.5,2.0,4.0,0.595,0.5,0.4,0.4,0.0,12.6,5.3,33.7,0.0,0.0,25.4,33.4,99.0,136.0,-5.9
2016-17,2016-12-30,MAV,WAR,WAR,3.527,0.667,1.667,0.4,0.333,1.0,0.333,0.333,0.667,0.5,0.667,0.667,1.0,0,0.333,0.333,0.667,0.0,0,0.667,0.0,2.333,1.333,2.667,0.595,0.5,0.4,0.4,0.0,12.6,5.3,33.7,0.0,0.0,25.4,33.4,99.0,136.0,-5.9
2016-17,2017-01-03,MAV,WIZ,MAV,5.645,0.75,2.75,0.273,0.5,2.0,0.25,0.25,0.75,0.333,0.75,0.75,1.0,0,0.5,0.5,1.75,0.25,0,0.5,0.25,2.5,1.9,5.25,0.406,0.318,0.273,0.273,0.0,12.35,5.05,45.4,2.05,0.0,12.7,28.45,91.5,123.0,-3.65
2016-17,2017-01-05,MAV,SUN,MAV,5.176,0.6,2.4,0.25,0.4,1.8,0.222,0.2,0.6,0.333,1.0,1.0,1.0,0,0.4,0.4,1.4,0.2,0,0.4,0.4,2.4,1.7,5.2,0.423,0.292,0.25,0.417,0.0,8.233,3.367,30.267,1.367,0.0,8.467,28.033,99.0,119.0,-6.4
2016-17,2017-01-15,MAV,TIM,MAV,4.727,0.5,2.333,0.214,0.333,1.833,0.182,0.167,0.5,0.333,0.833,0.833,1.0,0,0.333,0.333,1.167,0.167,0,0.5,0.5,2.0,0.95,3.5,0.37,0.25,0.214,0.357,0.0,6.175,2.525,22.7,1.025,0.0,14.675,36.05,74.25,120.75,-23.05
2016-17,2017-01-17,MAV,BUL,BUL,4.123,0.429,2.0,0.214,0.286,1.571,0.182,0.143,0.429,0.333,0.714,0.714,1.0,0,0.286,0.286,1.0,0.143,0,0.429,0.429,1.714,0.814,2.714,0.37,0.25,0.214,0.357,0.0,4.94,2.02,18.16,0.82,0.0,11.74,28.84,59.4,118.4,-20.28
2016-17,2017-01-20,MAV,JAZ,MAV,3.608,0.375,1.75,0.214,0.25,1.375,0.182,0.125,0.375,0.333,0.625,0.625,1.0,0,0.25,0.25,0.875,0.125,0,0.375,0.375,1.5,0.712,2.375,0.37,0.25,0.214,0.357,0.0,4.94,2.02,18.16,0.82,0.0,11.74,28.84,59.4,118.4,-20.28
2016-17,2017-01-22,MAV,LAK,MAV,3.207,0.333,1.556,0.214,0.222,1.222,0.182,0.111,0.333,0.333,0.556,0.556,1.0,0,0.222,0.222,0.778,0.111,0,0.333,0.333,1.333,0.633,2.111,0.37,0.25,0.214,0.357,0.0,4.94,2.02,18.16,0.82,0.0,11.74,28.84,59.4,118.4,-20.28
2016-17,2017-01-25,MAV,KNI,MAV,4.699,0.7,2.3,0.304,0.5,1.7,0.294,0.2,0.6,0.333,0.6,0.6,1.0,0,0.4,0.4,1.2,0.2,0,0.3,0.4,2.2,1.57,4.7,0.429,0.348,0.261,0.261,0.0,6.267,2.767,21.933,1.167,0.0,9.783,27.983,72.833,112.167,-15.833
2016-17,2017-01-26,MAV,THU,THU,6.487,0.818,2.818,0.29,0.636,1.909,0.333,0.182,0.909,0.2,0.545,0.636,0.857,0,0.636,0.636,1.364,0.182,0,0.273,0.364,2.364,1.591,4.364,0.381,0.323,0.323,0.194,0.0,7.171,3.3,21.214,1.0,0.0,8.386,26.343,71.857,111.714,-15.357
