SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,HEA,MAG,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-25,HEA,PEL,HEA,6.825,1.5,2.0,0.75,1.5,2.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.0,1.0,4.0,3.05,3.0,0.694,0.75,0.0,0.5,9.5,15.0,12.6,0.0,0.0,0.0,0.0,17.9,142.0,112.0,-0.4
2020-21,2020-12-29,HEA,BUC,HEA,11.04,2.667,3.667,0.727,2.667,3.667,0.727,0.0,0.0,0.0,1.0,2.0,0.5,0.667,1.333,2.0,0.667,0.0,0.333,0.333,2.667,6.333,4.6,3.333,0.696,0.727,0.0,0.273,8.4,13.35,11.15,9.6,0.0,2.85,5.65,19.65,135.0,108.5,-0.65
2020-21,2020-12-30,HEA,BUC,HEA,12.688,3.25,4.75,0.684,3.25,4.75,0.684,0.0,0.0,0.0,0.75,2.0,0.375,0.5,2.0,2.5,0.5,0.25,0.25,0.75,2.75,7.25,4.6,-1.25,0.644,0.684,0.0,0.158,5.6,18.7,12.267,6.4,0.867,1.9,9.9,22.233,116.0,117.667,-4.133
2020-21,2021-01-01,HEA,MAV,MAV,12.554,2.6,4.2,0.619,2.6,4.2,0.619,0.0,0.0,0.0,0.6,1.6,0.375,1.0,2.0,3.0,0.4,0.2,0.4,1.2,2.6,5.8,3.32,-1.4,0.591,0.619,0.0,0.143,11.5,17.475,14.25,4.8,0.65,3.05,22.425,20.95,97.25,114.5,-7.875
2020-21,2021-01-04,HEA,THU,HEA,12.458,2.667,4.167,0.64,2.667,4.167,0.64,0.0,0.0,0.0,1.167,2.333,0.5,1.167,2.333,3.5,0.5,0.167,0.333,1.167,2.167,6.5,4.417,-2.0,0.626,0.64,0.0,0.28,12.4,22.0,16.74,8.56,0.52,2.44,20.56,22.7,105.0,111.2,-3.12
2020-21,2021-01-06,HEA,CEL,HEA,13.479,2.571,4.286,0.6,2.571,4.286,0.6,0.0,0.0,0.0,1.286,2.714,0.474,1.286,2.714,4.0,0.429,0.286,0.286,1.143,2.286,6.429,4.329,-1.286,0.587,0.6,0.0,0.3,12.6,22.5,17.317,7.133,0.85,2.033,19.167,22.167,102.333,107.167,-4.233
2020-21,2021-01-09,HEA,WIZ,WIZ,13.572,2.5,4.375,0.571,2.5,4.375,0.571,0.0,0.0,0.0,1.375,2.625,0.524,1.5,2.625,4.125,0.75,0.25,0.375,1.125,2.125,6.375,4.712,-0.25,0.576,0.571,0.0,0.314,14.157,21.143,17.371,11.229,0.729,2.5,18.5,22.3,105.286,108.429,-3.043
2020-21,2021-01-12,HEA,76E,76E,13.472,2.556,4.333,0.59,2.556,4.333,0.59,0.0,0.0,0.0,1.333,2.444,0.545,1.333,2.556,3.889,0.667,0.222,0.333,1.222,2.333,6.444,4.456,0.333,0.596,0.59,0.0,0.308,12.388,20.138,16.15,9.825,0.638,2.188,20.075,22.05,103.875,109.5,-4.163
2020-21,2021-01-14,HEA,76E,76E,15.692,3.0,4.9,0.612,3.0,4.9,0.612,0.0,0.0,0.0,1.5,2.6,0.577,1.8,3.0,4.8,0.9,0.2,0.4,1.4,2.5,7.5,5.7,-0.3,0.62,0.612,0.0,0.306,12.989,20.311,16.544,10.056,0.567,2.3,20.1,21.433,107.222,110.778,-3.678
2020-21,2021-01-16,HEA,PIS,HEA,16.756,3.091,5.0,0.618,3.091,5.0,0.618,0.0,0.0,0.0,1.545,2.909,0.531,2.091,3.273,5.364,1.0,0.182,0.364,1.455,2.364,7.727,6.1,-1.909,0.615,0.618,0.0,0.309,13.94,21.12,17.43,10.11,0.51,2.07,19.97,20.95,107.9,112.0,-3.55
2020-21,2021-01-18,HEA,PIS,HEA,16.298,2.917,4.833,0.603,2.917,4.833,0.603,0.0,0.0,0.0,1.667,3.0,0.556,2.0,3.25,5.25,0.917,0.167,0.333,1.333,2.25,7.5,5.933,-2.25,0.609,0.603,0.0,0.345,13.809,22.436,18.064,9.191,0.464,1.882,18.155,20.873,109.091,113.091,-3.809
2020-21,2021-01-20,HEA,RAP,RAP,16.026,3.0,4.846,0.619,3.0,4.846,0.619,0.0,0.0,0.0,1.538,2.923,0.526,2.0,3.231,5.231,0.846,0.154,0.308,1.231,2.462,7.538,5.908,-2.154,0.615,0.619,0.0,0.317,14.983,22.858,18.858,8.425,0.425,1.725,16.642,20.95,111.75,113.167,-4.025
