SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,JAZ,CLI,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,JAZ,LAK,LAK,6.475,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,1.5,2.0,0.0,-1.45,-5.0,0.0,0.0,0.0,0.0,0.0,10.9,4.8,17.2,0.0,6.6,75.0,13.3,25.0,100.0,-15.4
2000-01,2000-11-04,JAZ,MAV,MAV,11.173,1.333,2.667,0.5,1.0,2.0,0.5,0.333,0.667,0.5,1.667,2.0,0.833,0.333,1.667,2.0,0.667,0.0,0.333,1.333,2.0,4.667,2.5,-0.667,0.658,0.562,0.25,0.625,3.75,16.1,10.2,8.6,0.0,3.3,42.2,19.7,79.5,102.0,-4.75
2000-01,2000-11-06,JAZ,TIM,JAZ,13.342,1.75,4.0,0.438,1.25,3.0,0.417,0.5,1.0,0.5,1.5,2.0,0.75,0.5,2.0,2.5,1.0,0.0,0.25,1.5,3.0,5.5,2.325,0.0,0.564,0.5,0.25,0.375,4.8,16.9,11.133,11.1,0.0,2.2,34.267,21.767,82.333,108.333,-7.1
2000-01,2000-11-08,JAZ,CLI,CLI,12.13,1.6,3.4,0.471,1.2,2.6,0.462,0.4,0.8,0.5,1.4,2.0,0.7,0.4,1.8,2.2,0.8,0.0,0.2,1.4,2.8,5.0,2.02,0.4,0.584,0.529,0.235,0.412,3.6,16.85,10.8,8.325,0.0,1.65,34.375,21.075,84.25,106.75,-6.625
2000-01,2000-11-10,JAZ,HEA,JAZ,13.028,1.667,3.5,0.476,1.333,2.667,0.5,0.333,0.833,0.4,1.167,1.667,0.7,0.333,1.5,1.833,0.667,0.0,0.167,1.167,2.833,4.833,1.817,0.333,0.571,0.524,0.238,0.333,2.88,13.48,8.64,6.66,0.0,1.32,27.5,19.16,88.4,106.8,-6.3
2000-01,2000-11-14,JAZ,SPU,SPU,12.113,1.429,3.143,0.455,1.143,2.429,0.471,0.286,0.714,0.4,1.0,1.429,0.7,0.286,1.286,1.571,0.714,0.0,0.143,1.0,2.714,4.143,1.443,-0.429,0.549,0.5,0.227,0.318,2.4,11.233,7.2,9.233,0.0,1.1,22.917,17.183,82.0,107.833,-7.25
2000-01,2000-11-16,JAZ,MAG,JAZ,11.68,1.375,3.125,0.44,1.125,2.375,0.474,0.25,0.75,0.333,0.875,1.25,0.7,0.25,1.375,1.625,0.625,0.0,0.125,0.875,2.625,3.875,1.275,-1.0,0.527,0.48,0.24,0.28,2.057,12.8,7.9,7.914,0.0,0.943,19.643,16.914,80.857,106.571,-7.471
2000-01,2000-11-18,JAZ,BUL,JAZ,11.624,1.333,3.111,0.429,1.111,2.444,0.455,0.222,0.667,0.333,0.778,1.111,0.7,0.222,1.444,1.667,0.556,0.0,0.111,0.778,2.778,3.667,1.056,-0.667,0.509,0.464,0.214,0.25,1.8,13.675,8.275,6.925,0.0,0.825,17.188,16.288,79.5,104.375,-7.838
2000-01,2000-11-20,JAZ,MAV,JAZ,12.572,1.6,3.3,0.485,1.3,2.6,0.5,0.3,0.7,0.429,0.7,1.0,0.7,0.2,1.6,1.8,0.6,0.1,0.2,0.8,3.0,4.2,1.69,1.3,0.561,0.53,0.212,0.212,1.6,13.567,8.278,6.911,0.289,1.078,17.133,15.978,85.889,100.889,-6.233
2000-01,2000-11-22,JAZ,NUG,JAZ,13.125,1.636,3.364,0.486,1.364,2.727,0.5,0.273,0.636,0.429,0.636,0.909,0.7,0.273,1.545,1.818,0.545,0.091,0.364,0.727,3.0,4.182,1.827,0.727,0.556,0.527,0.189,0.189,1.95,13.0,8.07,6.22,0.26,1.92,15.42,15.27,88.7,102.0,-5.73
2000-01,2000-11-24,JAZ,NNE,JAZ,13.579,1.917,3.75,0.511,1.667,3.083,0.541,0.25,0.667,0.375,0.75,1.0,0.75,0.333,1.75,2.083,0.5,0.25,0.333,0.667,2.917,4.833,2.633,2.167,0.577,0.544,0.178,0.2,2.445,13.773,8.755,5.655,0.745,1.745,14.018,15.845,93.636,99.727,-4.418
2000-01,2000-11-26,JAZ,PIS,PIS,13.446,1.846,3.769,0.49,1.538,3.0,0.513,0.308,0.769,0.4,0.692,0.923,0.75,0.308,1.692,2.0,0.462,0.385,0.308,0.769,2.846,4.692,2.438,2.462,0.562,0.531,0.204,0.184,2.242,13.5,8.467,5.183,1.417,1.6,15.625,16.525,89.667,98.5,-4.817
2000-01,2000-11-28,JAZ,NNE,NNE,13.389,1.786,3.571,0.5,1.429,2.786,0.513,0.357,0.786,0.455,0.643,0.857,0.75,0.286,1.643,1.929,0.429,0.5,0.429,0.786,2.929,4.571,2.536,3.143,0.579,0.55,0.22,0.18,2.069,13.069,8.154,4.785,1.915,2.362,18.269,15.792,88.385,95.923,-3.492
2000-01,2000-11-29,JAZ,MAG,MAG,12.889,1.667,3.4,0.49,1.333,2.667,0.5,0.333,0.733,0.455,0.6,0.8,0.75,0.267,1.6,1.867,0.4,0.467,0.4,0.733,2.8,4.267,2.313,3.2,0.569,0.539,0.216,0.176,1.921,13.436,8.271,4.443,1.779,2.193,16.964,15.2,82.071,96.286,-4.207
2000-01,2000-12-01,JAZ,HEA,HEA,13.394,1.688,3.75,0.45,1.375,3.0,0.458,0.312,0.75,0.417,0.562,0.75,0.75,0.438,1.562,2.0,0.5,0.438,0.375,0.75,2.625,4.25,2.25,3.125,0.521,0.492,0.2,0.15,3.18,12.96,8.607,5.113,1.66,2.047,16.5,15.673,81.2,96.733,-4.46
