SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,BLA,CLI,CLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-27,BLA,MAG,BLA,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,-8.3
2023-24,2023-10-29,BLA,76E,76E,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,-8.3
2023-24,2023-10-30,BLA,RAP,RAP,1.62,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.175,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-01,BLA,PIS,PIS,1.296,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-03,BLA,GRI,BLA,1.08,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.117,-0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-05,BLA,GRI,BLA,0.926,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-08,BLA,KIN,KIN,0.81,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.088,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-12,BLA,LAK,LAK,0.72,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078,-0.444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-14,BLA,JAZ,JAZ,0.648,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,135.0,-12.8
2023-24,2023-11-15,BLA,CAV,BLA,0.823,0.0,0.273,0.0,0.0,0.182,0.0,0.0,0.091,0.0,0.091,0.182,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,-0.136,-0.455,0.129,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.667,14.0,133.333,-20.267
2023-24,2023-11-19,BLA,THU,BLA,0.965,0.0,0.333,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.083,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.083,-0.3,-0.417,0.102,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,12.5,22.6,10.5,130.5,-27.725
2023-24,2023-11-21,BLA,SUN,SUN,1.814,0.077,0.692,0.111,0.0,0.308,0.0,0.077,0.385,0.2,0.154,0.308,0.5,0.077,0.0,0.077,0.077,0.077,0.0,0.154,0.077,0.385,-0.131,-1.0,0.232,0.167,0.556,0.222,1.74,0.0,1.08,2.66,0.86,0.0,12.9,23.02,23.6,132.8,-23.7
2023-24,2023-11-22,BLA,JAZ,BLA,1.802,0.071,0.714,0.1,0.0,0.357,0.0,0.071,0.357,0.2,0.143,0.286,0.5,0.071,0.0,0.071,0.143,0.143,0.0,0.143,0.071,0.357,-0.05,-0.714,0.213,0.15,0.5,0.2,1.45,0.0,0.9,14.983,6.15,0.0,10.75,23.633,30.167,122.167,-15.017
2023-24,2023-12-06,BLA,WAR,WAR,2.064,0.067,0.8,0.083,0.0,0.4,0.0,0.067,0.4,0.167,0.133,0.267,0.5,0.067,0.0,0.067,0.133,0.133,0.0,0.133,0.067,0.333,-0.14,-1.6,0.182,0.125,0.5,0.167,1.243,0.0,0.771,12.843,5.271,0.0,9.214,22.4,25.857,122.143,-16.543
2023-24,2023-12-08,BLA,MAV,BLA,1.935,0.062,0.75,0.083,0.0,0.375,0.0,0.062,0.375,0.167,0.125,0.25,0.5,0.062,0.0,0.062,0.125,0.125,0.0,0.125,0.062,0.312,-0.131,-1.5,0.182,0.125,0.5,0.167,1.243,0.0,0.771,12.843,5.271,0.0,9.214,22.4,25.857,122.143,-16.543
2023-24,2023-12-11,BLA,CLI,CLI,1.821,0.059,0.706,0.083,0.0,0.353,0.0,0.059,0.353,0.167,0.118,0.235,0.5,0.059,0.0,0.059,0.118,0.118,0.0,0.118,0.059,0.294,-0.124,-1.412,0.182,0.125,0.5,0.167,1.243,0.0,0.771,12.843,5.271,0.0,9.214,22.4,25.857,122.143,-16.543
