SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2018-01-17,PIS,RAP,RAP,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2018-01-30,PIS,CAV,PIS,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2018-02-05,PIS,BLA,PIS,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2018-02-09,PIS,CLI,PIS,0.638,0.25,0.25,1.0,0,0,0.0,0.25,0.25,1.0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.675,-0.75,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,300,106,33.6
2017-18,2018-03-07,PIS,RAP,PIS,0.51,0.2,0.2,1.0,0,0,0.0,0.2,0.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.54,-0.6,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,300,106,33.6
2017-18,2018-03-09,PIS,BUL,PIS,0.425,0.167,0.167,1.0,0,0,0.0,0.167,0.167,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.45,-0.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,300,106,33.6
2017-18,2018-04-04,PIS,76E,PIS,0.497,0.143,0.143,1.0,0,0,0.0,0.143,0.143,1.0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.386,-1.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,150,103,13.45
2017-18,2018-04-06,PIS,MAV,PIS,0.435,0.125,0.125,1.0,0,0,0.0,0.125,0.125,1.0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.338,-0.875,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,150,103,13.45
2017-18,2018-04-08,PIS,GRI,GRI,0.387,0.111,0.111,1.0,0,0,0.0,0.111,0.111,1.0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.3,-0.778,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,150,103,13.45
2017-18,2018-04-09,PIS,RAP,PIS,0.348,0.1,0.1,1.0,0,0,0.0,0.1,0.1,1.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.27,-0.7,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,150,103,13.45
2017-18,2018-04-11,PIS,BUL,BUL,0.316,0.091,0.091,1.0,0,0,0.0,0.091,0.091,1.0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.245,-0.636,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,150,103,13.45
