SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-05-17,KNI,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-07,CEL,RAP,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-10,CEL,KNI,CEL,6.307,1.0,2.333,0.429,0.667,2.0,0.333,0.333,0.333,1.0,0.0,0.333,0.0,0.0,0.667,0.667,1.667,0.0,0.333,1.0,1.0,2.333,1.167,-5.0,0.47,0.5,0.143,0.0,0.0,15.8,5.6,56.3,0.0,4.0,28.7,22.8,79.0,112.0,-3.2
2000-01,2000-11-11,CEL,76E,76E,14.238,1.25,3.75,0.333,1.0,3.0,0.333,0.25,0.75,0.333,0.5,1.0,0.5,0.0,0.75,0.75,2.0,0.5,0.25,1.25,1.75,3.25,1.275,-2.25,0.388,0.367,0.2,0.133,0.0,9.5,3.6,35.1,1.45,2.0,23.2,18.95,72.5,110.5,-5.9
2000-01,2000-11-15,CEL,WIZ,CEL,14.154,1.0,3.6,0.278,0.8,2.6,0.308,0.2,1.0,0.2,0.4,0.8,0.5,0.0,0.6,0.6,2.0,0.6,0.2,1.0,1.8,2.6,0.92,-1.4,0.329,0.306,0.278,0.111,0.0,6.333,2.4,30.767,2.167,1.333,15.467,15.8,59.0,105.0,-6.1
2000-01,2000-11-17,CEL,HAW,CEL,13.933,0.833,3.333,0.25,0.667,2.167,0.308,0.167,1.167,0.143,0.5,1.0,0.5,0.0,0.5,0.5,2.333,0.5,0.167,0.833,2.0,2.333,0.9,-0.833,0.309,0.275,0.35,0.15,0.0,4.75,1.8,31.65,1.625,1.0,11.6,14.2,71.25,109.0,-6.925
2000-01,2000-11-18,CEL,WIZ,WIZ,14.253,0.857,3.429,0.25,0.714,2.286,0.312,0.143,1.143,0.125,0.571,1.143,0.5,0.143,0.429,0.571,2.571,0.714,0.143,0.714,1.857,2.429,1.529,0.0,0.309,0.271,0.333,0.167,1.4,3.8,2.28,32.82,2.68,0.8,9.28,14.12,80.6,108.6,-4.86
2000-01,2000-11-20,CEL,76E,CEL,14.944,1.0,3.75,0.267,0.75,2.5,0.3,0.25,1.25,0.2,0.5,1.0,0.5,0.125,0.5,0.625,3.0,0.75,0.125,0.875,1.875,2.75,1.875,-0.125,0.328,0.3,0.333,0.133,1.167,4.383,2.4,36.517,2.667,0.667,11.9,14.717,82.833,109.833,-4.35
2000-01,2000-11-27,KNI,VGR,KNI,15.687,1.111,3.889,0.286,0.889,2.667,0.333,0.222,1.222,0.182,0.444,1.0,0.444,0.222,0.778,1.0,2.667,0.778,0.111,1.0,1.778,2.889,1.789,-0.444,0.334,0.314,0.314,0.114,1.643,5.786,3.371,31.3,2.6,0.571,14.043,14.557,79.714,110.429,-4.686
2000-01,2000-11-29,KNI,HEA,KNI,14.453,1.1,3.7,0.297,0.9,2.6,0.346,0.2,1.1,0.182,0.4,0.9,0.444,0.3,0.8,1.1,2.4,0.7,0.1,0.9,1.6,2.8,1.81,-0.4,0.342,0.324,0.297,0.108,6.7,8.987,7.45,27.388,2.275,0.5,12.288,16.75,85.0,106.625,-3.3
2000-01,2000-12-01,KNI,BUL,BUL,13.139,1.0,3.364,0.297,0.818,2.364,0.346,0.182,1.0,0.182,0.364,0.818,0.444,0.273,0.727,1.0,2.182,0.636,0.091,0.818,1.455,2.545,1.645,-0.364,0.342,0.324,0.297,0.108,6.7,8.987,7.45,27.388,2.275,0.5,12.288,16.75,85.0,106.625,-3.3
