SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,BUL,KIN,BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-03,BUL,NNE,BUL,19.35,3.0,7.5,0.4,3.0,7.5,0.4,0.0,0.0,0.0,3.5,4.0,0.875,0.0,0.0,0.0,1.0,0.0,0.5,1.5,1.5,9.5,4.2,-10.5,0.513,0.4,0.0,0.467,0.0,0.0,0.0,13.2,0.0,2.1,13.9,26.8,93.0,115.0,-5.0
2000-01,2000-11-04,BUL,PAC,PAC,26.077,3.333,8.667,0.385,3.333,8.667,0.385,0.0,0.0,0.0,3.0,3.333,0.9,0.0,0.667,0.667,2.667,0.667,0.333,1.333,1.667,9.667,5.767,-8.667,0.477,0.385,0.0,0.346,0.0,2.7,1.45,21.95,1.35,1.05,10.85,21.05,94.5,108.5,-2.85
2000-01,2000-11-07,BUL,WIZ,BUL,29.915,3.75,10.0,0.375,3.5,9.75,0.359,0.25,0.25,1.0,3.25,3.75,0.867,0.0,1.5,1.5,3.25,0.5,0.25,2.5,2.0,11.0,5.4,-7.25,0.472,0.388,0.025,0.325,0.0,6.033,3.067,23.433,0.9,0.7,16.233,22.567,89.667,110.333,-4.267
2000-01,2000-11-09,BUL,MAG,BUL,31.618,3.6,11.0,0.327,3.4,10.0,0.34,0.2,1.0,0.2,3.0,3.8,0.789,0.4,1.8,2.2,3.4,0.4,0.2,2.2,2.2,10.4,4.48,-7.0,0.41,0.336,0.091,0.273,1.325,6.15,3.8,23.025,0.675,0.525,13.575,21.9,84.0,108.75,-5.3
2000-01,2000-11-11,BUL,RAP,BUL,33.02,4.5,12.167,0.37,4.333,11.333,0.382,0.167,0.833,0.2,3.333,4.5,0.741,1.0,2.5,3.5,3.167,0.5,0.5,2.667,2.333,12.5,6.233,-4.667,0.442,0.377,0.068,0.274,3.1,7.68,5.46,20.92,0.8,1.02,14.64,23.22,87.2,106.6,-4.18
2000-01,2000-11-14,BUL,ROC,ROC,33.06,4.857,12.714,0.382,4.714,12.0,0.393,0.143,0.714,0.2,3.286,4.429,0.742,0.857,2.429,3.286,3.143,0.429,0.429,2.429,2.571,13.143,6.529,-6.0,0.448,0.388,0.056,0.258,2.583,7.683,5.15,21.3,0.667,0.85,13.083,24.117,88.5,108.667,-4.3
2000-01,2000-11-16,BUL,NUG,NUG,33.406,4.75,13.0,0.365,4.625,12.375,0.374,0.125,0.625,0.2,3.0,4.125,0.727,1.375,2.375,3.75,2.75,0.625,0.375,2.5,2.375,12.625,6.012,-7.875,0.426,0.37,0.048,0.231,4.114,7.814,6.057,18.257,1.0,0.729,13.486,23.914,85.143,111.0,-5.043
2000-01,2000-11-18,BUL,JAZ,JAZ,34.38,4.889,13.667,0.358,4.778,12.889,0.371,0.111,0.778,0.143,3.222,4.333,0.744,1.222,2.667,3.889,3.0,0.778,0.556,2.444,2.444,13.111,6.556,-7.0,0.421,0.362,0.057,0.236,3.6,8.875,6.2,19.062,1.2,1.1,12.862,24.2,84.875,109.5,-4.7
2000-01,2000-11-19,BUL,LAK,LAK,34.665,5.2,14.2,0.366,5.1,13.5,0.378,0.1,0.7,0.143,2.9,4.0,0.725,1.2,2.5,3.7,2.8,0.9,0.5,2.5,2.3,13.4,6.48,-9.5,0.42,0.37,0.049,0.204,3.467,8.389,5.856,18.189,1.4,0.978,12.922,24.7,83.444,111.333,-4.911
