SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,GRI,KNI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,2006-11-03,GRI,BOB,GRI,19.11,4.0,10.5,0.381,3.5,10.0,0.35,0.5,0.5,1.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.5,2.0,0.5,1.0,10.5,7.75,1.5,0.461,0.405,0.048,0.19,10.8,12.4,11.6,0.0,1.5,9.0,4.2,28.4,110.0,102.0,5.7
2006-07,2006-11-04,GRI,PIS,PIS,17.397,2.667,8.333,0.32,2.333,7.667,0.304,0.333,0.667,0.5,2.0,2.0,1.0,1.333,1.333,2.667,0.0,0.333,1.333,0.667,1.333,7.667,4.3,-4.0,0.416,0.34,0.08,0.24,5.4,6.2,5.8,0.0,0.75,4.5,10.6,23.2,77.0,100.0,-7.1
2006-07,2006-11-07,GRI,ROC,GRI,19.197,3.0,9.0,0.333,2.25,7.5,0.3,0.75,1.5,0.5,1.5,1.5,1.0,1.5,2.75,4.25,0.0,0.25,1.25,0.75,2.0,8.25,4.6,-2.5,0.427,0.375,0.167,0.167,6.867,16.767,11.567,0.0,0.5,4.1,9.833,23.2,81.333,102.0,-5.633
2006-07,2006-11-11,GRI,SUN,SUN,18.842,3.4,9.2,0.37,2.4,7.4,0.324,1.0,1.8,0.556,1.2,1.2,1.0,1.2,2.6,3.8,0.0,0.2,1.2,0.6,2.0,9.0,5.18,-2.8,0.463,0.424,0.196,0.13,5.15,16.4,10.45,0.0,0.375,4.5,7.375,24.2,91.25,101.75,-1.25
2006-07,2006-11-12,GRI,LAK,LAK,20.688,3.667,9.5,0.386,2.833,7.5,0.378,0.833,2.0,0.417,1.667,1.833,0.909,1.0,3.667,4.667,0.0,0.167,1.333,0.833,1.833,9.833,5.917,-0.833,0.477,0.43,0.211,0.175,4.12,18.78,11.44,0.0,0.3,4.94,8.54,23.9,91.8,100.0,-0.38
2006-07,2006-11-15,GRI,KIN,KIN,20.647,3.143,8.714,0.361,2.429,6.857,0.354,0.714,1.857,0.385,1.429,1.571,0.909,1.0,3.286,4.286,0.0,0.429,1.286,1.0,2.0,8.429,4.743,-0.429,0.448,0.402,0.213,0.164,4.317,16.65,10.483,0.0,1.1,4.733,12.667,22.183,78.167,98.833,-2.35
2006-07,2006-11-17,GRI,MAV,GRI,21.032,3.0,8.5,0.353,2.375,6.75,0.352,0.625,1.75,0.357,1.5,1.875,0.8,1.0,3.375,4.375,0.125,0.375,1.25,1.0,1.875,8.125,4.525,-1.5,0.436,0.39,0.206,0.176,4.543,17.029,10.886,0.829,0.943,4.486,12.314,21.729,78.571,101.857,-3.386
2006-07,2006-11-18,GRI,MAV,MAV,20.001,2.667,7.889,0.338,2.111,6.222,0.339,0.556,1.667,0.333,1.444,1.889,0.765,0.889,3.222,4.111,0.111,0.333,1.111,0.889,2.0,7.333,3.789,-2.444,0.42,0.373,0.211,0.183,3.975,17.225,10.838,0.725,0.825,3.925,10.775,20.95,72.75,105.25,-5.45
2006-07,2006-11-20,GRI,MAG,GRI,21.576,3.3,8.6,0.384,2.7,7.0,0.386,0.6,1.6,0.375,1.7,2.4,0.708,1.2,3.2,4.4,0.1,0.6,1.1,1.0,2.3,8.9,5.24,-1.6,0.461,0.419,0.186,0.198,4.678,16.911,10.933,0.644,1.244,3.789,10.689,21.578,77.778,104.222,-3.589
2006-07,2006-11-21,GRI,CAV,CAV,21.754,3.182,8.909,0.357,2.636,7.364,0.358,0.545,1.545,0.353,1.545,2.182,0.708,1.182,3.091,4.273,0.182,0.727,1.0,1.091,2.273,8.455,4.545,-2.0,0.428,0.388,0.173,0.173,4.65,16.21,10.54,1.2,1.58,3.41,11.05,22.27,73.9,103.2,-4.96
2006-07,2006-11-24,GRI,WIZ,GRI,21.418,2.917,8.583,0.34,2.417,7.083,0.341,0.5,1.5,0.333,1.417,2.0,0.708,1.083,3.083,4.167,0.167,0.667,0.917,1.167,2.167,7.75,3.75,-3.167,0.409,0.369,0.175,0.165,4.227,17.2,10.673,1.091,1.436,3.1,12.645,21.991,67.182,104.727,-6.9
2006-07,2006-11-25,GRI,ROC,ROC,21.856,2.923,8.692,0.336,2.462,7.231,0.34,0.462,1.462,0.316,1.308,1.846,0.708,1.0,3.231,4.231,0.154,0.615,0.923,1.154,2.154,7.615,3.508,-2.538,0.401,0.363,0.168,0.15,3.875,17.242,10.583,1.0,1.317,3.05,12.35,21.817,66.167,103.333,-7.083
2006-07,2006-11-28,GRI,NUG,NUG,22.618,3.0,8.786,0.341,2.571,7.357,0.35,0.429,1.429,0.3,1.429,2.143,0.667,1.143,3.357,4.5,0.214,0.786,1.0,1.357,2.429,7.857,3.736,-3.0,0.404,0.366,0.163,0.163,4.315,17.3,10.815,1.485,1.608,3.292,13.246,22.054,66.923,102.154,-6.546
2006-07,2006-11-29,GRI,CLI,CLI,22.87,3.0,8.6,0.349,2.6,7.267,0.358,0.4,1.333,0.3,1.333,2.0,0.667,1.133,3.4,4.533,0.4,0.867,0.933,1.333,2.333,7.733,3.993,-2.267,0.408,0.372,0.155,0.155,4.3,17.393,10.829,2.364,1.771,3.057,13.321,21.307,69.857,101.786,-5.829
2006-07,2006-12-02,GRI,HEA,GRI,23.38,3.188,8.875,0.359,2.75,7.5,0.367,0.438,1.375,0.318,1.375,2.188,0.629,1.062,3.312,4.375,0.438,0.875,1.0,1.375,2.375,8.188,4.219,-3.188,0.416,0.384,0.155,0.155,4.013,16.84,10.38,2.64,1.773,3.18,13.207,21.647,71.467,103.133,-5.573
2006-07,2006-12-04,GRI,KNI,KNI,23.846,3.471,9.294,0.373,3.0,7.824,0.383,0.471,1.471,0.32,1.471,2.353,0.625,1.118,3.412,4.529,0.588,0.941,0.941,1.412,2.412,8.882,4.853,-2.059,0.43,0.399,0.158,0.158,4.244,17.119,10.612,3.8,1.881,2.981,13.0,22.231,74.062,103.375,-4.919
2006-07,2006-12-06,GRI,CEL,CEL,24.124,3.5,9.278,0.377,3.056,7.889,0.387,0.444,1.389,0.32,1.444,2.389,0.605,1.056,3.444,4.5,0.611,0.944,0.889,1.389,2.333,8.889,4.861,-1.833,0.43,0.401,0.15,0.156,3.994,17.335,10.506,3.947,1.882,2.806,12.753,22.029,74.471,103.647,-4.871
2006-07,2006-12-08,GRI,BUC,BUC,23.953,3.474,9.211,0.377,3.053,7.895,0.387,0.421,1.316,0.32,1.474,2.368,0.622,1.053,3.474,4.526,0.632,0.947,0.842,1.368,2.316,8.842,4.889,-2.316,0.431,0.4,0.143,0.16,4.139,18.022,10.889,4.333,1.928,2.65,12.606,22.089,75.611,103.889,-4.856
2006-07,2006-12-09,GRI,CLI,GRI,23.94,3.45,9.2,0.375,3.05,7.85,0.389,0.4,1.35,0.296,1.55,2.45,0.633,1.05,3.45,4.5,0.65,0.95,0.85,1.4,2.25,8.85,4.9,-1.7,0.431,0.397,0.147,0.168,4.211,17.963,10.9,4.489,1.947,2.7,12.768,22.263,76.263,104.158,-4.842
2006-07,2006-12-11,GRI,NNE,NNE,23.637,3.381,9.0,0.376,3.0,7.714,0.389,0.381,1.286,0.296,1.476,2.476,0.596,1.048,3.381,4.429,0.619,1.0,0.81,1.333,2.286,8.619,4.771,-1.905,0.427,0.397,0.143,0.164,4.34,17.765,10.875,4.265,2.15,2.565,12.13,22.025,75.95,103.45,-4.8
2006-07,2006-12-13,GRI,BLA,GRI,23.542,3.318,8.909,0.372,2.955,7.682,0.385,0.364,1.227,0.296,1.591,2.591,0.614,1.0,3.364,4.364,0.591,1.0,0.864,1.364,2.182,8.591,4.773,-1.636,0.427,0.393,0.138,0.179,4.133,17.714,10.743,4.062,2.162,2.833,12.405,22.129,75.952,103.619,-4.862
2006-07,2006-12-15,GRI,HAW,GRI,23.619,3.435,9.087,0.378,3.087,7.913,0.39,0.348,1.174,0.296,1.522,2.522,0.603,1.0,3.304,4.304,0.652,1.0,0.87,1.478,2.174,8.739,4.761,-1.478,0.429,0.397,0.129,0.167,4.168,17.432,10.614,4.714,2.168,2.868,12.882,22.7,75.864,103.455,-4.845
