SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2022-23,2022-10-18,WAR,LAK,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-23,2022-10-21,WAR,NUG,WAR,0.935,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,-0.25,-1.5,0.0,0.0,0.0,0.0,0.0,55.9,26.8,57.1,0.0,0.0,0.0,20.2,59.0,91.0,-21.4
2022-23,2022-10-23,WAR,KIN,WAR,0.623,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,0.667,0.0,-0.167,-1.0,0.0,0.0,0.0,0.0,0.0,55.9,26.8,57.1,0.0,0.0,0.0,20.2,59.0,91.0,-21.4
2022-23,2022-10-27,WAR,HEA,WAR,0.712,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.5,0.0,-0.125,-2.0,0.0,0.0,0.0,0.0,0.0,27.95,13.4,28.55,0.0,0.0,0.0,10.1,29.5,107.0,-13.75
2022-23,2022-10-29,WAR,HOR,HOR,0.57,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.0,-0.1,-1.6,0.0,0.0,0.0,0.0,0.0,27.95,13.4,28.55,0.0,0.0,0.0,10.1,29.5,107.0,-13.75
2022-23,2022-10-30,WAR,PIS,PIS,0.475,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.0,0.0,0.0,0.333,0.0,-0.083,-1.333,0.0,0.0,0.0,0.0,0.0,27.95,13.4,28.55,0.0,0.0,0.0,10.1,29.5,107.0,-13.75
2022-23,2022-11-01,WAR,HEA,HEA,0.517,0.0,0.143,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.0,0.0,0.143,0.286,0.0,-0.214,-1.143,0.0,0.0,0.0,0.0,0.0,18.633,8.933,19.033,0.0,0.0,33.333,24.567,19.667,117.0,-32.433
2022-23,2022-11-03,WAR,MAG,MAG,0.452,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.25,0.0,-0.188,-1.0,0.0,0.0,0.0,0.0,0.0,18.633,8.933,19.033,0.0,0.0,33.333,24.567,19.667,117.0,-32.433
2022-23,2022-11-04,WAR,PEL,PEL,0.402,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.0,0.0,0.111,0.222,0.0,-0.167,-0.889,0.0,0.0,0.0,0.0,0.0,18.633,8.933,19.033,0.0,0.0,33.333,24.567,19.667,117.0,-32.433
2022-23,2022-11-13,WAR,KIN,KIN,1.27,0.2,0.5,0.4,0.1,0.3,0.333,0.1,0.2,0.5,0.2,0.2,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.5,0.4,0.7,-0.13,-2.8,0.595,0.5,0.4,0.4,0.0,13.975,6.7,14.275,0.0,0.0,36.25,29.7,31.75,118.5,-29.4
