SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,PIS,TIM,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-28,PIS,HAW,HAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2021-01-01,PIS,CEL,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2021-01-04,PIS,BUC,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2021-01-06,PIS,BUC,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2021-01-08,PIS,SUN,PIS,1.992,0.167,0.833,0.2,0.167,0.667,0.25,0.0,0.167,0.0,0.333,0.667,0.5,0.167,0.0,0.167,0.167,0.333,0.0,0.5,0.167,0.667,0.017,0.5,0.296,0.2,0.2,0.4,7.6,0.0,4.3,11.8,7.9,0.0,30.7,32.9,55.0,116.0,-13.8
2020-21,2021-01-10,PIS,JAZ,PIS,1.707,0.143,0.714,0.2,0.143,0.571,0.25,0.0,0.143,0.0,0.286,0.571,0.5,0.143,0.0,0.143,0.143,0.286,0.0,0.429,0.143,0.571,0.014,0.429,0.296,0.2,0.2,0.4,7.6,0.0,4.3,11.8,7.9,0.0,30.7,32.9,55.0,116.0,-13.8
2020-21,2021-01-13,PIS,BUC,PIS,1.494,0.125,0.625,0.2,0.125,0.5,0.25,0.0,0.125,0.0,0.25,0.5,0.5,0.125,0.0,0.125,0.125,0.25,0.0,0.375,0.125,0.5,0.012,0.375,0.296,0.2,0.2,0.4,7.6,0.0,4.3,11.8,7.9,0.0,30.7,32.9,55.0,116.0,-13.8
2020-21,2021-01-16,PIS,HEA,HEA,2.783,0.333,1.0,0.333,0.333,0.889,0.375,0.0,0.111,0.0,0.222,0.444,0.5,0.111,0.0,0.111,0.111,0.333,0.0,0.333,0.222,0.889,0.3,-0.333,0.372,0.333,0.111,0.222,3.8,0.0,2.15,5.9,5.8,0.0,15.35,22.7,77.5,114.5,-8.9
2020-21,2021-01-18,PIS,HEA,HEA,2.612,0.3,0.9,0.333,0.3,0.8,0.375,0.0,0.1,0.0,0.2,0.4,0.5,0.1,0.0,0.1,0.1,0.3,0.0,0.3,0.2,0.8,0.27,-0.4,0.372,0.333,0.111,0.222,2.533,0.0,1.433,3.933,3.867,0.0,10.233,15.133,51.667,115.0,-10.067
2020-21,2021-01-22,PIS,ROC,PIS,2.375,0.273,0.818,0.333,0.273,0.727,0.375,0.0,0.091,0.0,0.182,0.364,0.5,0.091,0.0,0.091,0.091,0.273,0.0,0.273,0.182,0.727,0.245,-0.364,0.372,0.333,0.111,0.222,2.533,0.0,1.433,3.933,3.867,0.0,10.233,15.133,51.667,115.0,-10.067
2020-21,2021-01-23,PIS,76E,PIS,2.177,0.25,0.75,0.333,0.25,0.667,0.375,0.0,0.083,0.0,0.167,0.333,0.5,0.083,0.0,0.083,0.083,0.25,0.0,0.25,0.167,0.667,0.225,-0.333,0.372,0.333,0.111,0.222,2.533,0.0,1.433,3.933,3.867,0.0,10.233,15.133,51.667,115.0,-10.067
2020-21,2021-01-25,PIS,76E,PIS,2.957,0.308,0.769,0.4,0.308,0.692,0.444,0.0,0.077,0.0,0.154,0.308,0.5,0.077,0.077,0.154,0.385,0.308,0.0,0.231,0.231,0.769,0.623,-0.154,0.425,0.4,0.1,0.2,1.9,2.075,2.125,14.725,3.85,0.0,7.675,12.2,94.25,114.0,-5.725
2020-21,2021-02-05,PIS,SUN,SUN,3.603,0.286,0.786,0.364,0.286,0.714,0.4,0.0,0.071,0.0,0.429,0.571,0.75,0.071,0.143,0.214,0.429,0.286,0.0,0.357,0.429,1.0,0.657,-0.643,0.482,0.364,0.091,0.545,1.52,3.3,2.66,14.06,3.08,0.0,14.54,13.4,95.4,114.6,-7.4
