SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2008-09,2008-10-29,SUN,SPU,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,2008-10-30,SUN,NHO,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,2008-11-01,SUN,BLA,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,2008-11-04,SUN,NNE,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09,2008-11-05,SUN,PAC,PAC,0.896,0.2,0.4,0.5,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.4,0.34,0.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,22.0,121.0,105.0,-2.7
2008-09,2008-11-07,SUN,BUL,BUL,0.747,0.167,0.333,0.5,0.167,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0,0.0,0.0,0.333,0.283,0.333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,22.0,121.0,105.0,-2.7
2008-09,2008-11-08,SUN,BUC,BUC,1.88,0.143,0.429,0.333,0.143,0.429,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.429,0.0,0,0.0,0.0,0.286,0.386,0.714,0.333,0.333,0.0,0.0,0.0,7.25,3.45,36.35,0.0,0.0,0.0,13.75,95.5,110.0,-2.3
2008-09,2008-11-10,SUN,GRI,SUN,1.645,0.125,0.375,0.333,0.125,0.375,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.0,0,0.0,0.0,0.25,0.338,0.625,0.333,0.333,0.0,0.0,0.0,7.25,3.45,36.35,0.0,0.0,0.0,13.75,95.5,110.0,-2.3
2008-09,2008-11-12,SUN,ROC,SUN,1.462,0.111,0.333,0.333,0.111,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.333,0.0,0,0.0,0.0,0.222,0.3,0.556,0.333,0.333,0.0,0.0,0.0,7.25,3.45,36.35,0.0,0.0,0.0,13.75,95.5,110.0,-2.3
2008-09,2008-11-14,SUN,KIN,KIN,1.316,0.1,0.3,0.333,0.1,0.3,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0,0.0,0.0,0.2,0.27,0.5,0.333,0.333,0.0,0.0,0.0,7.25,3.45,36.35,0.0,0.0,0.0,13.75,95.5,110.0,-2.3
2008-09,2008-11-16,SUN,PIS,SUN,3.281,0.273,0.909,0.3,0.182,0.636,0.286,0.091,0.273,0.333,0.0,0.0,0.0,0.182,0.364,0.545,0.364,0.0,0,0.0,0.182,0.636,0.527,0.273,0.35,0.35,0.3,0.0,3.333,10.333,6.667,26.7,0.0,0.0,0.0,13.867,97.0,107.0,-3.467
2008-09,2008-11-17,SUN,JAZ,JAZ,3.606,0.333,1.083,0.308,0.167,0.75,0.222,0.167,0.333,0.5,0.0,0.0,0.0,0.25,0.333,0.583,0.417,0.0,0,0.0,0.167,0.833,0.708,0.25,0.385,0.385,0.308,0.0,7.275,7.75,7.025,24.9,0.0,0.0,0.0,15.5,106.25,107.75,-1.025
2008-09,2008-11-20,SUN,LAK,SUN,3.328,0.308,1.0,0.308,0.154,0.692,0.222,0.154,0.308,0.5,0.0,0.0,0.0,0.231,0.308,0.538,0.385,0.0,0,0.0,0.154,0.769,0.654,0.231,0.385,0.385,0.308,0.0,7.275,7.75,7.025,24.9,0.0,0.0,0.0,15.5,106.25,107.75,-1.025
2008-09,2008-11-22,SUN,BLA,SUN,4.014,0.357,1.214,0.294,0.143,0.786,0.182,0.214,0.429,0.5,0.0,0.0,0.0,0.214,0.286,0.5,0.5,0.071,0,0.143,0.357,0.929,0.593,0.0,0.382,0.382,0.353,0.0,5.82,6.2,5.62,24.24,0.8,0.0,6.66,16.54,97.8,108.6,-2.4
2008-09,2008-11-25,SUN,THU,THU,4.295,0.4,1.4,0.286,0.2,1.0,0.2,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.267,0.467,0.533,0.067,0,0.133,0.4,1.0,0.547,0.067,0.357,0.357,0.286,0.0,4.85,5.167,4.683,23.05,0.667,0.0,5.55,17.6,94.667,109.833,-4.35
2008-09,2008-11-26,SUN,TIM,TIM,4.365,0.438,1.5,0.292,0.188,1.062,0.176,0.25,0.438,0.571,0.0,0.0,0.0,0.188,0.25,0.438,0.5,0.062,0,0.125,0.438,1.125,0.569,-0.062,0.375,0.375,0.292,0.0,4.157,4.429,4.014,19.757,0.571,0.0,4.757,19.0,95.429,111.143,-4.814
2008-09,2008-11-28,SUN,HEA,SUN,5.288,0.588,1.765,0.333,0.353,1.235,0.286,0.235,0.529,0.444,0.118,0.118,1.0,0.176,0.529,0.706,0.529,0.118,0,0.176,0.588,1.529,0.888,-0.118,0.421,0.4,0.3,0.067,3.638,6.65,5.275,18.288,0.812,0.0,5.75,18.987,96.625,109.75,-4.7
2008-09,2008-11-30,SUN,NNE,SUN,5.598,0.667,1.778,0.375,0.444,1.278,0.348,0.222,0.5,0.444,0.222,0.222,1.0,0.222,0.556,0.778,0.611,0.167,0,0.222,0.556,1.778,1.272,-0.833,0.474,0.437,0.281,0.125,4.433,7.133,5.9,19.5,1.267,0.0,7.978,18.711,104.0,110.333,-2.211
2008-09,2008-12-03,SUN,NHO,NHO,5.863,0.632,1.842,0.343,0.421,1.316,0.32,0.211,0.526,0.4,0.316,0.316,1.0,0.211,0.579,0.789,0.632,0.263,0,0.263,0.632,1.789,1.263,-1.211,0.452,0.4,0.286,0.171,3.99,7.64,5.98,18.68,2.09,0.0,9.23,18.95,99.8,110.1,-2.81
2008-09,2008-12-04,SUN,MAV,MAV,5.91,0.6,1.85,0.324,0.4,1.35,0.296,0.2,0.5,0.4,0.3,0.3,1.0,0.25,0.55,0.8,0.6,0.25,0,0.25,0.7,1.7,1.125,-0.9,0.429,0.378,0.27,0.162,5.273,6.945,6.282,16.982,1.9,0.0,8.391,18.555,94.091,112.455,-4.691
2008-09,2008-12-06,SUN,JAZ,SUN,5.692,0.571,1.762,0.324,0.381,1.286,0.296,0.19,0.476,0.4,0.286,0.286,1.0,0.238,0.524,0.762,0.571,0.286,0,0.238,0.667,1.619,1.119,-0.619,0.429,0.378,0.27,0.162,4.833,6.367,5.758,15.567,4.975,0.0,7.692,17.008,86.25,107.0,-0.733
