SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,HAW,76E,76E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,2006-11-03,HAW,KNI,HAW,8.04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.5,1.5,0.0,-1.0,-10.0,0.0,0.0,0.0,0.0,0.0,22.4,10.1,0.0,0.0,4.6,33.3,8.5,0.0,103.0,-13.3
2006-07,2006-11-05,HAW,MAG,HAW,14.103,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.667,0.667,1.0,2.0,2.0,4.0,0.0,0.333,1.0,1.0,1.667,0.667,0.633,-6.333,0.145,0.0,0.0,0.333,12.5,19.25,15.6,0.0,1.0,5.2,31.2,10.05,38.5,101.0,-9.75
2006-07,2006-11-07,HAW,CAV,CAV,14.04,0.25,2.5,0.1,0.25,2.5,0.1,0.0,0.0,0.0,0.5,0.5,1.0,1.75,1.75,3.5,0.0,0.5,0.75,1.5,2.25,1.0,-0.275,-3.75,0.184,0.1,0.0,0.2,11.367,15.533,13.267,0.0,1.933,3.467,35.1,14.367,38.0,97.0,-13.367
2006-07,2006-11-10,HAW,RAP,RAP,15.502,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.4,0.4,1.0,1.6,2.0,3.6,0.0,0.6,0.8,1.6,2.4,2.4,1.02,-4.8,0.378,0.333,0.0,0.133,10.475,15.1,12.825,0.0,2.1,3.475,33.475,14.825,54.5,96.25,-9.5
2006-07,2006-11-11,HAW,SUP,HAW,15.352,1.5,3.167,0.474,1.5,3.167,0.474,0.0,0.0,0.0,0.333,0.333,1.0,1.667,2.5,4.167,0.0,0.5,0.667,1.667,2.667,3.333,1.867,-2.167,0.503,0.474,0.0,0.105,11.66,18.78,15.44,0.0,1.68,2.78,33.44,15.5,69.2,97.6,-7.68
2006-07,2006-11-14,HAW,BUC,HAW,16.04,1.429,3.0,0.476,1.429,3.0,0.476,0.0,0.0,0.0,0.286,0.286,1.0,1.571,3.0,4.571,0.143,0.429,0.571,1.571,2.286,3.143,2.057,-3.857,0.503,0.476,0.0,0.095,10.783,21.367,16.383,1.133,1.4,2.317,33.417,14.083,73.167,100.5,-6.85
2006-07,2006-11-18,HAW,HEA,HAW,17.758,1.5,3.375,0.444,1.5,3.375,0.444,0.0,0.0,0.0,0.25,0.25,1.0,2.0,3.875,5.875,0.25,0.375,0.5,1.875,2.25,3.25,2.175,-3.125,0.466,0.444,0.0,0.074,12.271,24.071,18.471,1.629,1.2,1.986,34.357,14.229,72.714,102.0,-7.2
2006-07,2006-11-22,HAW,PIS,PIS,17.892,1.444,3.444,0.419,1.444,3.444,0.419,0.0,0.0,0.0,0.778,0.889,0.875,1.889,3.889,5.778,0.333,0.333,0.444,1.778,2.333,3.667,2.444,-3.333,0.478,0.419,0.0,0.226,11.375,23.862,17.825,2.588,1.05,1.737,31.7,14.825,77.0,101.375,-6.538
2006-07,2006-11-24,HAW,RAP,HAW,20.145,2.0,4.3,0.465,2.0,4.3,0.465,0.0,0.0,0.0,1.3,1.4,0.929,2.3,4.2,6.5,0.3,0.4,0.5,1.7,2.4,5.3,4.22,-2.9,0.539,0.465,0.0,0.302,12.0,23.1,17.733,2.3,1.078,1.722,28.889,15.133,84.556,102.667,-5.189
2006-07,2006-11-25,HAW,MAG,MAG,20.235,2.091,4.273,0.489,2.091,4.273,0.489,0.0,0.0,0.0,1.182,1.273,0.929,2.273,4.091,6.364,0.273,0.364,0.455,1.909,2.545,5.364,3.936,-3.909,0.555,0.489,0.0,0.277,11.94,22.34,17.31,2.07,0.97,1.55,31.0,15.36,83.8,102.8,-5.72
2006-07,2006-11-28,HAW,WIZ,WIZ,21.625,2.417,4.833,0.5,2.333,4.667,0.5,0.083,0.167,0.5,1.333,1.583,0.842,2.25,4.25,6.5,0.333,0.417,0.417,1.75,2.5,6.25,4.775,-5.0,0.565,0.509,0.034,0.276,11.345,22.127,16.827,2.527,1.009,1.409,28.182,15.427,88.091,103.0,-4.673
2006-07,2006-11-29,HAW,BOB,HAW,21.202,2.538,5.0,0.508,2.462,4.846,0.508,0.077,0.154,0.5,1.308,1.538,0.85,2.154,4.154,6.308,0.385,0.462,0.538,1.615,2.615,6.462,5.085,-4.615,0.569,0.515,0.031,0.262,10.925,22.408,16.633,3.342,1.192,2.35,25.833,15.792,91.917,101.833,-3.408
2006-07,2006-12-01,HAW,CAV,HAW,21.511,2.571,5.214,0.493,2.5,5.071,0.493,0.071,0.143,0.5,1.214,1.429,0.85,2.0,4.143,6.143,0.5,0.429,0.714,1.786,2.786,6.429,4.743,-3.571,0.55,0.5,0.027,0.233,10.085,21.862,16.062,4.008,1.1,2.838,26.408,16.269,89.462,101.846,-3.985
2006-07,2006-12-03,HAW,BLA,BLA,21.065,2.4,5.133,0.468,2.333,5.0,0.467,0.067,0.133,0.5,1.133,1.333,0.85,1.933,4.0,5.933,0.467,0.4,0.667,1.667,2.867,6.0,4.22,-4.133,0.524,0.474,0.026,0.221,10.007,21.521,15.85,3.721,1.021,2.636,24.521,16.064,84.643,103.071,-5.214
2006-07,2006-12-05,HAW,SUP,SUP,21.15,2.312,5.188,0.446,2.25,5.062,0.444,0.062,0.125,0.5,1.312,1.5,0.875,2.0,3.938,5.938,0.438,0.5,0.75,1.812,2.938,6.0,4.144,-3.125,0.513,0.452,0.024,0.253,10.64,21.347,16.073,3.473,1.26,2.953,25.153,16.647,83.733,102.467,-5.667
2006-07,2006-12-06,HAW,NUG,NUG,21.111,2.176,5.0,0.435,2.118,4.882,0.434,0.059,0.118,0.5,1.294,1.529,0.846,2.0,4.0,6.0,0.412,0.529,0.706,1.824,2.824,5.706,3.941,-3.471,0.503,0.441,0.024,0.259,10.725,22.231,16.494,3.256,1.344,2.769,26.144,16.256,81.062,102.625,-6.031
2006-07,2006-12-08,HAW,LAK,LAK,20.978,2.167,4.889,0.443,2.111,4.778,0.442,0.056,0.111,0.5,1.389,1.722,0.806,1.944,3.889,5.833,0.444,0.722,0.667,1.722,2.833,5.778,4.261,-2.611,0.512,0.449,0.023,0.284,10.471,21.606,16.065,3.624,1.894,2.606,24.606,16.012,85.176,101.412,-4.9
2006-07,2006-12-10,HAW,KIN,KIN,20.789,2.211,5.053,0.438,2.158,4.947,0.436,0.053,0.105,0.5,1.421,1.737,0.818,1.895,3.842,5.737,0.474,0.684,0.684,1.632,2.737,5.895,4.363,-2.474,0.507,0.443,0.021,0.281,10.217,21.939,15.967,3.978,1.789,2.761,23.239,16.383,86.556,102.333,-4.706
2006-07,2006-12-12,HAW,NUG,HAW,20.628,2.2,5.0,0.44,2.15,4.9,0.439,0.05,0.1,0.5,1.35,1.65,0.818,1.85,3.75,5.6,0.5,0.7,0.75,1.7,2.75,5.8,4.255,-2.6,0.506,0.445,0.02,0.27,10.032,21.774,15.742,4.311,1.842,3.047,24.274,16.389,85.526,102.632,-4.642
2006-07,2006-12-13,HAW,KNI,KNI,20.107,2.095,4.81,0.436,2.048,4.714,0.434,0.048,0.095,0.5,1.286,1.571,0.818,1.762,3.619,5.381,0.476,0.667,0.762,1.619,2.714,5.524,4.029,-2.952,0.502,0.441,0.02,0.267,9.53,21.375,15.255,4.095,1.75,3.33,23.06,15.79,81.25,102.8,-4.955
2006-07,2006-12-15,HAW,GRI,GRI,19.846,2.045,4.682,0.437,2.0,4.591,0.436,0.045,0.091,0.5,1.364,1.682,0.811,1.727,3.545,5.273,0.455,0.636,0.727,1.545,2.591,5.5,4.068,-3.0,0.507,0.442,0.019,0.291,9.438,21.238,15.124,3.9,1.667,3.171,21.962,15.652,84.524,103.333,-4.633
