SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-10-29,CAV,KIN,KIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03,2002-10-30,CAV,CLI,CLI,3.885,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.0,0.0,0.0,1.0,1.35,-1.5,0.333,0.333,0.333,0.0,0.0,13.6,6.4,85.7,0.0,0.0,0.0,16.1,105.0,107.0,5.3
2002-03,2002-11-01,CAV,SUN,SUN,2.613,0.333,1.0,0.333,0.333,0.667,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,0.0,0.0,0.667,0.9,-1.667,0.333,0.333,0.333,0.0,0.0,6.8,3.2,42.85,0.0,0.0,0.0,8.05,52.5,112.5,-4.4
2002-03,2002-11-05,CAV,LAK,CAV,1.96,0.25,0.75,0.333,0.25,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,0.0,0.0,0.5,0.675,-1.25,0.333,0.333,0.333,0.0,0.0,6.8,3.2,42.85,0.0,0.0,0.0,8.05,52.5,112.5,-4.4
2002-03,2002-11-06,CAV,WIZ,WIZ,2.262,0.2,0.8,0.25,0.2,0.6,0.333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.0,0.0,0.4,0.0,0.4,0.06,-1.2,0.25,0.25,0.25,0.0,0.0,14.6,7.7,28.567,0.0,0.0,22.233,20.333,35.0,99.667,-18.7
2002-03,2002-11-08,CAV,76E,76E,3.323,0.833,1.333,0.625,0.667,1.0,0.667,0.167,0.333,0.5,0.333,0.5,0.667,0.0,0.333,0.333,1.167,0.5,0.0,0.5,0.167,2.167,2.35,0.167,0.697,0.688,0.25,0.25,0.0,10.95,5.775,46.425,4.075,0.0,20.625,22.475,70.5,95.75,-0.35
2002-03,2002-11-09,CAV,WIZ,CAV,6.066,1.286,2.286,0.563,1.143,1.714,0.667,0.143,0.571,0.25,0.286,0.571,0.5,0.0,0.571,0.571,1.143,0.571,0.0,1.286,0.571,3.0,1.829,-1.714,0.591,0.594,0.25,0.125,0.0,10.58,5.62,38.76,3.68,0.0,24.82,23.44,67.2,98.8,-4.06
2002-03,2002-11-12,CAV,PAC,PAC,6.851,1.25,2.625,0.476,1.0,1.75,0.571,0.25,0.875,0.286,0.25,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.375,0.875,3.0,1.338,-2.625,0.527,0.524,0.333,0.095,0.0,15.317,7.65,32.3,3.067,0.0,25.45,23.75,63.167,98.833,-6.95
2002-03,2002-11-13,CAV,MAV,CAV,6.496,1.111,2.333,0.476,0.889,1.556,0.571,0.222,0.778,0.286,0.444,0.667,0.667,0.0,0.889,0.889,0.889,0.444,0.0,1.333,0.778,2.889,1.3,-2.889,0.55,0.524,0.333,0.19,0.0,13.129,6.557,27.686,2.629,0.0,29.414,23.271,69.286,100.857,-7.271
2002-03,2002-11-16,CAV,SPU,CAV,5.846,1.0,2.1,0.476,0.8,1.4,0.571,0.2,0.7,0.286,0.4,0.6,0.667,0.0,0.8,0.8,0.8,0.4,0.0,1.2,0.7,2.6,1.17,-2.6,0.55,0.524,0.333,0.19,0.0,13.129,6.557,27.686,2.629,0.0,29.414,23.271,69.286,100.857,-7.271
2002-03,2002-11-18,CAV,SPU,SPU,6.817,1.182,2.545,0.464,1.0,1.727,0.579,0.182,0.818,0.222,0.364,0.545,0.667,0.0,0.727,0.727,0.909,0.455,0.0,1.182,0.818,2.909,1.327,-3.182,0.522,0.5,0.321,0.143,0.0,11.488,5.738,27.1,2.675,0.0,27.3,23.0,70.875,100.875,-6.987
2002-03,2002-11-19,CAV,ROC,ROC,8.051,1.167,2.917,0.4,1.0,2.0,0.5,0.167,0.917,0.182,0.5,0.667,0.75,0.0,0.75,0.75,1.083,0.583,0.0,1.167,0.833,3.0,1.425,-4.167,0.467,0.429,0.314,0.171,0.0,10.911,5.411,27.167,2.956,0.0,25.522,22.689,70.0,102.222,-6.744
2002-03,2002-11-22,CAV,NNE,NNE,7.432,1.077,2.692,0.4,0.923,1.846,0.5,0.154,0.846,0.182,0.462,0.615,0.75,0.0,0.692,0.692,1.0,0.538,0.0,1.077,0.769,2.769,1.315,-3.846,0.467,0.429,0.314,0.171,0.0,10.911,5.411,27.167,2.956,0.0,25.522,22.689,70.0,102.222,-6.744
2002-03,2002-11-23,CAV,NHO,CAV,8.477,1.429,3.214,0.444,1.214,2.214,0.548,0.214,1.0,0.214,0.786,0.929,0.846,0.0,0.786,0.786,1.0,0.643,0.0,1.357,0.786,3.857,2.029,-4.786,0.532,0.478,0.311,0.244,0.0,10.97,5.42,25.74,3.08,0.0,25.88,23.74,72.8,103.2,-5.47
2002-03,2002-11-26,CAV,KIN,CAV,8.764,1.4,3.267,0.429,1.133,2.2,0.515,0.267,1.067,0.25,0.867,1.0,0.867,0.0,0.8,0.8,1.133,0.6,0.0,1.267,0.933,3.933,2.147,-4.2,0.531,0.469,0.327,0.265,0.0,10.773,5.318,27.227,2.8,0.0,23.527,23.3,77.091,104.455,-5.1
2002-03,2002-11-27,CAV,BUC,BUC,8.216,1.312,3.062,0.429,1.062,2.062,0.515,0.25,1.0,0.25,0.812,0.938,0.867,0.0,0.75,0.75,1.062,0.562,0.0,1.188,0.875,3.688,2.013,-3.938,0.531,0.469,0.327,0.265,0.0,10.773,5.318,27.227,2.8,0.0,23.527,23.3,77.091,104.455,-5.1
2002-03,2002-11-29,CAV,76E,CAV,8.439,1.294,3.294,0.393,1.0,2.294,0.436,0.294,1.0,0.294,0.765,0.882,0.867,0.118,0.706,0.824,1.176,0.529,0.0,1.118,0.824,3.647,2.012,-4.412,0.495,0.438,0.304,0.232,1.308,9.875,5.625,28.658,2.567,0.0,21.567,23.483,77.583,107.167,-5.058
2002-03,2002-11-30,CAV,HEA,HEA,8.493,1.222,3.167,0.386,0.944,2.222,0.425,0.278,0.944,0.294,0.722,0.833,0.867,0.167,0.722,0.889,1.222,0.5,0.0,1.167,0.889,3.444,1.839,-3.667,0.487,0.43,0.298,0.228,2.123,10.031,6.108,28.562,2.369,0.0,25.038,22.738,74.923,107.923,-6.138
2002-03,2002-12-02,CAV,KNI,KNI,9.079,1.211,3.316,0.365,0.895,2.263,0.395,0.316,1.053,0.3,1.0,1.158,0.864,0.211,0.842,1.053,1.263,0.474,0.0,1.316,0.947,3.737,1.9,-3.737,0.488,0.413,0.317,0.302,2.364,10.707,6.521,28.186,2.2,0.0,25.436,23.264,75.357,107.286,-6.257
2002-03,2002-12-04,CAV,BUL,CAV,9.651,1.3,3.55,0.366,1.0,2.4,0.417,0.3,1.15,0.261,1.05,1.2,0.875,0.2,0.8,1.0,1.35,0.55,0.0,1.3,0.95,3.95,2.12,-4.2,0.484,0.408,0.324,0.296,2.207,9.993,6.087,27.873,2.373,0.0,24.413,23.053,76.667,108.733,-6.0
2002-03,2002-12-07,CAV,BUL,BUL,9.949,1.333,3.619,0.368,1.048,2.476,0.423,0.286,1.143,0.25,1.143,1.286,0.889,0.238,0.952,1.19,1.381,0.571,0.0,1.238,1.048,4.095,2.371,-3.762,0.489,0.408,0.316,0.316,2.475,10.931,6.706,27.2,2.419,0.0,22.888,22.581,81.375,108.125,-5.4
2002-03,2002-12-09,CAV,BUC,CAV,10.252,1.364,3.545,0.385,1.0,2.364,0.423,0.364,1.182,0.308,1.091,1.227,0.889,0.227,0.909,1.136,1.364,0.545,0.0,1.273,1.045,4.182,2.432,-3.545,0.512,0.436,0.333,0.308,2.329,10.288,6.312,26.165,2.276,0.0,24.482,21.882,82.882,109.412,-5.124
2002-03,2002-12-11,CAV,RAP,CAV,11.122,1.609,3.87,0.416,1.174,2.565,0.458,0.435,1.304,0.333,1.217,1.348,0.903,0.217,1.043,1.261,1.652,0.522,0.087,1.391,1.217,4.87,3.078,-3.13,0.546,0.472,0.337,0.315,2.2,10.578,6.406,26.944,2.15,0.333,24.45,21.95,85.611,110.167,-4.378
2002-03,2002-12-13,CAV,CEL,CEL,11.78,1.667,4.0,0.417,1.25,2.667,0.469,0.417,1.333,0.313,1.208,1.375,0.879,0.208,1.167,1.375,1.708,0.583,0.167,1.458,1.333,4.958,3.158,-3.083,0.538,0.469,0.333,0.302,2.084,10.816,6.479,26.474,2.232,0.574,24.616,21.747,84.947,108.632,-4.321
