SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-29,PAC,MAG,PAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-10-30,PAC,PEL,PEL,4.06,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,-0.9,-5.0,0.0,0.0,0.0,0.0,0.0,12.6,7.1,0.0,0.0,0.0,50.0,11.3,0.0,98.0,-17.9
2013-14,2013-11-02,PAC,CAV,PAC,2.707,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.333,0.333,0.0,-0.6,-3.333,0.0,0.0,0.0,0.0,0.0,12.6,7.1,0.0,0.0,0.0,50.0,11.3,0.0,98.0,-17.9
2013-14,2013-11-05,PAC,PIS,PIS,4.375,0.5,0.75,0.667,0.5,0.75,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,1.0,0.25,0.0,0.25,0.5,0.25,1.0,0.825,-1.5,0.667,0.667,0.0,0.0,6.25,17.2,12.25,11.75,0.0,3.75,41.65,12.9,63.0,86.0,-1.9
2013-14,2013-11-06,PAC,BUL,PAC,4.58,0.8,1.0,0.8,0.6,0.8,0.75,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.6,0.8,0.2,0.0,0.2,0.4,0.2,1.8,1.54,0.4,0.9,0.9,0.2,0.0,4.167,11.467,8.167,7.833,0.0,2.5,27.767,14.467,125.333,92.333,5.9
2013-14,2013-11-08,PAC,RAP,PAC,4.988,0.667,1.167,0.571,0.5,0.667,0.75,0.167,0.5,0.333,0.0,0.0,0.0,0.333,0.667,1.0,0.333,0.0,0.167,0.333,0.333,1.5,1.267,0.833,0.643,0.643,0.429,0.0,6.825,12.3,9.825,10.625,0.0,1.875,20.825,13.975,108.5,93.25,2.025
2013-14,2013-11-09,PAC,NET,NET,6.366,0.571,1.143,0.5,0.429,0.571,0.75,0.143,0.571,0.25,0.0,0.0,0.0,0.286,1.0,1.286,0.286,0.0,0.143,0.286,0.429,1.286,1.057,0.0,0.563,0.562,0.5,0.0,5.46,14.32,10.32,8.5,0.0,1.5,16.66,11.84,86.8,94.0,0.26
2013-14,2013-11-11,PAC,GRI,PAC,6.401,0.5,1.0,0.5,0.375,0.5,0.75,0.125,0.5,0.25,0.0,0.0,0.0,0.375,0.875,1.25,0.375,0.0,0.125,0.25,0.5,1.125,1.05,-1.0,0.562,0.562,0.5,0.0,7.417,11.933,10.1,10.333,0.0,1.25,13.883,9.867,108.5,96.833,0.317
2013-14,2013-11-15,PAC,BUC,PAC,7.203,0.444,1.222,0.364,0.333,0.444,0.75,0.111,0.778,0.143,0.0,0.0,0.0,0.556,1.0,1.556,0.444,0.0,0.111,0.556,0.556,1.0,0.622,-1.333,0.409,0.409,0.636,0.0,9.314,12.571,11.271,10.214,0.0,1.071,19.043,11.571,97.571,97.0,-2.771
2013-14,2013-11-16,PAC,BUL,BUL,8.376,0.4,1.3,0.308,0.3,0.4,0.75,0.1,0.9,0.111,0.2,0.2,1.0,0.5,1.2,1.7,0.5,0.1,0.1,0.5,0.7,1.1,0.8,0.3,0.396,0.346,0.692,0.154,8.15,12.825,11.0,9.725,0.362,0.938,16.662,11.025,98.0,95.625,-2.55
2013-14,2013-11-20,PAC,KNI,KNI,8.542,0.364,1.273,0.286,0.273,0.364,0.75,0.091,0.909,0.1,0.182,0.182,1.0,0.545,1.182,1.727,0.636,0.091,0.182,0.636,0.636,1.0,0.764,0.273,0.37,0.321,0.714,0.143,8.411,12.933,11.1,11.722,0.322,1.7,22.222,11.278,91.778,98.444,-2.867
2013-14,2013-11-22,PAC,CEL,CEL,7.83,0.333,1.167,0.286,0.25,0.333,0.75,0.083,0.833,0.1,0.167,0.167,1.0,0.5,1.083,1.583,0.583,0.083,0.167,0.583,0.583,0.917,0.7,0.25,0.37,0.321,0.714,0.143,8.411,12.933,11.1,11.722,0.322,1.7,22.222,11.278,91.778,98.444,-2.867
2013-14,2013-11-23,PAC,76E,PAC,7.228,0.308,1.077,0.286,0.231,0.308,0.75,0.077,0.769,0.1,0.154,0.154,1.0,0.462,1.0,1.462,0.538,0.077,0.154,0.538,0.538,0.846,0.646,0.231,0.37,0.321,0.714,0.143,8.411,12.933,11.1,11.722,0.322,1.7,22.222,11.278,91.778,98.444,-2.867
2013-14,2013-11-25,PAC,TIM,PAC,7.181,0.286,1.071,0.267,0.214,0.286,0.75,0.071,0.786,0.091,0.214,0.214,1.0,0.429,1.0,1.429,0.5,0.071,0.143,0.5,0.5,0.857,0.643,0.5,0.368,0.3,0.733,0.2,7.57,12.76,10.69,10.55,0.29,1.53,20.0,11.09,90.8,98.6,-3.23
2013-14,2013-11-27,PAC,BOB,BOB,6.702,0.267,1.0,0.267,0.2,0.267,0.75,0.067,0.733,0.091,0.2,0.2,1.0,0.4,0.933,1.333,0.467,0.067,0.133,0.467,0.467,0.8,0.6,0.467,0.368,0.3,0.733,0.2,7.57,12.76,10.69,10.55,0.29,1.53,20.0,11.09,90.8,98.6,-3.23
2013-14,2013-11-29,PAC,WIZ,PAC,6.436,0.25,0.938,0.267,0.188,0.25,0.75,0.062,0.688,0.091,0.188,0.188,1.0,0.375,0.875,1.25,0.5,0.062,0.125,0.438,0.5,0.75,0.581,0.562,0.368,0.3,0.733,0.2,6.882,11.6,9.718,15.155,0.264,1.391,18.182,10.082,103.545,97.455,-2.4
2013-14,2013-12-01,PAC,CLI,CLI,7.277,0.353,1.118,0.316,0.176,0.294,0.6,0.176,0.824,0.214,0.176,0.176,1.0,0.471,0.941,1.412,0.471,0.118,0.118,0.412,0.529,1.059,0.935,0.765,0.443,0.395,0.737,0.158,7.167,11.575,9.808,13.892,0.458,1.275,16.667,9.975,108.167,96.333,-1.642
2013-14,2013-12-02,PAC,BLA,BLA,7.251,0.389,1.167,0.333,0.167,0.278,0.6,0.222,0.889,0.25,0.167,0.167,1.0,0.444,0.944,1.389,0.444,0.111,0.111,0.389,0.611,1.167,0.967,0.444,0.47,0.429,0.762,0.143,6.615,11.892,9.654,12.823,0.423,1.177,15.385,10.138,111.846,97.308,-1.346
2013-14,2013-12-04,PAC,JAZ,JAZ,7.107,0.368,1.105,0.333,0.158,0.263,0.6,0.211,0.842,0.25,0.158,0.158,1.0,0.421,0.895,1.316,0.421,0.105,0.105,0.368,0.579,1.105,0.916,0.579,0.47,0.429,0.762,0.143,6.143,11.043,8.964,11.907,0.393,1.093,14.286,9.414,103.857,98.643,-1.636
2013-14,2013-12-07,PAC,SPU,SPU,6.752,0.35,1.05,0.333,0.15,0.25,0.6,0.2,0.8,0.25,0.15,0.15,1.0,0.4,0.85,1.25,0.4,0.1,0.1,0.35,0.55,1.05,0.87,0.55,0.47,0.429,0.762,0.143,6.143,11.043,8.964,11.907,0.393,1.093,14.286,9.414,103.857,98.643,-1.636
2013-14,2013-12-08,PAC,THU,THU,6.556,0.333,1.048,0.318,0.143,0.286,0.5,0.19,0.762,0.25,0.143,0.143,1.0,0.381,0.81,1.19,0.381,0.095,0.095,0.381,0.524,1.0,0.748,0.143,0.45,0.409,0.727,0.136,5.733,10.307,8.367,11.113,0.367,1.02,16.667,11.267,96.933,100.133,-4.447
2013-14,2013-12-10,PAC,HEA,PAC,6.562,0.364,1.091,0.333,0.182,0.318,0.571,0.182,0.773,0.235,0.182,0.227,0.8,0.364,0.818,1.182,0.409,0.091,0.091,0.364,0.5,1.091,0.832,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2013-12-13,PAC,BOB,PAC,6.277,0.348,1.043,0.333,0.174,0.304,0.571,0.174,0.739,0.235,0.174,0.217,0.8,0.348,0.783,1.13,0.391,0.087,0.087,0.348,0.478,1.043,0.796,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2013-12-16,PAC,PIS,PAC,6.015,0.333,1.0,0.333,0.167,0.292,0.571,0.167,0.708,0.235,0.167,0.208,0.8,0.333,0.75,1.083,0.375,0.083,0.083,0.333,0.458,1.0,0.762,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2013-12-18,PAC,HEA,HEA,5.774,0.32,0.96,0.333,0.16,0.28,0.571,0.16,0.68,0.235,0.16,0.2,0.8,0.32,0.72,1.04,0.36,0.08,0.08,0.32,0.44,0.96,0.732,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2014-01-08,PAC,HAW,HAW,5.552,0.308,0.923,0.333,0.154,0.269,0.571,0.154,0.654,0.235,0.154,0.192,0.8,0.308,0.692,1.0,0.346,0.077,0.077,0.308,0.423,0.923,0.704,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2014-01-22,PAC,SUN,SUN,5.347,0.296,0.889,0.333,0.148,0.259,0.571,0.148,0.63,0.235,0.148,0.185,0.8,0.296,0.667,0.963,0.333,0.074,0.074,0.296,0.407,0.889,0.678,0.0,0.458,0.417,0.708,0.167,5.375,11.156,8.444,12.094,0.344,0.956,15.625,11.769,98.375,101.938,-3.925
2013-14,2014-02-07,PAC,BLA,PAC,5.374,0.321,0.893,0.36,0.179,0.286,0.625,0.143,0.607,0.235,0.143,0.179,0.8,0.286,0.643,0.929,0.321,0.071,0.071,0.321,0.393,0.929,0.679,0.071,0.478,0.44,0.68,0.16,5.059,10.5,7.947,11.382,0.324,0.9,17.647,11.941,97.529,103.882,-4.024
2013-14,2014-02-09,PAC,MAG,MAG,5.188,0.31,0.862,0.36,0.172,0.276,0.625,0.138,0.586,0.235,0.138,0.172,0.8,0.276,0.621,0.897,0.31,0.069,0.069,0.31,0.379,0.897,0.655,0.069,0.478,0.44,0.68,0.16,5.059,10.5,7.947,11.382,0.324,0.9,17.647,11.941,97.529,103.882,-4.024
2013-14,2014-02-10,PAC,NUG,PAC,5.015,0.3,0.833,0.36,0.167,0.267,0.625,0.133,0.567,0.235,0.133,0.167,0.8,0.267,0.6,0.867,0.3,0.067,0.067,0.3,0.367,0.867,0.633,0.067,0.478,0.44,0.68,0.16,5.059,10.5,7.947,11.382,0.324,0.9,17.647,11.941,97.529,103.882,-4.024
2013-14,2014-02-12,PAC,MAV,PAC,5.088,0.355,0.871,0.407,0.226,0.323,0.7,0.129,0.548,0.235,0.129,0.161,0.8,0.258,0.613,0.871,0.323,0.097,0.065,0.29,0.355,0.968,0.787,0.355,0.514,0.481,0.63,0.148,4.778,10.539,7.9,11.867,0.706,0.85,16.667,11.972,103.278,102.5,-2.461
2013-14,2014-02-22,PAC,BUC,BUC,4.929,0.344,0.844,0.407,0.219,0.312,0.7,0.125,0.531,0.235,0.125,0.156,0.8,0.25,0.594,0.844,0.312,0.094,0.062,0.281,0.344,0.938,0.762,0.344,0.514,0.481,0.63,0.148,4.778,10.539,7.9,11.867,0.706,0.85,16.667,11.972,103.278,102.5,-2.461
2013-14,2014-03-01,PAC,CEL,CEL,4.78,0.333,0.818,0.407,0.212,0.303,0.7,0.121,0.515,0.235,0.121,0.152,0.8,0.242,0.576,0.818,0.303,0.091,0.061,0.273,0.333,0.909,0.739,0.333,0.514,0.481,0.63,0.148,4.778,10.539,7.9,11.867,0.706,0.85,16.667,11.972,103.278,102.5,-2.461
2013-14,2014-03-02,PAC,JAZ,PAC,4.639,0.324,0.794,0.407,0.206,0.294,0.7,0.118,0.5,0.235,0.118,0.147,0.8,0.235,0.559,0.794,0.294,0.088,0.059,0.265,0.324,0.882,0.718,0.324,0.514,0.481,0.63,0.148,4.778,10.539,7.9,11.867,0.706,0.85,16.667,11.972,103.278,102.5,-2.461
2013-14,2014-03-07,PAC,ROC,ROC,4.507,0.314,0.771,0.407,0.2,0.286,0.7,0.114,0.486,0.235,0.114,0.143,0.8,0.229,0.543,0.771,0.286,0.086,0.057,0.257,0.314,0.857,0.697,0.314,0.514,0.481,0.63,0.148,4.778,10.539,7.9,11.867,0.706,0.85,16.667,11.972,103.278,102.5,-2.461
2013-14,2014-03-09,PAC,MAV,MAV,4.602,0.389,0.833,0.467,0.222,0.306,0.727,0.167,0.528,0.316,0.111,0.139,0.8,0.222,0.611,0.833,0.278,0.111,0.056,0.306,0.306,1.056,0.872,0.417,0.59,0.567,0.633,0.133,4.526,12.789,8.868,11.242,1.021,0.805,17.895,12.968,102.632,102.895,-0.979
2013-14,2014-03-11,PAC,CEL,PAC,4.482,0.378,0.811,0.467,0.216,0.297,0.727,0.162,0.514,0.316,0.108,0.135,0.8,0.216,0.595,0.811,0.27,0.108,0.054,0.297,0.297,1.027,0.849,0.405,0.59,0.567,0.633,0.133,4.3,12.15,8.425,10.68,0.97,0.765,17.0,12.32,97.5,104.15,-1.055
2013-14,2014-03-14,PAC,76E,76E,4.364,0.368,0.789,0.467,0.211,0.289,0.727,0.158,0.5,0.316,0.105,0.132,0.8,0.211,0.579,0.789,0.263,0.105,0.053,0.289,0.289,1.0,0.826,0.395,0.59,0.567,0.633,0.133,4.3,12.15,8.425,10.68,0.97,0.765,17.0,12.32,97.5,104.15,-1.055
2013-14,2014-03-15,PAC,PIS,PIS,4.252,0.359,0.769,0.467,0.205,0.282,0.727,0.154,0.487,0.316,0.103,0.128,0.8,0.205,0.564,0.769,0.256,0.103,0.051,0.282,0.282,0.974,0.805,0.385,0.59,0.567,0.633,0.133,4.3,12.15,8.425,10.68,0.97,0.765,17.0,12.32,97.5,104.15,-1.055
2013-14,2014-03-17,PAC,76E,PAC,4.158,0.35,0.75,0.467,0.2,0.275,0.727,0.15,0.475,0.316,0.1,0.125,0.8,0.2,0.55,0.75,0.25,0.1,0.05,0.275,0.275,0.95,0.785,0.425,0.59,0.567,0.633,0.133,4.095,11.571,8.024,10.171,0.924,0.729,16.19,11.733,92.857,104.333,-1.333
2013-14,2014-03-19,PAC,KNI,KNI,4.057,0.341,0.732,0.467,0.195,0.268,0.727,0.146,0.463,0.316,0.098,0.122,0.8,0.195,0.537,0.732,0.244,0.098,0.049,0.268,0.268,0.927,0.766,0.415,0.59,0.567,0.633,0.133,4.095,11.571,8.024,10.171,0.924,0.729,16.19,11.733,92.857,104.333,-1.333
2013-14,2014-03-21,PAC,BUL,PAC,3.96,0.333,0.714,0.467,0.19,0.262,0.727,0.143,0.452,0.316,0.095,0.119,0.8,0.19,0.524,0.714,0.238,0.095,0.048,0.262,0.262,0.905,0.748,0.405,0.59,0.567,0.633,0.133,4.095,11.571,8.024,10.171,0.924,0.729,16.19,11.733,92.857,104.333,-1.333
2013-14,2014-03-22,PAC,GRI,GRI,3.868,0.326,0.698,0.467,0.186,0.256,0.727,0.14,0.442,0.316,0.093,0.116,0.8,0.186,0.512,0.698,0.233,0.093,0.047,0.256,0.256,0.884,0.73,0.395,0.59,0.567,0.633,0.133,4.095,11.571,8.024,10.171,0.924,0.729,16.19,11.733,92.857,104.333,-1.333
2013-14,2014-03-24,PAC,BUL,BUL,3.823,0.341,0.727,0.469,0.205,0.295,0.692,0.136,0.432,0.316,0.091,0.114,0.8,0.205,0.523,0.727,0.227,0.091,0.045,0.25,0.25,0.909,0.759,0.432,0.585,0.562,0.594,0.125,6.505,14.205,10.509,9.709,0.882,0.695,15.455,13.791,93.727,103.682,-0.173
2013-14,2014-03-26,PAC,HEA,PAC,3.761,0.333,0.711,0.469,0.2,0.289,0.692,0.133,0.422,0.316,0.089,0.111,0.8,0.2,0.511,0.711,0.222,0.089,0.044,0.244,0.267,0.889,0.733,0.378,0.585,0.562,0.594,0.125,6.222,13.587,10.052,9.287,0.843,0.665,14.783,13.191,89.652,103.826,-1.143
2013-14,2014-03-28,PAC,WIZ,WIZ,3.679,0.326,0.696,0.469,0.196,0.283,0.692,0.13,0.413,0.316,0.087,0.109,0.8,0.196,0.5,0.696,0.217,0.087,0.043,0.239,0.261,0.87,0.717,0.37,0.585,0.562,0.594,0.125,6.222,13.587,10.052,9.287,0.843,0.665,14.783,13.191,89.652,103.826,-1.143
2013-14,2014-03-30,PAC,CAV,CAV,3.645,0.319,0.681,0.469,0.191,0.277,0.692,0.128,0.404,0.316,0.085,0.106,0.8,0.191,0.489,0.681,0.213,0.085,0.043,0.234,0.255,0.851,0.702,0.404,0.585,0.562,0.594,0.125,5.962,13.021,9.633,8.9,0.808,0.638,14.167,12.642,85.917,104.292,-1.337
2013-14,2014-03-31,PAC,SPU,PAC,3.596,0.312,0.667,0.469,0.188,0.271,0.692,0.125,0.396,0.316,0.083,0.104,0.8,0.188,0.5,0.688,0.208,0.083,0.042,0.229,0.25,0.833,0.694,0.396,0.585,0.562,0.594,0.125,5.724,16.012,10.924,8.544,0.776,0.612,13.6,12.136,82.48,103.56,-1.344
2013-14,2014-04-02,PAC,PIS,PAC,3.597,0.306,0.653,0.469,0.184,0.265,0.692,0.122,0.388,0.316,0.082,0.102,0.8,0.184,0.51,0.694,0.204,0.082,0.041,0.224,0.286,0.816,0.669,0.306,0.585,0.563,0.594,0.125,5.504,16.612,11.192,8.215,0.746,0.588,13.077,11.669,79.308,104.154,-1.85
2013-14,2014-04-09,PAC,BUC,BUC,3.525,0.3,0.64,0.469,0.18,0.26,0.692,0.12,0.38,0.316,0.08,0.1,0.8,0.18,0.5,0.68,0.2,0.08,0.04,0.22,0.28,0.8,0.656,0.3,0.585,0.562,0.594,0.125,5.504,16.612,11.192,8.215,0.746,0.588,13.077,11.669,79.308,104.154,-1.85
2013-14,2014-04-16,PAC,MAG,MAG,3.906,0.294,0.667,0.441,0.176,0.255,0.692,0.118,0.412,0.286,0.118,0.137,0.857,0.176,0.529,0.706,0.216,0.098,0.039,0.235,0.373,0.824,0.641,0.255,0.566,0.529,0.618,0.176,5.3,16.326,10.952,8.1,0.8,0.567,13.548,11.526,78.926,104.296,-2.159
2013-14,2014-05-18,PAC,HEA,PAC,4.338,0.327,0.769,0.425,0.192,0.327,0.588,0.135,0.442,0.304,0.115,0.135,0.857,0.173,0.615,0.788,0.231,0.096,0.038,0.25,0.365,0.904,0.683,0.231,0.545,0.512,0.575,0.15,5.111,16.45,10.914,7.986,0.771,0.546,13.575,11.546,79.071,104.107,-2.329
2014-15,2014-10-29,PAC,76E,PAC,4.6,0.33,0.79,0.421,0.18,0.33,0.56,0.15,0.461,0.313,0.108,0.126,0.816,0.21,0.67,0.88,0.263,0.09,0.084,0.257,0.389,0.916,0.755,0.12,0.543,0.511,0.579,0.143,5.194,15.922,10.698,7.91,0.71,0.803,13.673,10.984,78.043,104.061,-2.159
2014-15,2014-10-31,PAC,GRI,PAC,5.07,0.352,0.838,0.423,0.172,0.322,0.535,0.181,0.516,0.322,0.163,0.181,0.87,0.215,0.761,0.976,0.266,0.085,0.095,0.283,0.507,1.049,0.827,-0.431,0.557,0.52,0.595,0.173,4.958,16.044,10.666,7.55,0.677,0.766,14.225,10.994,80.223,104.422,-2.315
2014-15,2014-11-01,PAC,HAW,HAW,6.111,0.442,1.08,0.42,0.197,0.41,0.544,0.245,0.671,0.322,0.229,0.245,0.876,0.278,0.851,1.13,0.457,0.114,0.098,0.343,0.54,1.358,1.166,-0.553,0.553,0.515,0.59,0.171,5.012,15.855,10.576,8.583,0.713,0.733,14.406,11.129,81.778,104.751,-2.045
2014-15,2014-11-04,PAC,BUC,PAC,6.971,0.601,1.429,0.424,0.324,0.668,0.56,0.277,0.762,0.323,0.261,0.31,0.853,0.308,0.97,1.278,0.455,0.178,0.098,0.471,0.565,1.739,1.335,-0.978,0.548,0.514,0.562,0.16,4.958,15.873,10.54,8.225,0.842,0.702,14.856,11.719,81.663,104.387,-2.043
2014-15,2014-11-05,PAC,WIZ,WIZ,8.061,0.757,1.704,0.431,0.451,0.89,0.565,0.306,0.814,0.329,0.357,0.439,0.846,0.369,1.15,1.519,0.514,0.209,0.13,0.529,0.72,2.176,1.699,-0.986,0.554,0.519,0.545,0.168,4.987,15.926,10.578,8.308,0.864,0.75,14.89,11.878,83.116,103.931,-1.834
2014-15,2014-11-07,PAC,CEL,CEL,9.18,0.906,2.031,0.432,0.541,1.038,0.568,0.365,0.993,0.326,0.351,0.431,0.844,0.362,1.223,1.584,0.504,0.237,0.128,0.617,0.737,2.528,1.824,-1.013,0.553,0.52,0.547,0.157,4.795,15.695,10.349,7.989,0.881,0.722,15.14,12.037,83.265,104.28,-1.971
2014-15,2014-11-08,PAC,WIZ,PAC,10.344,1.21,2.601,0.438,0.821,1.534,0.572,0.389,1.067,0.327,0.57,0.778,0.82,0.418,1.322,1.74,0.524,0.329,0.125,0.7,0.784,3.379,2.418,-1.161,0.554,0.521,0.521,0.173,4.807,15.499,10.25,7.885,0.981,0.695,14.994,12.643,84.256,104.159,-1.65
2014-15,2014-11-10,PAC,JAZ,PAC,11.25,1.34,2.92,0.437,0.96,1.848,0.566,0.38,1.072,0.324,0.652,0.888,0.818,0.439,1.352,1.791,0.574,0.353,0.122,0.715,0.827,3.713,2.618,-1.045,0.55,0.516,0.502,0.176,4.739,15.206,10.056,7.893,1.0,0.67,14.702,12.856,84.961,104.01,-1.641
