SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,MAV,BUC,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,MAV,PAC,MAV,18.55,3.5,7.5,0.467,2.0,4.5,0.444,1.5,3.0,0.5,1.5,1.5,1.0,0.5,1.5,2.0,2.5,0.5,0.5,2.5,1.5,10.0,6.45,4.0,0.613,0.567,0.4,0.2,2.4,7.9,5.0,25.0,1.4,2.0,23.5,23.7,105.0,103.0,3.3
2000-01,2000-11-04,MAV,JAZ,MAV,23.483,4.667,9.333,0.5,2.667,5.667,0.471,2.0,3.667,0.545,1.333,1.333,1.0,1.0,1.333,2.333,3.333,0.667,0.333,2.333,2.333,12.667,9.067,7.0,0.638,0.607,0.393,0.143,5.25,5.95,5.55,27.15,1.55,1.0,18.25,23.4,116.5,104.5,5.05
2000-01,2000-11-06,MAV,NUG,NUG,26.775,5.5,10.25,0.537,3.75,6.75,0.556,1.75,3.5,0.5,2.75,3.0,0.917,0.75,1.25,2.0,5.5,0.5,0.25,3.0,2.0,15.5,12.05,3.0,0.67,0.622,0.341,0.268,3.5,5.2,4.3,39.167,1.033,0.667,19.9,24.467,121.667,112.667,6.067
2000-01,2000-11-08,MAV,VGR,MAV,26.996,4.6,9.4,0.489,3.2,6.4,0.5,1.4,3.0,0.467,3.0,3.2,0.938,0.8,1.4,2.2,5.4,0.4,0.2,3.0,2.0,13.6,10.28,2.0,0.629,0.564,0.319,0.319,3.975,6.05,5.0,35.275,0.775,0.5,21.9,22.875,112.5,111.5,2.1
2000-01,2000-11-10,MAV,SPU,MAV,26.335,4.5,9.333,0.482,3.333,6.5,0.513,1.167,2.833,0.412,2.667,2.833,0.941,0.667,1.5,2.167,4.667,0.5,0.167,2.667,2.167,12.833,9.3,-0.333,0.606,0.545,0.304,0.286,3.18,7.1,4.94,30.06,1.06,0.4,19.44,22.32,108.4,110.6,1.02
2000-01,2000-11-12,MAV,KIN,KIN,28.197,4.286,9.143,0.469,3.143,6.143,0.512,1.143,3.0,0.381,2.857,3.0,0.952,1.143,1.714,2.857,5.0,0.714,0.143,2.857,2.286,12.571,9.686,0.857,0.601,0.531,0.328,0.312,4.2,7.15,5.517,29.783,1.35,0.333,21.05,21.333,107.333,107.0,1.45
2000-01,2000-11-13,MAV,CLI,CLI,27.613,4.125,9.375,0.44,3.125,6.5,0.481,1.0,2.875,0.348,2.625,2.875,0.913,1.0,1.75,2.75,4.875,0.625,0.125,2.5,2.0,11.875,8.913,-1.25,0.558,0.493,0.307,0.28,3.6,7.857,5.414,29.343,1.157,0.286,18.043,21.529,102.714,109.286,0.386
2000-01,2000-11-15,MAV,SUN,SUN,27.247,3.889,9.0,0.432,2.778,6.222,0.446,1.111,2.778,0.4,2.556,2.778,0.92,1.0,1.667,2.667,4.778,0.667,0.111,2.444,1.778,11.444,8.744,0.333,0.56,0.494,0.309,0.284,3.7,7.413,5.288,29.375,1.3,0.25,18.6,21.062,103.625,107.25,0.987
2000-01,2000-11-17,MAV,SUP,SUP,28.237,4.1,9.2,0.446,2.9,6.4,0.453,1.2,2.8,0.429,2.8,3.1,0.903,0.9,1.7,2.6,4.9,0.6,0.1,2.5,1.8,12.2,9.3,-0.9,0.577,0.511,0.304,0.304,3.289,7.367,5.067,30.189,1.156,0.222,18.533,20.978,105.444,107.333,1.367
