SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-10-31,BUL,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,2006-11-01,BUL,MAG,MAG,5.285,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.5,1.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5,5.5,6.75,8.5,1.034,1.0,0.0,0.75,23.9,0.0,11.6,21.8,9.9,0.0,0.0,22.2,216.0,60.0,39.9
2006-07,2006-11-03,BUL,KIN,BUL,10.513,3.0,3.667,0.818,2.667,2.667,1.0,0.333,1.0,0.333,1.667,2.0,0.833,1.0,1.0,2.0,0.667,1.333,0.0,0.333,1.333,8.0,8.433,7.0,0.88,0.864,0.273,0.455,14.75,15.6,13.05,15.4,7.4,0.0,5.35,21.0,178.0,84.5,26.4
2006-07,2006-11-06,BUL,BUC,BUL,11.085,2.25,4.0,0.562,2.0,3.0,0.667,0.25,1.0,0.25,1.25,1.5,0.833,0.75,1.5,2.25,1.0,1.0,0.0,0.5,1.0,6.0,5.775,4.75,0.644,0.594,0.25,0.312,9.833,18.933,13.067,18.067,4.933,0.0,9.133,20.6,124.0,86.667,13.333
2006-07,2006-11-09,BUL,CAV,CAV,14.078,2.6,5.0,0.52,2.2,3.8,0.579,0.4,1.2,0.333,1.0,1.2,0.833,0.8,1.4,2.2,1.6,1.2,0.2,0.4,1.2,6.6,6.62,8.8,0.597,0.56,0.24,0.2,8.55,15.4,11.0,18.325,4.675,0.825,6.85,19.325,124.0,86.75,11.625
2006-07,2006-11-11,BUL,PAC,BUL,15.432,2.5,5.333,0.469,2.0,4.0,0.5,0.5,1.333,0.375,1.0,1.333,0.75,0.667,1.833,2.5,1.833,1.0,0.167,0.5,1.333,6.5,6.017,6.167,0.549,0.516,0.25,0.188,6.84,18.28,11.04,18.3,3.74,0.66,7.74,19.18,115.2,94.0,8.04
2006-07,2006-11-14,BUL,MAV,MAV,14.223,2.286,5.0,0.457,1.857,3.857,0.481,0.429,1.143,0.375,0.857,1.143,0.75,0.571,1.571,2.143,1.571,0.857,0.143,0.571,1.143,5.857,5.057,5.571,0.532,0.5,0.229,0.171,5.7,15.233,9.2,15.25,3.117,0.55,10.617,20.2,105.667,95.833,3.833
2006-07,2006-11-16,BUL,ROC,ROC,13.198,2.0,4.875,0.41,1.625,3.875,0.419,0.375,1.0,0.375,0.75,1.0,0.75,0.625,1.375,2.0,1.375,0.75,0.125,0.5,1.0,5.125,4.163,4.875,0.482,0.449,0.205,0.154,7.114,13.057,9.214,13.071,2.671,0.471,9.1,21.457,93.429,101.0,-0.643
2006-07,2006-11-17,BUL,SPU,SPU,11.731,1.778,4.333,0.41,1.444,3.444,0.419,0.333,0.889,0.375,0.667,0.889,0.75,0.556,1.222,1.778,1.222,0.667,0.111,0.444,0.889,4.556,3.7,4.333,0.482,0.449,0.205,0.154,7.114,13.057,9.214,13.071,2.671,0.471,9.1,21.457,93.429,101.0,-0.643
2006-07,2006-11-19,BUL,LAK,LAK,11.066,1.6,3.9,0.41,1.3,3.1,0.419,0.3,0.8,0.375,0.6,0.8,0.75,0.5,1.1,1.6,1.1,0.6,0.1,0.5,0.8,4.1,3.23,4.2,0.482,0.449,0.205,0.154,6.225,11.425,8.062,11.438,2.338,0.412,20.463,19.912,81.75,102.625,-2.275
2006-07,2006-11-21,BUL,NUG,NUG,12.198,1.727,4.182,0.413,1.455,3.455,0.421,0.273,0.727,0.375,0.545,0.727,0.75,0.636,1.091,1.727,1.0,0.636,0.182,0.636,0.909,4.273,3.2,3.0,0.475,0.446,0.174,0.13,6.356,10.756,7.9,10.167,2.333,0.789,20.656,19.633,80.667,101.778,-2.244
2006-07,2006-11-24,BUL,76E,76E,12.282,1.583,3.917,0.404,1.333,3.25,0.41,0.25,0.667,0.375,0.5,0.667,0.75,0.583,1.083,1.667,0.917,0.583,0.25,0.583,0.833,3.917,2.958,1.167,0.465,0.436,0.17,0.128,5.72,10.45,7.48,9.15,2.1,1.27,18.59,17.97,72.6,103.0,-2.38
