SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,2009-10-28,KNI,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,2009-10-30,KNI,BOB,BOB,3.11,0.5,2.0,0.25,0.5,1.5,0.333,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.5,-0.45,-2.0,0.338,0.25,0.25,0.25,0.0,22.7,9.4,0.0,0.0,0.0,18.4,38.5,59.0,123.0,-26.0
2009-10,2009-10-31,KNI,76E,KNI,2.883,0.333,1.667,0.2,0.333,1.333,0.25,0.0,0.333,0.0,0.333,0.333,1.0,0.0,0.333,0.333,0.0,0.0,0.0,0.333,1.0,1.0,-0.667,-3.333,0.276,0.2,0.2,0.2,0.0,11.35,4.7,0.0,0.0,0.0,9.2,28.95,29.5,112.5,-27.35
2009-10,2009-11-02,KNI,NHO,KNI,2.162,0.25,1.25,0.2,0.25,1.0,0.25,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.75,0.75,-0.5,-2.5,0.276,0.2,0.2,0.2,0.0,11.35,4.7,0.0,0.0,0.0,9.2,28.95,29.5,112.5,-27.35
2009-10,2009-11-04,KNI,PAC,KNI,3.0,0.2,1.6,0.125,0.2,1.0,0.2,0.0,0.6,0.0,0.2,0.2,1.0,0.0,0.6,0.6,0.2,0.0,0.0,0.2,0.8,0.6,-0.64,-2.8,0.178,0.125,0.375,0.125,0.0,20.5,9.133,5.867,0.0,0.0,6.133,25.9,27.0,113.0,-25.867
2009-10,2009-11-06,KNI,CAV,KNI,4.43,0.5,2.0,0.25,0.5,1.333,0.375,0.0,0.667,0.0,0.167,0.167,1.0,0.0,0.667,0.667,0.167,0.0,0.0,0.167,0.667,1.167,-0.15,-3.333,0.281,0.25,0.333,0.083,0.0,17.575,7.9,4.4,0.0,0.0,4.6,23.125,45.5,111.75,-20.85
2009-10,2009-11-07,KNI,BUC,BUC,5.894,0.571,2.0,0.286,0.571,1.429,0.4,0.0,0.571,0.0,0.143,0.143,1.0,0.0,0.714,0.714,0.286,0.0,0.0,0.143,1.0,1.286,-0.014,-4.571,0.312,0.286,0.286,0.071,0.0,15.88,7.16,5.52,0.0,0.0,3.68,19.78,58.8,111.6,-18.36
2009-10,2009-11-09,KNI,JAZ,KNI,7.305,1.25,2.875,0.435,0.75,1.75,0.429,0.5,1.125,0.444,0.125,0.125,1.0,0.0,0.625,0.625,0.375,0.125,0.0,0.25,1.125,3.125,1.487,-4.375,0.533,0.522,0.391,0.043,0.0,13.233,5.967,7.467,0.483,0.0,4.733,20.933,71.167,111.333,-12.333
2009-10,2009-11-11,KNI,HAW,KNI,9.084,2.111,4.111,0.514,1.333,2.333,0.571,0.778,1.778,0.438,0.111,0.111,1.0,0.111,0.667,0.778,0.444,0.333,0.0,0.444,1.222,5.111,3.067,-3.333,0.614,0.608,0.432,0.027,0.614,12.0,5.743,8.186,1.043,0.0,5.843,22.6,78.429,109.714,-8.471
2009-10,2009-11-13,KNI,WAR,KNI,11.749,2.9,5.6,0.518,2.0,3.4,0.588,0.9,2.2,0.409,0.2,0.2,1.0,0.1,1.0,1.1,0.5,0.3,0.0,0.7,1.5,6.9,3.86,-3.0,0.607,0.598,0.393,0.036,0.538,12.225,5.85,7.8,0.913,0.0,6.788,23.238,81.375,111.125,-7.75
2009-10,2009-11-18,KNI,PAC,PAC,13.202,3.273,6.545,0.5,2.455,4.364,0.562,0.818,2.182,0.375,0.273,0.364,0.75,0.273,1.0,1.273,0.727,0.364,0.0,0.727,1.455,7.636,4.382,-3.909,0.569,0.562,0.333,0.042,1.378,11.489,5.978,8.867,1.0,0.0,6.656,23.633,83.667,112.222,-7.244
2009-10,2009-11-21,KNI,NNE,NNE,13.132,3.083,6.167,0.5,2.333,4.083,0.571,0.75,2.083,0.36,0.417,0.5,0.833,0.25,0.917,1.167,0.667,0.333,0.0,0.75,1.5,7.333,4.117,-5.0,0.574,0.561,0.338,0.068,1.24,10.34,5.38,7.98,0.9,0.0,8.57,22.68,85.5,112.3,-7.64
2009-10,2009-11-22,KNI,CEL,KNI,12.828,3.0,6.0,0.5,2.308,4.0,0.577,0.692,2.0,0.346,0.385,0.462,0.833,0.231,0.846,1.077,0.615,0.308,0.0,0.692,1.462,7.077,3.923,-4.538,0.57,0.558,0.333,0.064,1.127,9.4,4.891,7.255,0.818,0.0,7.791,22.391,86.909,111.818,-7.736
2009-10,2009-11-24,KNI,LAK,LAK,12.352,2.786,5.571,0.5,2.143,3.714,0.577,0.643,1.857,0.346,0.357,0.429,0.833,0.214,0.786,1.0,0.571,0.286,0.0,0.714,1.357,6.571,3.571,-4.429,0.57,0.558,0.333,0.064,1.033,8.617,4.483,6.65,0.75,0.0,15.475,21.142,79.667,112.0,-8.375
2009-10,2009-11-25,KNI,KIN,KIN,12.651,2.933,5.733,0.512,2.2,3.8,0.579,0.733,1.933,0.379,0.333,0.4,0.833,0.2,0.733,0.933,0.533,0.333,0.0,0.733,1.333,6.933,3.867,-3.6,0.587,0.576,0.337,0.058,0.954,7.954,4.138,6.138,0.915,0.0,15.138,21.323,82.154,111.462,-7.262
2009-10,2009-11-27,KNI,NUG,NUG,12.846,2.812,5.75,0.489,2.125,3.688,0.576,0.688,2.062,0.333,0.312,0.375,0.833,0.312,0.688,1.0,0.625,0.375,0.0,0.75,1.438,6.625,3.613,-4.062,0.56,0.549,0.359,0.054,1.721,7.386,4.307,7.064,1.071,0.0,15.079,21.114,80.643,111.786,-7.6
2009-10,2009-11-29,KNI,MAG,KNI,12.09,2.647,5.412,0.489,2.0,3.471,0.576,0.647,1.941,0.333,0.294,0.353,0.833,0.294,0.647,0.941,0.588,0.353,0.0,0.706,1.353,6.235,3.4,-3.824,0.56,0.549,0.359,0.054,1.721,7.386,4.307,7.064,1.071,0.0,15.079,21.114,80.643,111.786,-7.6
2009-10,2009-12-01,KNI,SUN,KNI,11.418,2.5,5.111,0.489,1.889,3.278,0.576,0.611,1.833,0.333,0.278,0.333,0.833,0.278,0.611,0.889,0.556,0.333,0.0,0.667,1.278,5.889,3.211,-3.611,0.56,0.549,0.359,0.054,1.721,7.386,4.307,7.064,1.071,0.0,15.079,21.114,80.643,111.786,-7.6
2009-10,2009-12-02,KNI,MAG,MAG,11.285,2.474,5.0,0.495,1.789,3.158,0.567,0.684,1.842,0.371,0.263,0.316,0.833,0.316,0.579,0.895,0.632,0.316,0.0,0.684,1.316,5.895,3.305,-3.368,0.574,0.563,0.368,0.053,2.373,6.893,4.42,8.587,1.0,0.0,15.74,20.94,85.533,112.0,-6.4
2009-10,2009-12-04,KNI,HAW,HAW,11.759,2.7,5.3,0.509,1.95,3.3,0.591,0.75,2.0,0.375,0.3,0.4,0.75,0.35,0.55,0.9,0.65,0.35,0.0,0.65,1.45,6.45,3.765,-2.7,0.589,0.58,0.377,0.057,2.531,6.462,4.319,8.681,1.088,0.0,14.756,21.175,89.625,112.875,-5.4
2009-10,2009-12-06,KNI,NNE,KNI,11.747,2.714,5.286,0.514,2.0,3.333,0.6,0.714,1.952,0.366,0.286,0.381,0.75,0.381,0.524,0.905,0.619,0.381,0.0,0.667,1.381,6.429,3.795,-2.238,0.589,0.581,0.369,0.054,3.176,6.082,4.371,8.171,1.3,0.0,14.871,21.418,90.471,113.294,-5.153
2009-10,2009-12-07,KNI,BLA,KNI,11.463,2.636,5.182,0.509,1.955,3.227,0.606,0.682,1.955,0.349,0.273,0.364,0.75,0.364,0.545,0.909,0.591,0.364,0.0,0.682,1.318,6.227,3.605,-2.273,0.583,0.575,0.377,0.053,3.0,6.928,4.728,7.717,1.228,0.0,15.433,22.039,88.444,113.056,-6.139
2009-10,2009-12-11,KNI,NHO,NHO,11.447,2.565,5.087,0.504,1.87,3.174,0.589,0.696,1.913,0.364,0.261,0.348,0.75,0.391,0.522,0.913,0.652,0.391,0.0,0.696,1.348,6.087,3.561,-2.304,0.581,0.573,0.376,0.051,3.347,6.563,4.768,8.958,1.426,0.0,15.937,21.784,89.263,112.158,-5.679
2009-10,2009-12-15,KNI,BOB,BOB,10.97,2.458,4.875,0.504,1.792,3.042,0.589,0.667,1.833,0.364,0.25,0.333,0.75,0.375,0.5,0.875,0.625,0.375,0.0,0.667,1.292,5.833,3.412,-2.208,0.581,0.573,0.376,0.051,3.347,6.563,4.768,8.958,1.426,0.0,15.937,21.784,89.263,112.158,-5.679
2009-10,2009-12-17,KNI,BUL,BUL,10.531,2.36,4.68,0.504,1.72,2.92,0.589,0.64,1.76,0.364,0.24,0.32,0.75,0.36,0.48,0.84,0.6,0.36,0.0,0.64,1.24,5.6,3.276,-2.12,0.581,0.573,0.376,0.051,3.347,6.563,4.768,8.958,1.426,0.0,15.937,21.784,89.263,112.158,-5.679
2009-10,2009-12-18,KNI,CLI,KNI,10.29,2.308,4.615,0.5,1.692,2.846,0.595,0.615,1.769,0.348,0.231,0.308,0.75,0.346,0.462,0.808,0.577,0.346,0.0,0.615,1.346,5.462,3.1,-2.423,0.575,0.567,0.383,0.05,3.18,6.235,4.53,8.51,1.355,0.0,15.14,22.355,88.05,112.15,-6.9
2009-10,2009-12-20,KNI,BOB,KNI,10.306,2.333,4.593,0.508,1.704,2.815,0.605,0.63,1.778,0.354,0.222,0.296,0.75,0.37,0.444,0.815,0.556,0.333,0.0,0.63,1.333,5.519,3.159,-2.333,0.584,0.577,0.387,0.048,3.576,5.938,4.6,8.105,1.29,0.0,15.371,22.381,90.095,112.143,-6.319
2009-10,2009-12-22,KNI,BUL,KNI,10.469,2.25,4.536,0.496,1.643,2.75,0.597,0.607,1.786,0.34,0.286,0.357,0.8,0.357,0.5,0.857,0.679,0.393,0.0,0.643,1.321,5.393,3.186,-2.107,0.575,0.563,0.394,0.063,3.414,6.35,4.768,9.573,1.555,0.0,15.605,22.086,89.773,111.227,-5.986
2009-10,2009-12-25,KNI,HEA,KNI,10.108,2.172,4.379,0.496,1.586,2.655,0.597,0.586,1.724,0.34,0.276,0.345,0.8,0.345,0.483,0.828,0.655,0.379,0.0,0.621,1.276,5.207,3.076,-2.034,0.575,0.563,0.394,0.063,3.414,6.35,4.768,9.573,1.555,0.0,15.605,22.086,89.773,111.227,-5.986
2009-10,2009-12-27,KNI,SPU,KNI,9.771,2.1,4.233,0.496,1.533,2.567,0.597,0.567,1.667,0.34,0.267,0.333,0.8,0.333,0.467,0.8,0.633,0.367,0.0,0.6,1.233,5.033,2.973,-1.967,0.575,0.563,0.394,0.063,3.414,6.35,4.768,9.573,1.555,0.0,15.605,22.086,89.773,111.227,-5.986
2009-10,2009-12-29,KNI,PIS,PIS,9.456,2.032,4.097,0.496,1.484,2.484,0.597,0.548,1.613,0.34,0.258,0.323,0.8,0.323,0.452,0.774,0.613,0.355,0.0,0.581,1.194,4.871,2.877,-1.903,0.575,0.563,0.394,0.063,3.414,6.35,4.768,9.573,1.555,0.0,15.605,22.086,89.773,111.227,-5.986
2009-10,2009-12-30,KNI,NNE,NNE,9.574,1.969,4.062,0.485,1.438,2.438,0.59,0.531,1.625,0.327,0.312,0.375,0.833,0.312,0.5,0.812,0.625,0.344,0.0,0.594,1.188,4.781,2.781,-1.781,0.565,0.55,0.4,0.077,3.265,6.843,4.97,9.561,1.487,0.0,15.817,21.922,88.565,111.087,-6.487
2009-10,2010-01-01,KNI,HAW,HAW,9.482,1.939,4.0,0.485,1.424,2.424,0.588,0.515,1.576,0.327,0.303,0.364,0.833,0.303,0.485,0.788,0.606,0.333,0.0,0.636,1.182,4.697,2.655,-1.909,0.565,0.549,0.394,0.076,3.129,6.558,4.762,9.162,1.425,0.0,17.242,22.175,86.625,111.333,-7.35
2009-10,2010-01-03,KNI,PAC,KNI,9.203,1.882,3.882,0.485,1.382,2.353,0.588,0.5,1.529,0.327,0.294,0.353,0.833,0.294,0.471,0.765,0.588,0.324,0.0,0.618,1.147,4.559,2.576,-1.853,0.565,0.549,0.394,0.076,3.129,6.558,4.762,9.162,1.425,0.0,17.242,22.175,86.625,111.333,-7.35
2009-10,2010-01-07,KNI,BOB,KNI,9.283,1.914,3.914,0.489,1.4,2.371,0.59,0.514,1.543,0.333,0.286,0.343,0.833,0.286,0.514,0.8,0.629,0.371,0.0,0.629,1.114,4.629,2.723,-1.857,0.569,0.555,0.394,0.073,3.004,6.964,4.928,9.64,1.688,0.0,17.22,22.12,88.2,110.0,-6.584
2009-10,2010-01-09,KNI,ROC,ROC,9.025,1.861,3.806,0.489,1.361,2.306,0.59,0.5,1.5,0.333,0.278,0.333,0.833,0.278,0.5,0.778,0.611,0.361,0.0,0.611,1.083,4.5,2.647,-1.806,0.569,0.555,0.394,0.073,3.004,6.964,4.928,9.64,1.688,0.0,17.22,22.12,88.2,110.0,-6.584
2009-10,2010-01-11,KNI,THU,THU,8.781,1.811,3.703,0.489,1.324,2.243,0.59,0.486,1.459,0.333,0.27,0.324,0.833,0.27,0.486,0.757,0.595,0.351,0.0,0.595,1.054,4.378,2.576,-1.757,0.569,0.555,0.394,0.073,3.004,6.964,4.928,9.64,1.688,0.0,17.22,22.12,88.2,110.0,-6.584
2009-10,2010-01-13,KNI,76E,76E,8.758,1.816,3.711,0.489,1.316,2.211,0.595,0.5,1.5,0.333,0.263,0.316,0.833,0.263,0.474,0.737,0.579,0.342,0.0,0.632,1.026,4.395,2.534,-1.474,0.571,0.557,0.404,0.071,2.888,6.696,4.738,9.269,1.623,0.0,17.838,22.473,87.808,110.346,-6.612
2009-10,2010-01-15,KNI,RAP,KNI,8.534,1.769,3.615,0.489,1.282,2.154,0.595,0.487,1.462,0.333,0.256,0.308,0.833,0.256,0.462,0.718,0.564,0.333,0.0,0.615,1.0,4.282,2.469,-1.436,0.571,0.557,0.404,0.071,2.888,6.696,4.738,9.269,1.623,0.0,17.838,22.473,87.808,110.346,-6.612
2009-10,2010-01-16,KNI,PIS,PIS,8.32,1.725,3.525,0.489,1.25,2.1,0.595,0.475,1.425,0.333,0.25,0.3,0.833,0.25,0.45,0.7,0.55,0.325,0.0,0.6,0.975,4.175,2.407,-1.4,0.571,0.557,0.404,0.071,2.888,6.696,4.738,9.269,1.623,0.0,17.838,22.473,87.808,110.346,-6.612
2009-10,2010-01-18,KNI,PIS,KNI,8.117,1.683,3.439,0.489,1.22,2.049,0.595,0.463,1.39,0.333,0.244,0.293,0.833,0.244,0.439,0.683,0.537,0.317,0.0,0.585,0.951,4.073,2.349,-1.366,0.571,0.557,0.404,0.071,2.888,6.696,4.738,9.269,1.623,0.0,17.838,22.473,87.808,110.346,-6.612
2009-10,2010-01-22,KNI,LAK,KNI,7.924,1.643,3.357,0.489,1.19,2.0,0.595,0.452,1.357,0.333,0.238,0.286,0.833,0.238,0.429,0.667,0.524,0.31,0.0,0.571,0.929,3.976,2.293,-1.333,0.571,0.557,0.404,0.071,2.888,6.696,4.738,9.269,1.623,0.0,17.838,22.473,87.808,110.346,-6.612
