SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-03,CEL,RAP,CEL,13.715,2.5,3.5,0.714,2.5,3.5,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.5,6.0,0.5,0.5,1.0,0.0,1.5,5.0,6.5,6.5,0.714,0.714,0.0,0.0,4.0,37.7,22.1,7.3,1.8,4.8,0.0,11.1,146.0,74.0,6.7
2000-01,2000-11-04,CEL,CAV,CAV,20.153,3.0,5.333,0.562,3.0,5.333,0.562,0.0,0.0,0.0,0.333,0.667,0.5,1.667,5.667,7.333,0.333,1.0,0.667,0.0,2.333,6.333,7.3,3.0,0.563,0.562,0.0,0.062,8.6,30.35,19.9,3.65,2.45,2.4,0.0,12.2,130.0,84.5,2.85
2000-01,2000-11-07,CEL,RAP,RAP,19.898,2.75,5.25,0.524,2.75,5.25,0.524,0.0,0.0,0.0,0.25,0.5,0.5,1.75,5.75,7.5,0.25,1.25,1.5,0.25,2.5,5.75,7.25,-2.75,0.526,0.524,0.0,0.048,9.733,33.9,21.8,2.433,3.367,7.4,5.567,12.6,113.333,80.333,3.633
2000-01,2000-11-10,CEL,KNI,CEL,19.764,3.0,5.8,0.517,3.0,5.8,0.517,0.0,0.0,0.0,0.2,0.4,0.5,1.6,4.6,6.2,0.2,1.0,1.2,0.6,3.0,6.2,5.94,-4.8,0.519,0.517,0.0,0.034,8.4,25.425,17.05,1.825,2.525,5.55,9.175,14.925,104.5,89.75,-0.4
2000-01,2000-11-11,CEL,76E,76E,20.175,2.5,5.167,0.484,2.5,5.167,0.484,0.0,0.0,0.0,0.5,1.0,0.5,1.333,4.667,6.0,0.167,1.167,1.0,0.667,2.833,5.5,5.2,-4.0,0.49,0.484,0.0,0.097,6.72,25.82,16.48,1.46,3.02,4.44,11.54,14.14,92.6,91.4,-1.52
2000-01,2000-11-15,CEL,WIZ,CEL,19.964,2.429,5.0,0.486,2.429,5.0,0.486,0.0,0.0,0.0,0.429,0.857,0.5,1.286,4.571,5.857,0.143,1.143,1.286,0.714,3.286,5.286,4.971,-4.286,0.491,0.486,0.0,0.086,6.5,25.183,16.0,1.217,2.967,5.617,12.95,13.733,91.333,89.5,-1.283
2000-01,2000-11-17,CEL,HAW,CEL,21.075,3.125,5.625,0.556,3.125,5.625,0.556,0.0,0.0,0.0,0.375,0.875,0.429,1.625,4.5,6.125,0.125,1.125,1.25,0.75,3.5,6.625,6.162,-2.0,0.551,0.556,0.0,0.067,7.829,23.957,16.014,1.043,2.786,5.186,12.343,14.171,99.0,92.714,-0.814
2000-01,2000-11-18,CEL,WIZ,WIZ,21.591,3.333,5.889,0.566,3.333,5.889,0.566,0.0,0.0,0.0,0.444,0.889,0.5,1.667,4.444,6.111,0.111,1.222,1.222,0.667,3.333,7.111,6.8,-1.333,0.566,0.566,0.0,0.075,7.925,24.15,15.938,0.912,2.963,4.95,10.8,14.238,105.125,94.375,-0.312
2000-01,2000-11-20,CEL,76E,CEL,21.225,3.2,5.9,0.542,3.2,5.9,0.542,0.0,0.0,0.0,0.4,1.0,0.4,1.7,4.5,6.2,0.1,1.1,1.3,0.8,3.4,6.8,6.17,-2.6,0.536,0.542,0.0,0.068,8.3,25.956,16.756,0.811,2.633,5.3,12.1,15.078,99.667,96.0,-1.856
2000-01,2000-11-22,CEL,ROC,CEL,21.748,3.455,6.182,0.559,3.455,6.091,0.567,0.0,0.091,0.0,0.636,1.273,0.5,2.0,4.727,6.727,0.182,1.0,1.545,0.909,3.545,7.545,7.045,-2.091,0.56,0.559,0.015,0.103,9.28,26.07,17.33,1.53,2.37,5.73,12.46,15.47,102.7,97.1,-0.78
2000-01,2000-11-24,CEL,MAG,CEL,21.884,3.417,6.167,0.554,3.417,6.083,0.562,0.0,0.083,0.0,0.75,1.333,0.562,2.0,4.75,6.75,0.167,1.0,1.833,0.833,3.5,7.583,7.392,-0.583,0.561,0.554,0.014,0.122,9.382,25.282,17.082,1.391,2.355,6.545,11.327,15.264,105.455,94.909,0.091
2000-01,2000-11-26,CEL,VGR,CEL,22.145,3.308,5.923,0.558,3.308,5.846,0.566,0.0,0.077,0.0,0.923,1.462,0.632,1.923,4.538,6.462,0.308,1.0,1.923,0.769,3.462,7.538,7.615,-0.538,0.574,0.558,0.013,0.156,9.0,23.975,16.258,2.5,2.333,6.75,10.383,14.675,111.667,94.5,0.825
