SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,SUN,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,SUN,BLA,SUN,18.81,2.5,7.0,0.357,2.0,5.0,0.4,0.5,2.0,0.25,1.0,1.0,1.0,0.0,1.5,1.5,1.5,1.0,0.0,1.0,1.0,6.5,3.7,5.5,0.437,0.393,0.286,0.143,0.0,8.1,3.8,12.8,2.5,0.0,11.8,18.4,84.0,97.0,-3.1
2000-01,2000-11-04,SUN,NUG,NUG,21.13,4.333,9.333,0.464,2.333,6.0,0.389,2.0,3.333,0.6,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.333,0.333,0.667,1.333,11.667,9.233,10.0,0.597,0.571,0.357,0.107,0.0,12.2,5.75,16.95,3.3,1.7,5.9,21.75,120.5,92.5,10.1
2000-01,2000-11-05,SUN,ROC,SUN,22.435,5.0,10.0,0.5,3.5,7.25,0.483,1.5,2.75,0.545,1.5,1.5,1.0,0.0,2.0,2.0,1.75,1.0,0.25,0.75,2.25,13.0,9.35,10.75,0.61,0.575,0.275,0.15,0.0,11.067,5.467,13.867,2.2,1.133,6.267,22.267,122.667,97.667,6.433
2000-01,2000-11-07,SUN,SPU,SUN,23.742,4.2,9.2,0.457,3.0,6.4,0.469,1.2,2.8,0.429,2.2,2.2,1.0,0.0,1.8,1.8,2.2,0.8,0.2,0.6,2.0,11.8,8.66,10.2,0.58,0.522,0.304,0.239,0.0,9.325,4.65,15.075,1.65,0.85,4.7,20.05,123.0,104.0,4.075
2000-01,2000-11-09,SUN,HAW,SUN,24.99,5.167,10.667,0.484,4.167,7.833,0.532,1.0,2.833,0.353,1.833,1.833,1.0,0.5,2.0,2.5,2.667,1.0,0.167,0.667,1.833,13.167,10.3,12.833,0.574,0.531,0.266,0.172,2.58,9.72,6.14,17.68,1.98,0.68,4.82,21.72,122.2,100.8,5.1
2000-01,2000-11-11,SUN,HEA,SUN,24.534,4.714,10.571,0.446,3.714,7.571,0.491,1.0,3.0,0.333,1.571,1.571,1.0,0.429,2.0,2.429,2.286,0.857,0.143,0.571,1.857,12.0,8.629,10.857,0.533,0.493,0.284,0.149,2.15,9.683,5.883,14.733,1.65,0.567,4.017,21.283,112.167,99.667,2.017
2000-01,2000-11-15,SUN,MAV,SUN,25.584,4.75,10.875,0.437,3.625,7.75,0.468,1.125,3.125,0.36,1.625,1.625,1.0,0.625,2.0,2.625,2.25,0.875,0.125,0.625,2.125,12.25,8.638,9.25,0.528,0.489,0.287,0.149,2.829,9.371,6.071,14.243,1.629,0.486,4.4,21.086,111.571,98.571,1.914
2000-01,2000-11-17,SUN,KNI,SUN,25.891,5.111,11.222,0.455,4.0,8.111,0.493,1.111,3.111,0.357,1.444,1.556,0.929,0.556,2.222,2.778,2.556,0.889,0.111,0.667,2.333,12.778,9.133,9.667,0.537,0.505,0.277,0.129,2.475,10.288,6.413,16.125,1.65,0.425,4.662,21.375,112.875,96.875,2.675
2000-01,2000-11-18,SUN,ROC,ROC,27.009,4.9,11.2,0.438,3.9,8.0,0.488,1.0,3.2,0.312,1.4,1.6,0.875,0.5,2.3,2.8,2.6,0.8,0.2,0.8,2.3,12.2,8.32,9.0,0.512,0.482,0.286,0.125,2.2,10.122,6.233,16.056,1.467,0.6,5.744,20.833,107.667,96.667,1.911
