SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-11-28,NUG,JAZ,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-11-30,NUG,BUL,NUG,3.09,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-2.5,0.0,0.0,1.0,0.0,0.0,19.9,9.1,0.0,0.0,0.0,0.0,7.6,0.0,122.0,-11.6
2017-18,2017-12-15,NUG,PEL,NUG,2.06,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.133,-1.667,0.0,0.0,1.0,0.0,0.0,19.9,9.1,0.0,0.0,0.0,0.0,7.6,0.0,122.0,-11.6
2017-18,2017-12-18,NUG,THU,THU,6.175,0.5,1.75,0.286,0.25,0.5,0.5,0.25,1.25,0.2,0.25,0.5,0.5,0.0,1.25,1.25,0.5,0.25,0.5,0.25,0.5,1.5,1.25,-0.75,0.381,0.357,0.714,0.143,0.0,22.95,10.9,7.1,1.35,5.0,6.35,13.1,45.0,108.0,-4.8
2017-18,2017-12-20,NUG,TIM,NUG,10.914,1.4,2.4,0.583,0.6,0.8,0.75,0.8,1.6,0.5,0.4,0.8,0.5,0.0,1.4,1.4,0.6,0.4,0.6,0.4,1.0,4.0,3.58,-1.2,0.727,0.75,0.667,0.167,0.0,17.8,8.533,6.567,1.5,4.267,9.067,12.333,90.667,106.667,0.333
2017-18,2017-12-22,NUG,BLA,BLA,15.27,1.667,2.667,0.625,0.667,0.833,0.8,1.0,1.833,0.545,0.667,1.0,0.667,0.0,2.167,2.167,0.833,0.333,0.5,0.833,1.333,5.0,4.217,-0.833,0.805,0.813,0.688,0.25,0.0,17.975,8.85,6.95,1.125,3.2,16.325,11.725,96.5,110.75,-0.1
2017-18,2017-12-23,NUG,WAR,WAR,14.6,1.429,2.571,0.556,0.571,0.714,0.8,0.857,1.857,0.462,0.571,0.857,0.667,0.143,2.143,2.286,0.714,0.286,0.429,0.714,1.143,4.286,3.6,-1.0,0.727,0.722,0.722,0.222,2.26,18.6,10.36,5.56,0.9,2.56,13.06,11.1,85.0,109.0,-2.26
2017-18,2017-12-26,NUG,JAZ,NUG,14.525,1.375,2.625,0.524,0.625,0.75,0.833,0.75,1.875,0.4,0.5,0.75,0.667,0.25,2.0,2.25,0.875,0.375,0.375,0.75,1.25,4.0,3.388,-0.5,0.677,0.667,0.714,0.19,3.433,16.75,10.017,7.933,1.367,2.133,15.05,11.4,84.667,105.5,-1.983
2017-18,2017-12-27,NUG,TIM,TIM,15.258,1.222,2.667,0.458,0.556,0.778,0.714,0.667,1.889,0.353,1.0,1.222,0.818,0.333,2.444,2.778,1.0,0.333,0.333,0.667,1.556,4.111,3.589,0.778,0.641,0.583,0.708,0.375,3.757,17.9,10.971,8.471,1.171,1.829,12.9,11.471,91.714,103.571,-1.643
2017-18,2017-12-30,NUG,76E,NUG,14.822,1.2,2.7,0.444,0.6,0.9,0.667,0.6,1.8,0.333,0.9,1.1,0.818,0.4,2.3,2.7,1.0,0.3,0.3,0.6,1.6,3.9,3.35,0.2,0.612,0.556,0.667,0.333,4.613,17.05,10.95,9.05,1.025,1.6,11.288,11.638,93.5,106.875,-2.388
2017-18,2018-01-03,NUG,SUN,NUG,13.984,1.091,2.455,0.444,0.545,0.818,0.667,0.545,1.636,0.333,1.0,1.182,0.846,0.364,2.182,2.545,0.909,0.273,0.273,0.545,1.545,3.727,3.218,-0.364,0.627,0.556,0.667,0.407,4.1,17.267,10.8,8.044,0.911,1.422,10.033,11.078,110.889,107.444,-2.144
2017-18,2018-01-05,NUG,JAZ,NUG,13.942,1.0,2.333,0.429,0.5,0.833,0.6,0.5,1.5,0.333,0.917,1.083,0.846,0.417,2.083,2.5,0.917,0.25,0.25,0.5,1.583,3.417,2.967,0.5,0.608,0.536,0.643,0.393,4.92,16.2,10.58,7.94,0.82,1.28,9.03,10.29,111.3,108.5,-2.7
2017-18,2018-01-06,NUG,KIN,KIN,13.658,0.923,2.231,0.414,0.462,0.769,0.6,0.462,1.462,0.316,0.846,1.154,0.733,0.385,2.0,2.385,0.846,0.231,0.231,0.462,1.462,3.154,2.646,0.615,0.576,0.517,0.655,0.379,4.473,15.764,10.091,7.218,0.745,1.164,8.209,10.136,101.182,107.909,-3.591
2017-18,2018-01-08,NUG,WAR,WAR,13.391,0.857,2.214,0.387,0.429,0.714,0.6,0.429,1.5,0.286,0.786,1.071,0.733,0.357,1.929,2.286,0.786,0.214,0.214,0.429,1.357,2.929,2.379,0.429,0.545,0.484,0.677,0.355,4.1,15.292,9.725,6.617,0.683,1.067,7.525,10.025,92.75,108.25,-4.267
2017-18,2018-01-10,NUG,HAW,NUG,13.398,1.0,2.333,0.429,0.6,0.867,0.692,0.4,1.467,0.273,0.733,1.0,0.733,0.333,1.8,2.133,0.733,0.267,0.2,0.4,1.4,3.133,2.527,-0.2,0.565,0.514,0.629,0.314,3.785,14.115,8.977,6.108,0.908,0.985,6.946,10.223,96.923,109.538,-3.992
2017-18,2018-01-12,NUG,GRI,NUG,13.151,0.938,2.312,0.405,0.562,0.875,0.643,0.375,1.438,0.261,0.75,1.062,0.706,0.375,1.688,2.062,0.75,0.375,0.188,0.438,1.312,3.0,2.469,-0.562,0.54,0.486,0.622,0.324,4.214,13.107,8.764,6.629,1.593,0.914,8.293,10.707,93.786,108.857,-4.021
2017-18,2018-01-16,NUG,MAV,NUG,12.378,0.882,2.176,0.405,0.529,0.824,0.643,0.353,1.353,0.261,0.706,1.0,0.706,0.353,1.588,1.941,0.706,0.353,0.176,0.412,1.235,2.824,2.324,-0.529,0.54,0.486,0.622,0.324,4.214,13.107,8.764,6.629,1.593,0.914,8.293,10.707,93.786,108.857,-4.021
2017-18,2018-01-17,NUG,CLI,CLI,12.483,0.944,2.222,0.425,0.611,0.889,0.688,0.333,1.333,0.25,0.722,1.056,0.684,0.389,1.667,2.056,0.667,0.389,0.167,0.444,1.444,2.944,2.356,-0.611,0.548,0.5,0.6,0.325,4.433,14.053,9.273,6.187,1.72,0.853,9.107,10.94,94.6,108.333,-4.087
2017-18,2018-01-19,NUG,SUN,NUG,11.826,0.895,2.105,0.425,0.579,0.842,0.688,0.316,1.263,0.25,0.684,1.0,0.684,0.368,1.579,1.947,0.632,0.368,0.158,0.421,1.368,2.789,2.232,-0.579,0.548,0.5,0.6,0.325,4.433,14.053,9.273,6.187,1.72,0.853,9.107,10.94,94.6,108.333,-4.087
2017-18,2018-01-22,NUG,BLA,NUG,11.325,0.85,2.0,0.425,0.55,0.8,0.688,0.3,1.2,0.25,0.65,0.95,0.684,0.35,1.5,1.85,0.6,0.35,0.15,0.4,1.3,2.65,2.12,-0.55,0.548,0.5,0.6,0.325,4.156,13.175,8.694,5.8,1.612,0.8,8.538,10.256,88.688,109.125,-4.312
2017-18,2018-01-25,NUG,KNI,NUG,11.153,0.857,2.048,0.419,0.524,0.81,0.647,0.333,1.238,0.269,0.619,0.905,0.684,0.381,1.524,1.905,0.571,0.333,0.143,0.381,1.238,2.667,2.143,-0.619,0.545,0.5,0.605,0.302,4.688,13.988,9.365,5.459,1.518,0.753,8.035,10.629,90.412,109.118,-3.971
2017-18,2018-01-27,NUG,MAV,NUG,11.058,0.909,2.091,0.435,0.545,0.864,0.632,0.364,1.227,0.296,0.591,0.864,0.684,0.364,1.5,1.864,0.545,0.318,0.182,0.364,1.182,2.773,2.259,-0.409,0.561,0.522,0.587,0.283,4.428,14.1,9.294,5.156,1.433,1.194,7.589,10.889,93.167,109.278,-3.311
2017-18,2018-01-29,NUG,CEL,NUG,11.709,1.0,2.217,0.451,0.609,0.913,0.667,0.391,1.304,0.3,0.652,1.0,0.652,0.391,1.565,1.957,0.522,0.304,0.174,0.348,1.261,3.043,2.435,-0.565,0.573,0.539,0.588,0.294,4.416,13.916,9.211,4.884,1.358,1.132,7.189,10.963,95.316,109.0,-3.216
2017-18,2018-01-30,NUG,SPU,SPU,11.81,0.958,2.167,0.442,0.583,0.875,0.667,0.375,1.292,0.29,0.625,0.958,0.652,0.458,1.583,2.042,0.5,0.292,0.167,0.375,1.25,2.917,2.329,-1.125,0.563,0.529,0.596,0.288,4.95,14.03,9.53,4.64,1.29,1.075,9.33,10.72,93.35,109.7,-3.64
2017-18,2018-02-01,NUG,THU,NUG,12.2,1.08,2.44,0.443,0.72,1.16,0.621,0.36,1.28,0.281,0.6,0.92,0.652,0.64,1.56,2.2,0.52,0.32,0.2,0.36,1.24,3.12,2.6,-1.32,0.548,0.516,0.525,0.246,6.038,13.619,9.862,4.762,1.343,1.181,8.886,11.114,94.667,109.952,-3.462
2017-18,2018-02-03,NUG,WAR,NUG,12.559,1.154,2.538,0.455,0.808,1.269,0.636,0.346,1.269,0.273,0.615,0.962,0.64,0.692,1.538,2.231,0.538,0.308,0.231,0.346,1.346,3.269,2.723,-1.462,0.552,0.523,0.5,0.242,6.268,13.236,9.782,4.777,1.282,1.273,8.482,11.127,96.727,110.591,-3.495
