SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-17,HAW,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-10-19,HAW,GRI,GRI,16.565,2.5,7.0,0.357,2.0,4.5,0.444,0.5,2.5,0.2,1.5,2.0,0.75,0.0,3.0,3.0,2.5,0.0,0.0,2.0,2.0,7.0,2.75,-10.0,0.444,0.393,0.357,0.214,0.0,18.1,9.6,21.5,0.0,0.0,20.2,23.5,83.0,114.0,-10.7
2018-19,2018-10-21,HAW,CAV,CAV,22.07,4.0,10.667,0.375,2.333,6.0,0.389,1.667,4.667,0.357,1.667,2.333,0.714,0.333,2.333,2.667,4.667,0.333,0.333,2.333,2.0,11.333,6.833,-10.333,0.485,0.453,0.438,0.156,1.6,11.05,6.6,31.9,0.7,1.3,16.8,25.5,97.0,119.5,-5.35
2018-19,2018-10-24,HAW,MAV,HAW,25.97,6.25,13.75,0.455,3.5,6.75,0.519,2.75,7.0,0.393,2.0,2.5,0.8,0.25,2.25,2.5,6.25,0.5,0.25,2.0,2.0,17.25,13.025,-3.0,0.581,0.555,0.509,0.145,1.067,9.067,5.3,36.133,0.867,0.867,12.5,26.1,115.333,116.333,-0.2
2018-19,2018-10-27,HAW,BUL,HAW,25.892,5.6,13.4,0.418,3.2,7.2,0.444,2.4,6.2,0.387,3.6,4.6,0.783,0.4,2.4,2.8,6.0,0.4,0.4,2.6,2.4,17.2,11.98,-3.6,0.558,0.507,0.463,0.269,1.675,9.45,5.75,34.575,0.65,1.575,14.875,28.475,109.0,112.0,-1.8
2018-19,2018-10-29,HAW,76E,76E,26.648,5.167,13.167,0.392,3.167,7.0,0.452,2.0,6.167,0.324,4.167,5.333,0.781,0.5,2.333,2.833,5.667,0.667,0.333,3.0,2.0,16.5,11.0,-6.5,0.532,0.468,0.468,0.316,1.92,8.96,5.54,33.32,1.14,1.26,16.68,28.48,102.0,109.0,-2.8
2018-19,2018-10-30,HAW,CAV,CAV,27.016,5.143,13.143,0.391,3.286,7.0,0.469,1.857,6.143,0.302,3.571,4.571,0.781,0.429,2.286,2.714,6.0,0.571,0.286,2.571,1.857,15.714,10.814,-7.571,0.518,0.462,0.467,0.272,1.6,8.5,5.117,35.95,0.95,1.05,13.9,26.8,102.5,110.167,-2.567
2018-19,2018-11-01,HAW,KIN,HAW,27.561,5.625,13.125,0.429,3.625,7.25,0.5,2.0,5.875,0.34,3.5,4.625,0.757,0.375,2.125,2.5,5.75,0.5,0.25,2.625,1.875,16.75,11.587,-10.25,0.552,0.505,0.448,0.267,1.371,7.757,4.643,33.7,0.814,0.9,14.271,26.543,106.571,113.857,-2.343
2018-19,2018-11-03,HAW,HEA,HAW,27.502,5.667,13.111,0.432,3.889,7.778,0.5,1.778,5.333,0.333,3.333,4.444,0.75,0.333,2.222,2.556,6.222,0.444,0.222,3.222,2.0,16.444,10.922,-10.333,0.546,0.5,0.407,0.254,1.2,8.337,4.812,36.562,0.712,0.788,16.962,27.225,103.25,116.375,-3.738
2018-19,2018-11-06,HAW,HOR,HOR,27.895,6.0,13.7,0.438,4.2,8.1,0.519,1.8,5.6,0.321,3.4,4.5,0.756,0.5,2.4,2.9,7.1,0.4,0.3,3.4,1.8,17.2,12.1,-8.8,0.548,0.504,0.409,0.248,2.011,9.022,5.578,40.389,0.633,1.078,17.2,28.1,105.0,117.111,-2.811
2018-19,2018-11-07,HAW,KNI,HAW,28.07,6.182,14.182,0.436,4.545,8.455,0.538,1.636,5.727,0.286,3.273,4.273,0.766,0.545,2.364,2.909,7.364,0.364,0.273,3.636,1.636,17.273,11.927,-9.364,0.538,0.494,0.404,0.231,2.19,8.97,5.62,42.07,0.57,0.97,17.8,28.92,103.2,116.8,-3.28
2018-19,2018-11-09,HAW,PIS,HAW,28.283,6.167,14.583,0.423,4.583,8.75,0.524,1.583,5.833,0.271,3.167,4.083,0.776,0.583,2.5,3.083,7.417,0.333,0.25,3.5,1.667,17.083,11.667,-8.333,0.521,0.477,0.4,0.217,2.264,9.545,5.873,42.373,0.518,0.882,17.009,28.855,102.273,116.636,-3.509
2018-19,2018-11-11,HAW,LAK,LAK,27.894,6.0,14.154,0.424,4.538,8.538,0.532,1.462,5.615,0.26,3.538,4.385,0.807,0.615,2.538,3.154,7.231,0.308,0.231,3.692,1.615,17.0,11.538,-9.077,0.529,0.476,0.397,0.25,2.475,9.708,6.092,41.95,0.475,0.808,18.292,29.283,102.083,117.333,-3.683
2018-19,2018-11-13,HAW,WAR,WAR,28.411,6.143,14.429,0.426,4.5,8.643,0.521,1.643,5.786,0.284,3.286,4.071,0.807,0.643,2.429,3.071,7.571,0.357,0.286,3.714,1.643,17.214,11.921,-7.357,0.531,0.483,0.401,0.228,2.538,9.169,5.854,42.915,0.538,0.938,18.285,28.992,102.923,116.692,-2.962
2018-19,2018-11-15,HAW,NUG,NUG,28.35,5.867,14.267,0.411,4.333,8.533,0.508,1.533,5.733,0.267,3.067,3.8,0.807,0.6,2.6,3.2,7.667,0.533,0.267,3.667,1.667,16.333,11.353,-7.6,0.512,0.465,0.402,0.215,2.357,9.9,6.129,42.921,0.886,0.871,18.407,28.629,100.0,115.857,-3.421
2018-19,2018-11-17,HAW,PAC,PAC,28.241,5.625,14.062,0.4,4.188,8.438,0.496,1.438,5.625,0.256,3.0,3.688,0.814,0.562,2.562,3.125,7.5,0.562,0.25,3.75,1.625,15.688,10.569,-8.5,0.5,0.451,0.4,0.213,2.2,9.86,5.96,42.18,0.94,0.813,19.153,28.373,96.733,116.867,-4.34
2018-19,2018-11-19,HAW,CLI,HAW,27.975,5.471,13.882,0.394,4.118,8.294,0.496,1.353,5.588,0.242,3.0,3.706,0.81,0.529,2.471,3.0,7.294,0.588,0.235,3.706,1.647,15.294,10.088,-8.824,0.493,0.443,0.403,0.216,2.062,9.519,5.725,41.575,1.0,0.762,19.144,28.306,94.875,115.688,-4.625
2018-19,2018-11-21,HAW,RAP,HAW,28.474,5.611,14.333,0.391,4.278,8.778,0.487,1.333,5.556,0.24,3.278,4.0,0.819,0.5,2.5,3.0,7.833,0.556,0.222,3.833,1.611,15.833,10.572,-8.722,0.492,0.438,0.388,0.229,1.941,9.418,5.612,42.882,0.941,0.718,19.124,28.618,95.529,116.176,-4.412
2018-19,2018-11-23,HAW,CEL,HAW,28.148,5.421,13.947,0.389,4.158,8.632,0.482,1.263,5.316,0.238,3.211,3.895,0.824,0.474,2.421,2.895,7.684,0.579,0.211,3.684,1.526,15.316,10.316,-9.105,0.489,0.434,0.381,0.23,1.833,9.2,5.433,42.089,1.011,0.678,18.689,27.994,95.389,116.833,-4.589
2018-19,2018-11-25,HAW,HOR,HAW,27.712,5.25,13.6,0.386,4.05,8.3,0.488,1.2,5.3,0.226,3.1,3.75,0.827,0.45,2.3,2.75,7.4,0.55,0.25,3.65,1.45,14.8,9.8,-10.4,0.485,0.43,0.39,0.228,1.737,8.716,5.147,40.737,0.958,0.895,19.216,27.716,93.263,116.632,-5.026
2018-19,2018-11-27,HAW,HEA,HEA,27.812,5.286,13.81,0.383,3.952,8.286,0.477,1.333,5.524,0.241,3.048,3.667,0.831,0.429,2.286,2.714,7.286,0.619,0.286,3.714,1.381,14.952,9.79,-9.762,0.485,0.431,0.4,0.221,1.65,8.665,5.085,39.7,1.07,1.02,19.3,28.02,92.9,116.75,-5.105
2018-19,2018-11-28,HAW,HOR,HOR,27.972,5.273,13.727,0.384,3.909,8.227,0.475,1.364,5.5,0.248,3.136,3.773,0.831,0.409,2.409,2.818,7.409,0.636,0.318,3.682,1.318,15.045,10.136,-9.273,0.489,0.434,0.401,0.228,1.571,9.029,5.252,40.214,1.086,1.119,19.19,27.776,94.238,116.333,-4.638
2018-19,2018-11-30,HAW,THU,THU,27.993,5.348,13.957,0.383,3.913,8.304,0.471,1.435,5.652,0.254,3.043,3.652,0.833,0.435,2.391,2.826,7.261,0.696,0.348,3.739,1.304,15.174,10.083,-9.13,0.487,0.435,0.405,0.218,1.641,8.973,5.25,39.905,1.182,1.191,19.25,28.055,93.727,115.682,-4.4
