SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-24,WAR,SUN,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-27,WAR,KIN,KIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-29,WAR,ROC,ROC,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.333,0.0,-0.033,2.333,0.0,0.0,0.0,0.0,0.0,24.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-9.4
2023-24,2023-10-30,WAR,PEL,PEL,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,-0.025,1.75,0.0,0.0,0.0,0.0,0.0,24.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,113.0,-9.4
2023-24,2023-11-01,WAR,KIN,WAR,4.902,1.0,1.8,0.556,1.0,1.8,0.556,0,0.0,0.0,0.6,0.8,0.75,1.4,0.6,2.0,0.0,0.0,0.8,0.4,0.6,2.6,2.74,3.6,0.604,0.556,0.0,0.333,18.4,16.45,16.95,0.0,0.0,8.95,7.85,12.8,64.0,106.0,-3.6
2023-24,2023-11-05,WAR,CAV,CAV,4.085,0.833,1.5,0.556,0.833,1.5,0.556,0,0.0,0.0,0.5,0.667,0.75,1.167,0.5,1.667,0.0,0.0,0.667,0.333,0.5,2.167,2.283,3.0,0.604,0.556,0.0,0.333,18.4,16.45,16.95,0.0,0.0,8.95,7.85,12.8,64.0,106.0,-3.6
2023-24,2023-11-06,WAR,PIS,PIS,5.156,1.0,1.714,0.583,1.0,1.714,0.583,0,0.0,0.0,0.571,1.286,0.444,1.143,0.857,2.0,0.143,0.143,0.714,0.286,1.0,2.571,2.6,3.714,0.564,0.583,0.0,0.333,14.633,21.333,16.933,5.367,1.4,8.967,5.233,14.5,77.667,104.667,-2.1
2023-24,2023-11-08,WAR,NUG,NUG,4.571,0.875,1.5,0.583,0.875,1.5,0.583,0,0.0,0.0,0.5,1.125,0.444,1.0,0.75,1.75,0.125,0.125,0.625,0.25,0.875,2.25,2.275,3.375,0.564,0.583,0.0,0.333,10.975,16.0,12.7,4.025,1.05,6.725,3.925,10.875,58.25,109.5,-4.175
2023-24,2023-11-11,WAR,CAV,WAR,6.088,1.0,1.667,0.6,1.0,1.667,0.6,0,0.0,0.0,0.889,1.556,0.571,0.889,0.889,1.778,0.222,0.111,0.556,0.222,1.222,2.889,2.689,3.444,0.614,0.6,0.0,0.533,8.78,15.0,11.28,4.88,0.84,5.38,3.14,11.28,80.0,111.2,-3.28
2023-24,2023-11-12,WAR,TIM,WAR,6.036,0.9,1.6,0.562,0.9,1.6,0.562,0,0.0,0.0,0.9,1.6,0.562,0.9,0.8,1.7,0.2,0.1,0.5,0.2,1.2,2.7,2.44,3.5,0.586,0.562,0.0,0.562,10.25,12.5,10.833,4.067,0.7,4.483,2.617,11.6,81.333,113.0,-4.867
2023-24,2023-11-14,WAR,TIM,WAR,5.603,0.909,1.545,0.588,0.909,1.545,0.588,0,0.0,0.0,0.818,1.455,0.562,0.818,0.727,1.545,0.273,0.091,0.455,0.182,1.091,2.636,2.436,3.727,0.603,0.588,0.0,0.529,8.786,10.714,9.286,-139.371,0.6,3.843,2.243,14.371,99.714,114.571,5.914
2023-24,2023-11-16,WAR,THU,WAR,6.108,0.833,1.5,0.556,0.833,1.5,0.556,0,0.0,0.0,0.917,1.5,0.611,0.75,0.833,1.583,0.5,0.083,0.417,0.333,1.167,2.583,2.333,3.25,0.598,0.556,0.0,0.611,7.688,11.825,9.3,-117.775,0.525,3.362,8.4,14.325,97.875,114.125,4.7
2023-24,2023-11-20,WAR,ROC,WAR,5.988,0.769,1.385,0.556,0.769,1.385,0.556,0,0.0,0.0,0.846,1.385,0.611,0.692,0.769,1.462,0.462,0.077,0.462,0.308,1.077,2.385,2.208,3.077,0.598,0.556,0.0,0.611,6.833,10.511,8.267,-104.689,0.467,5.122,7.467,12.733,87.0,114.778,3.822
2023-24,2023-11-22,WAR,SUN,SUN,5.869,0.714,1.286,0.556,0.714,1.286,0.556,0,0.0,0.0,0.786,1.286,0.611,0.643,0.714,1.357,0.429,0.071,0.429,0.286,1.0,2.214,2.05,2.929,0.598,0.556,0.0,0.611,6.15,9.46,7.44,-94.22,0.42,4.61,6.72,11.46,78.3,116.6,2.62
2023-24,2023-11-24,WAR,SPU,WAR,6.471,0.8,1.4,0.571,0.8,1.4,0.571,0,0.0,0.0,0.867,1.533,0.565,0.733,0.8,1.533,0.4,0.133,0.4,0.333,1.133,2.467,2.2,2.4,0.594,0.571,0.0,0.619,6.955,9.964,8.127,-85.655,0.673,4.191,7.573,11.964,80.818,116.818,1.818
2023-24,2023-11-28,WAR,KIN,KIN,6.403,0.75,1.375,0.545,0.75,1.375,0.545,0,0.0,0.0,0.938,1.562,0.6,0.688,0.75,1.438,0.375,0.125,0.438,0.375,1.125,2.438,2.1,2.312,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-11-30,WAR,CLI,WAR,6.026,0.706,1.294,0.545,0.706,1.294,0.545,0,0.0,0.0,0.882,1.471,0.6,0.647,0.706,1.353,0.353,0.118,0.412,0.353,1.059,2.294,1.976,2.176,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-12-02,WAR,CLI,CLI,5.692,0.667,1.222,0.545,0.667,1.222,0.545,0,0.0,0.0,0.833,1.389,0.6,0.611,0.667,1.278,0.333,0.111,0.389,0.333,1.0,2.167,1.867,2.056,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-12-06,WAR,BLA,WAR,5.392,0.632,1.158,0.545,0.632,1.158,0.545,0,0.0,0.0,0.789,1.316,0.6,0.579,0.632,1.211,0.316,0.105,0.368,0.316,0.947,2.053,1.768,1.947,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-12-08,WAR,THU,THU,5.122,0.6,1.1,0.545,0.6,1.1,0.545,0,0.0,0.0,0.75,1.25,0.6,0.55,0.6,1.15,0.3,0.1,0.35,0.3,0.9,1.95,1.68,1.85,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-12-12,WAR,SUN,SUN,4.879,0.571,1.048,0.545,0.571,1.048,0.545,0,0.0,0.0,0.714,1.19,0.6,0.524,0.571,1.095,0.286,0.095,0.333,0.286,0.857,1.857,1.6,1.762,0.591,0.545,0.0,0.682,6.375,9.133,7.45,-78.517,0.617,5.242,9.833,12.817,80.25,115.917,0.675
2023-24,2023-12-14,WAR,CLI,CLI,4.974,0.591,1.045,0.565,0.591,1.045,0.565,0,0.0,0.0,0.682,1.136,0.6,0.5,0.545,1.045,0.273,0.136,0.364,0.273,0.864,1.864,1.664,1.409,0.603,0.565,0.0,0.652,5.885,8.431,6.877,-72.477,1.085,6.015,9.077,12.277,89.462,114.462,1.162
2023-24,2023-12-16,WAR,NET,WAR,4.985,0.609,1.13,0.538,0.609,1.13,0.538,0,0.0,0.0,0.652,1.087,0.6,0.609,0.522,1.13,0.261,0.13,0.348,0.261,0.826,1.87,1.696,0.87,0.581,0.538,0.0,0.577,9.75,7.829,8.764,-67.3,1.007,5.586,8.429,13.171,91.714,116.143,0.357
2023-24,2023-12-17,WAR,BLA,BLA,4.777,0.583,1.083,0.538,0.583,1.083,0.538,0,0.0,0.0,0.625,1.042,0.6,0.583,0.5,1.083,0.25,0.125,0.333,0.25,0.792,1.792,1.625,0.833,0.581,0.538,0.0,0.577,9.75,7.829,8.764,-67.3,1.007,5.586,8.429,13.171,91.714,116.143,0.357
2023-24,2023-12-19,WAR,CEL,WAR,5.293,0.8,1.4,0.571,0.8,1.4,0.571,0,0.0,0.0,0.68,1.08,0.63,0.76,0.6,1.36,0.36,0.2,0.36,0.32,0.84,2.28,2.22,1.12,0.608,0.571,0.0,0.486,11.42,8.633,9.987,-60.987,1.313,5.573,8.987,14.26,94.8,115.533,1.193
2023-24,2023-12-22,WAR,WIZ,WAR,6.188,0.962,1.615,0.595,0.962,1.615,0.595,0,0.0,0.0,0.654,1.038,0.63,0.885,0.923,1.808,0.385,0.192,0.462,0.346,0.923,2.577,2.642,2.038,0.622,0.595,0.0,0.405,11.55,9.862,10.688,-56.888,1.231,5.844,9.206,14.112,97.812,115.188,1.306
2023-24,2023-12-23,WAR,BLA,WAR,6.869,1.111,1.815,0.612,1.111,1.815,0.612,0,0.0,0.0,0.63,1.0,0.63,1.037,1.259,2.296,0.481,0.185,0.481,0.37,0.963,2.852,3.085,2.333,0.632,0.612,0.0,0.347,12.176,11.494,11.853,-52.618,1.159,5.688,9.4,14.065,101.059,114.824,1.476
2023-24,2023-12-25,WAR,NUG,NUG,7.242,1.286,2.0,0.643,1.286,2.0,0.643,0,0.0,0.0,0.643,1.107,0.581,1.036,1.357,2.393,0.571,0.214,0.464,0.429,1.0,3.214,3.386,2.214,0.646,0.643,0.0,0.321,11.939,12.256,12.167,-48.222,1.256,5.372,9.911,14.794,102.056,114.389,1.733
2023-24,2023-12-28,WAR,HEA,WAR,7.507,1.345,2.069,0.65,1.345,2.069,0.65,0,0.0,0.0,0.69,1.138,0.606,1.0,1.414,2.414,0.586,0.207,0.448,0.414,1.138,3.379,3.476,2.0,0.658,0.65,0.0,0.333,11.311,12.879,12.147,-45.126,1.189,5.089,9.389,14.768,105.789,114.895,1.679
2023-24,2023-12-30,WAR,MAV,WAR,8.115,1.433,2.3,0.623,1.433,2.3,0.623,0,0.0,0.0,0.733,1.167,0.629,1.1,1.6,2.7,0.6,0.2,0.5,0.433,1.133,3.6,3.723,2.2,0.64,0.623,0.0,0.319,11.555,13.825,12.72,-42.555,1.13,5.145,9.38,14.935,106.1,114.9,1.555
2023-24,2024-01-02,WAR,MAG,WAR,8.787,1.645,2.581,0.638,1.645,2.581,0.638,0,0.0,0.0,0.742,1.226,0.605,1.161,1.645,2.806,0.645,0.226,0.484,0.452,1.226,4.032,4.071,2.0,0.646,0.638,0.0,0.288,11.452,13.805,12.643,-40.062,1.157,4.9,9.29,15.11,107.524,115.81,1.433
2023-24,2024-01-04,WAR,NUG,WAR,9.247,1.688,2.625,0.643,1.688,2.625,0.643,0,0.0,0.0,0.844,1.375,0.614,1.188,1.656,2.844,0.688,0.25,0.531,0.531,1.219,4.219,4.256,1.906,0.653,0.643,0.0,0.321,11.477,13.609,12.55,-37.723,1.2,5.009,10.282,15.264,108.0,115.909,1.432
2023-24,2024-01-05,WAR,PIS,WAR,9.589,1.697,2.667,0.636,1.697,2.667,0.636,0,0.0,0.0,0.818,1.333,0.614,1.212,1.606,2.818,0.727,0.242,0.515,0.576,1.303,4.212,4.164,1.848,0.647,0.636,0.0,0.307,11.578,13.017,12.3,-35.626,1.148,4.791,11.283,15.183,107.609,117.261,0.783
2023-24,2024-01-07,WAR,RAP,WAR,9.978,1.794,2.735,0.656,1.794,2.735,0.656,0,0.0,0.0,0.824,1.324,0.622,1.235,1.765,3.0,0.706,0.235,0.529,0.618,1.324,4.412,4.362,1.735,0.665,0.656,0.0,0.301,11.571,13.754,12.717,-34.142,1.1,4.754,11.933,15.15,108.958,116.75,0.825
2023-24,2024-01-10,WAR,PEL,WAR,10.459,1.971,2.914,0.676,1.971,2.914,0.676,0,0.0,0.0,0.8,1.286,0.622,1.286,1.943,3.229,0.743,0.229,0.6,0.6,1.286,4.743,4.834,1.6,0.681,0.676,0.0,0.275,11.528,14.752,13.104,-32.308,1.056,4.916,11.456,15.096,112.04,117.24,1.24
2023-24,2024-01-12,WAR,BUL,BUL,10.775,2.167,3.139,0.69,2.167,3.139,0.69,0,0.0,0.0,0.806,1.278,0.63,1.333,1.944,3.278,0.75,0.25,0.611,0.611,1.278,5.139,5.217,1.111,0.694,0.69,0.0,0.257,11.612,14.588,13.069,-30.627,1.1,4.885,11.323,15.438,113.615,118.077,1.638
2023-24,2024-01-13,WAR,BUC,BUC,10.945,2.216,3.189,0.695,2.216,3.189,0.695,0,0.0,0.0,0.919,1.432,0.642,1.378,2.0,3.378,0.784,0.27,0.622,0.622,1.297,5.351,5.478,1.432,0.701,0.695,0.0,0.288,11.907,15.174,13.496,-28.941,1.167,4.93,11.311,15.726,115.37,118.407,1.826
2023-24,2024-01-15,WAR,GRI,GRI,11.136,2.316,3.316,0.698,2.316,3.316,0.698,0,0.0,0.0,0.895,1.447,0.618,1.342,2.0,3.342,0.789,0.289,0.632,0.605,1.263,5.526,5.624,1.053,0.699,0.698,0.0,0.27,11.482,15.071,13.221,-27.604,1.221,4.904,10.907,15.918,116.071,118.714,1.975
2023-24,2024-01-24,WAR,HAW,WAR,11.1,2.256,3.282,0.688,2.256,3.282,0.688,0,0.0,0.0,0.872,1.41,0.618,1.308,2.0,3.308,0.795,0.282,0.641,0.59,1.282,5.385,5.474,0.872,0.69,0.688,0.0,0.266,11.086,15.245,13.155,-26.266,1.179,5.266,10.531,15.669,113.172,118.414,1.576
2023-24,2024-01-25,WAR,KIN,WAR,11.205,2.25,3.3,0.682,2.25,3.3,0.682,0,0.0,0.0,0.85,1.475,0.576,1.325,2.05,3.375,0.8,0.275,0.675,0.575,1.3,5.35,5.445,1.0,0.677,0.682,0.0,0.258,11.203,15.557,13.383,-25.157,1.14,5.5,10.18,15.69,112.733,118.033,1.313
2023-24,2024-01-27,WAR,LAK,WAR,10.931,2.195,3.22,0.682,2.195,3.22,0.682,0,0.0,0.0,0.829,1.439,0.576,1.293,2.0,3.293,0.78,0.268,0.659,0.561,1.268,5.22,5.312,0.976,0.677,0.682,0.0,0.258,11.203,15.557,13.383,-25.157,1.14,5.5,10.18,15.69,112.733,118.033,1.313
2023-24,2024-01-30,WAR,76E,WAR,10.81,2.19,3.19,0.687,2.19,3.19,0.687,0,0.0,0.0,0.81,1.429,0.567,1.262,1.976,3.238,0.762,0.286,0.643,0.548,1.262,5.19,5.279,0.81,0.68,0.687,0.0,0.254,10.842,15.752,13.255,-24.345,1.352,5.323,9.852,15.729,113.645,117.452,1.571
