SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-11-20,JAZ,PEL,PEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-11-22,JAZ,MAV,MAV,6.0,2.5,4.0,0.625,2.0,3.0,0.667,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,5.5,4.3,-3.0,0.688,0.688,0.25,0.0,0.0,9.5,4.9,23.5,4.3,0.0,0.0,30.2,132.0,110.0,12.9
2013-14,2013-11-24,JAZ,THU,THU,10.533,2.333,5.333,0.438,2.0,3.333,0.6,0.333,2.0,0.167,0.333,0.333,1.0,0.333,1.667,2.0,1.333,0.333,0.0,0.667,1.0,5.333,3.467,-2.333,0.487,0.469,0.375,0.062,3.3,18.75,10.95,22.5,2.15,0.0,9.6,27.85,101.5,114.0,-1.05
2013-14,2013-11-25,JAZ,BUL,JAZ,12.945,2.25,6.25,0.36,2.0,4.25,0.471,0.25,2.0,0.125,0.25,0.25,1.0,0.25,1.75,2.0,2.0,0.25,0.0,0.75,0.75,5.0,2.825,-6.75,0.393,0.38,0.32,0.04,2.2,17.467,9.3,28.633,1.433,0.0,9.733,26.367,86.333,112.667,-3.633
2013-14,2013-11-29,JAZ,SUN,JAZ,17.2,2.8,8.4,0.333,2.2,5.8,0.379,0.6,2.6,0.231,0.6,0.6,1.0,0.2,2.6,2.8,2.4,0.4,0.0,1.6,1.2,6.8,2.96,-2.8,0.392,0.369,0.31,0.071,1.65,18.05,9.45,27.6,1.5,0.0,12.775,27.95,82.25,106.5,-4.5
2013-14,2013-11-30,JAZ,SUN,SUN,18.57,3.333,9.333,0.357,2.667,6.5,0.41,0.667,2.833,0.235,0.5,0.5,1.0,0.167,2.333,2.5,2.5,0.5,0.0,1.333,1.333,7.833,3.833,-3.5,0.41,0.393,0.304,0.054,1.32,15.62,8.1,26.04,1.64,0.0,10.22,27.5,88.6,111.2,-3.98
2013-14,2013-12-02,JAZ,ROC,JAZ,20.517,3.714,10.143,0.366,2.571,6.857,0.375,1.143,3.286,0.348,1.0,1.0,1.0,0.429,2.571,3.0,2.571,0.714,0.0,1.286,1.714,9.571,5.571,-2.714,0.452,0.423,0.324,0.099,2.517,15.567,8.767,24.183,1.933,0.0,9.45,27.3,96.5,111.833,-2.217
2013-14,2013-12-04,JAZ,PAC,JAZ,22.553,4.375,11.125,0.393,3.0,7.5,0.4,1.375,3.625,0.379,0.875,0.875,1.0,0.375,2.625,3.0,3.0,0.75,0.0,1.125,1.625,11.0,7.088,0.0,0.478,0.455,0.326,0.079,2.157,14.671,8.229,24.3,1.871,0.0,8.1,26.857,101.571,112.714,-1.1
2013-14,2013-12-06,JAZ,BLA,BLA,24.36,4.444,11.222,0.396,3.0,7.778,0.386,1.444,3.444,0.419,0.889,1.0,0.889,0.333,2.556,2.889,3.667,0.778,0.0,1.111,1.556,11.222,7.711,-0.667,0.481,0.46,0.307,0.079,1.888,13.7,7.587,26.45,1.812,0.0,7.987,25.6,103.125,112.25,-0.413
2013-14,2013-12-07,JAZ,KIN,JAZ,23.559,4.3,11.0,0.391,3.0,7.8,0.385,1.3,3.2,0.406,0.9,1.1,0.818,0.3,2.3,2.6,3.4,0.7,0.0,1.0,1.5,10.8,7.12,-3.5,0.47,0.45,0.291,0.082,1.678,12.178,6.744,24.589,1.611,0.0,7.1,25.5,101.556,116.222,-1.911
2013-14,2013-12-09,JAZ,BLA,JAZ,25.429,4.364,11.727,0.372,3.0,8.091,0.371,1.364,3.636,0.375,1.455,1.636,0.889,0.364,2.909,3.273,3.727,0.818,0.0,1.273,1.636,11.545,7.636,-4.273,0.464,0.43,0.31,0.124,1.76,13.08,7.28,24.93,1.68,0.0,7.92,25.6,100.5,115.1,-1.96
2013-14,2013-12-11,JAZ,KIN,KIN,26.188,4.417,11.75,0.376,3.083,8.25,0.374,1.333,3.5,0.381,1.667,1.833,0.909,0.417,3.083,3.5,3.833,0.833,0.083,1.333,1.5,11.833,8.167,-4.75,0.471,0.433,0.298,0.142,1.891,13.364,7.491,24.836,1.664,0.191,8.355,25.182,101.545,115.0,-1.391
2013-14,2013-12-13,JAZ,NUG,NUG,25.823,4.385,11.462,0.383,3.077,7.923,0.388,1.308,3.538,0.37,1.692,1.846,0.917,0.385,3.0,3.385,4.231,0.846,0.077,1.231,1.769,11.769,8.531,-3.077,0.479,0.44,0.309,0.148,1.733,13.183,7.342,27.067,1.733,0.175,7.658,24.717,106.5,115.0,-0.775
2013-14,2013-12-14,JAZ,SPU,JAZ,26.601,4.286,11.5,0.373,3.0,7.857,0.382,1.286,3.643,0.353,1.786,1.929,0.926,0.357,2.929,3.286,4.643,0.786,0.071,1.214,1.643,11.643,8.593,-1.5,0.471,0.429,0.317,0.155,1.6,12.615,7.0,27.938,1.6,0.162,7.608,24.215,106.231,114.846,-0.954
2013-14,2013-12-16,JAZ,HEA,HEA,26.97,4.6,11.933,0.385,3.333,8.267,0.403,1.267,3.667,0.345,1.733,1.933,0.897,0.333,2.867,3.2,4.667,0.733,0.067,1.267,1.667,12.2,8.813,-2.333,0.477,0.439,0.307,0.145,1.486,12.186,6.721,28.414,1.486,0.15,7.75,24.65,105.857,115.0,-0.807
2013-14,2013-12-18,JAZ,MAG,MAG,27.219,4.375,11.688,0.374,3.125,8.0,0.391,1.25,3.688,0.339,1.625,1.812,0.897,0.375,2.75,3.125,4.625,0.688,0.062,1.25,1.688,11.625,8.25,-3.75,0.466,0.428,0.316,0.139,1.613,11.74,6.553,27.627,1.387,0.14,7.973,23.887,103.067,116.2,-1.573
2013-14,2013-12-20,JAZ,HAW,HAW,27.998,4.824,12.176,0.396,3.412,8.235,0.414,1.412,3.941,0.358,1.647,1.824,0.903,0.412,2.941,3.353,4.824,0.706,0.059,1.294,1.588,12.706,9.406,-2.294,0.489,0.454,0.324,0.135,1.675,11.913,6.688,29.062,1.381,0.131,8.019,24.013,105.375,114.875,-0.406
2013-14,2013-12-21,JAZ,BOB,BOB,27.579,4.611,11.944,0.386,3.278,8.056,0.407,1.333,3.889,0.343,1.556,1.722,0.903,0.444,2.889,3.333,4.722,0.667,0.056,1.278,1.667,12.111,8.772,-3.111,0.477,0.442,0.326,0.13,1.835,11.871,6.729,28.624,1.3,0.124,8.2,23.676,101.941,115.765,-1.524
2013-14,2013-12-23,JAZ,GRI,GRI,27.516,4.737,12.158,0.39,3.263,8.053,0.405,1.474,4.105,0.359,1.579,1.737,0.909,0.474,2.842,3.316,4.684,0.632,0.053,1.211,1.684,12.526,9.095,-2.211,0.485,0.45,0.338,0.13,1.944,11.65,6.678,29.133,1.228,0.117,7.744,24.106,103.556,115.333,-0.778
2013-14,2013-12-27,JAZ,LAK,JAZ,27.924,4.75,12.15,0.391,3.25,7.95,0.409,1.5,4.2,0.357,1.8,1.95,0.923,0.45,2.75,3.2,4.7,0.6,0.05,1.3,1.65,12.8,9.24,-1.9,0.492,0.453,0.346,0.148,1.842,11.211,6.416,28.853,1.163,0.111,8.232,24.158,104.105,116.158,-0.947
2013-14,2013-12-28,JAZ,CLI,CLI,28.239,4.81,12.048,0.399,3.286,7.857,0.418,1.524,4.19,0.364,1.714,1.857,0.923,0.429,2.667,3.095,4.81,0.619,0.048,1.571,1.667,12.857,9.171,-2.238,0.5,0.462,0.348,0.142,1.75,10.825,6.18,28.945,1.18,0.105,9.88,24.005,103.35,115.95,-1.15
2013-14,2013-12-30,JAZ,BOB,JAZ,28.664,4.773,12.136,0.393,3.273,7.909,0.414,1.5,4.227,0.355,1.773,1.909,0.929,0.409,2.636,3.045,4.864,0.636,0.045,1.773,1.682,12.818,8.882,-2.682,0.494,0.455,0.348,0.146,1.667,10.586,6.029,28.924,1.186,0.1,10.748,24.105,101.667,115.524,-1.548
2013-14,2014-01-02,JAZ,BUC,JAZ,28.983,4.913,12.348,0.398,3.348,8.043,0.416,1.565,4.304,0.364,1.783,1.913,0.932,0.435,2.609,3.043,4.87,0.652,0.087,1.739,1.696,13.174,9.235,-2.435,0.499,0.461,0.349,0.144,1.732,10.359,5.955,28.909,1.205,0.182,10.5,24.191,102.682,114.727,-1.018
