SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-25,CLI,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,2011-12-28,CLI,SPU,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,2011-12-30,CLI,BUL,CLI,1.417,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,-0.567,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.5,0.0,135.0,-29.3
2011-12,2012-01-01,CLI,BLA,CLI,3.23,0.25,1.0,0.25,0.0,0.5,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,-0.1,-1.25,0.375,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.55,50.5,136.5,-16.55
2011-12,2012-01-04,CLI,ROC,CLI,2.918,0.4,1.0,0.4,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.18,-0.8,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,22.033,100.333,125.0,-6.8
2011-12,2012-01-07,CLI,BUC,CLI,4.778,1.0,2.333,0.429,0.833,1.667,0.5,0.167,0.667,0.25,0.0,0.0,0.0,0.167,0.333,0.5,0.333,0.0,0.0,0.333,0.333,2.167,0.917,0.167,0.464,0.464,0.286,0.0,2.675,5.0,3.875,5.1,0.0,0.0,15.0,25.075,98.5,119.0,-7.15
2011-12,2012-01-10,CLI,BLA,BLA,4.096,0.857,2.0,0.429,0.714,1.429,0.5,0.143,0.571,0.25,0.0,0.0,0.0,0.143,0.286,0.429,0.286,0.0,0.0,0.286,0.286,1.857,0.786,0.143,0.464,0.464,0.286,0.0,2.675,5.0,3.875,5.1,0.0,0.0,15.0,25.075,98.5,119.0,-7.15
2011-12,2012-01-11,CLI,HEA,CLI,3.584,0.75,1.75,0.429,0.625,1.25,0.5,0.125,0.5,0.25,0.0,0.0,0.0,0.125,0.25,0.375,0.25,0.0,0.0,0.25,0.25,1.625,0.688,0.125,0.464,0.464,0.286,0.0,2.675,5.0,3.875,5.1,0.0,0.0,15.0,25.075,98.5,119.0,-7.15
2011-12,2012-01-14,CLI,LAK,CLI,3.186,0.667,1.556,0.429,0.556,1.111,0.5,0.111,0.444,0.25,0.0,0.0,0.0,0.111,0.222,0.333,0.222,0.0,0.0,0.222,0.222,1.444,0.611,0.111,0.464,0.464,0.286,0.0,2.675,5.0,3.875,5.1,0.0,0.0,15.0,25.075,98.5,119.0,-7.15
2011-12,2012-01-16,CLI,NNE,CLI,2.867,0.6,1.4,0.429,0.5,1.0,0.5,0.1,0.4,0.25,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.0,0.0,0.2,0.2,1.3,0.55,0.1,0.464,0.464,0.286,0.0,2.675,5.0,3.875,5.1,0.0,0.0,15.0,25.075,98.5,119.0,-7.15
