SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,JAZ,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-26,JAZ,TIM,JAZ,1.79,0.5,0.5,1.0,0.5,0.5,1.0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,1.0,1.0,0.0,0.0,29.1,0.0,13.5,0.0,0.0,0.0,0.0,11.8,214.0,108.0,10.1
2020-21,2020-12-28,JAZ,THU,THU,1.193,0.333,0.333,1.0,0.333,0.333,1.0,0,0,0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.667,0.8,0.0,1.0,1.0,0.0,0.0,29.1,0.0,13.5,0.0,0.0,0.0,0.0,11.8,214.0,108.0,10.1
2020-21,2020-12-31,JAZ,SUN,JAZ,0.895,0.25,0.25,1.0,0.25,0.25,1.0,0,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,1.0,1.0,0.0,0.0,29.1,0.0,13.5,0.0,0.0,0.0,0.0,11.8,214.0,108.0,10.1
2020-21,2021-01-01,JAZ,CLI,JAZ,0.716,0.2,0.2,1.0,0.2,0.2,1.0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.48,0.0,1.0,1.0,0.0,0.0,29.1,0.0,13.5,0.0,0.0,0.0,0.0,11.8,214.0,108.0,10.1
2020-21,2021-01-03,JAZ,SPU,SPU,0.597,0.167,0.167,1.0,0.167,0.167,1.0,0,0,0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.333,0.4,0.0,1.0,1.0,0.0,0.0,29.1,0.0,13.5,0.0,0.0,0.0,0.0,11.8,214.0,108.0,10.1
2020-21,2021-01-05,JAZ,NET,NET,1.309,0.286,0.429,0.667,0.286,0.429,0.667,0,0,0,0.0,0.0,0.0,0.143,0.0,0.143,0.0,0.0,0.143,0.0,0.143,0.571,0.529,-1.429,0.667,0.667,0.0,0.0,14.55,0.0,6.75,0.0,0.0,5.0,0.0,13.3,157.5,105.5,2.9
2020-21,2021-01-06,JAZ,KNI,KNI,2.091,0.25,0.375,0.667,0.25,0.375,0.667,0,0,0,0.25,0.5,0.5,0.125,0.25,0.375,0.0,0.125,0.125,0.0,0.25,0.75,0.762,-2.125,0.63,0.667,0.0,0.667,9.7,10.567,9.1,0.0,2.067,3.333,0.0,12.167,146.0,108.333,2.4
2020-21,2021-01-08,JAZ,BUC,BUC,1.859,0.222,0.333,0.667,0.222,0.333,0.667,0,0,0,0.222,0.444,0.5,0.111,0.222,0.333,0.0,0.111,0.111,0.0,0.222,0.667,0.678,-1.889,0.63,0.667,0.0,0.667,9.7,10.567,9.1,0.0,2.067,3.333,0.0,12.167,146.0,108.333,2.4
2020-21,2021-01-10,JAZ,PIS,PIS,1.798,0.3,0.4,0.75,0.3,0.4,0.75,0,0,0,0.2,0.4,0.5,0.1,0.2,0.3,0.0,0.1,0.1,0.0,0.2,0.8,0.78,-1.9,0.694,0.75,0.0,0.5,7.275,7.925,6.825,0.0,1.55,2.5,0.0,17.65,159.5,111.5,7.025
