SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-10-30,PIS,MAV,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-01,PIS,GRI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-02,PIS,NNE,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-04,PIS,WIZ,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-07,PIS,BUL,BUL,1.176,0.2,0.8,0.25,0.2,0.8,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0,0.0,0.0,0.0,0.4,-0.02,-0.6,0.25,0.25,0.0,0.0,0.0,15.4,8.8,0.0,0.0,0.0,0.0,33.2,47.0,89.0,-18.8
2001-02,2002-01-11,PIS,CEL,CEL,1.602,0.167,0.833,0.2,0.167,0.833,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.333,0,0.0,0.167,0.167,0.333,-0.033,0.0,0.2,0.2,0.0,0.0,0.0,35.6,21.05,34.3,0.0,0.0,25.0,28.4,50.5,82.5,-9.75
2001-02,2002-01-12,PIS,CHO,PIS,3.087,1.0,2.429,0.412,1.0,2.143,0.467,0,0.286,0.0,0.0,0.0,0.0,0.286,0.571,0.857,0.571,0,0.0,0.143,0.143,2.0,1.271,1.857,0.412,0.412,0.118,0.0,5.133,27.533,18.633,56.2,0.0,0.0,16.667,33.5,71.333,95.333,-2.667
2001-02,2002-01-15,PIS,RAP,PIS,4.093,1.25,3.0,0.417,1.25,2.75,0.455,0,0.25,0.0,0.0,0.25,0.0,0.375,0.875,1.25,0.5,0,0.0,0.125,0.25,2.5,1.45,1.625,0.402,0.417,0.083,0.0,6.325,28.625,19.1,42.15,0.0,0.0,12.5,33.525,74.0,93.25,-5.0
2001-02,2002-01-18,PIS,PAC,PAC,4.507,1.333,3.0,0.444,1.333,2.778,0.48,0,0.222,0.0,0.0,0.222,0.0,0.333,1.0,1.333,0.444,0,0.0,0.222,0.444,2.667,1.456,1.222,0.43,0.444,0.074,0.0,5.06,28.36,17.84,33.72,0.0,0.0,15.0,31.32,77.8,95.4,-5.2
2001-02,2002-01-19,PIS,CEL,PIS,4.056,1.2,2.7,0.444,1.2,2.5,0.48,0,0.2,0.0,0.0,0.2,0.0,0.3,0.9,1.2,0.4,0,0.0,0.2,0.4,2.4,1.31,1.1,0.43,0.444,0.074,0.0,5.06,28.36,17.84,33.72,0.0,0.0,15.0,31.32,77.8,95.4,-5.2
