SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-10-26,GRI,TIM,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-10-29,GRI,KNI,KNI,12.26,1.5,4.0,0.375,1.0,3.0,0.333,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.5,2.5,3.0,1.5,1.5,0.5,1.0,3.5,6.2,1.5,0.438,0.438,0.25,0.0,9.6,12.0,10.9,39.0,6.4,8.6,11.1,16.8,117.0,94.0,15.8
2016-17,2016-10-30,GRI,WIZ,GRI,15.413,1.667,4.0,0.417,1.0,3.0,0.333,0.667,1.0,0.667,0.0,0.0,0.0,0.667,1.667,2.333,3.0,1.0,1.0,1.0,1.0,4.0,5.233,-2.333,0.5,0.5,0.25,0.0,4.8,12.3,8.2,29.7,3.2,4.3,22.2,14.45,106.0,106.0,6.35
2016-17,2016-11-01,GRI,TIM,TIM,16.067,1.25,4.25,0.294,0.75,3.5,0.214,0.5,0.75,0.667,0.0,0.0,0.0,0.5,1.25,1.75,3.25,1.25,0.75,0.75,1.0,3.0,4.15,-2.5,0.353,0.353,0.176,0.0,3.2,8.2,5.467,29.833,4.1,2.867,14.8,13.967,88.333,103.333,2.733
2016-17,2016-11-02,GRI,PEL,GRI,17.488,1.4,5.0,0.28,1.0,3.6,0.278,0.4,1.4,0.286,0.8,0.8,1.0,0.6,1.4,2.0,2.8,1.6,0.6,1.6,1.0,4.0,3.88,-8.2,0.374,0.32,0.28,0.16,3.475,9.2,6.0,24.65,4.675,2.15,19.575,17.575,81.5,106.0,-0.45
2016-17,2016-11-04,GRI,CLI,GRI,18.507,1.5,5.0,0.3,1.167,3.833,0.304,0.333,1.167,0.286,0.667,0.667,1.0,0.5,1.667,2.167,3.167,1.333,0.5,1.333,1.167,4.0,4.05,-9.333,0.378,0.333,0.233,0.133,2.78,10.42,6.22,27.6,3.74,1.72,15.66,15.94,88.0,102.6,-0.44
2016-17,2016-11-06,GRI,BLA,GRI,17.887,1.429,5.0,0.286,1.143,3.857,0.296,0.286,1.143,0.25,0.571,0.571,1.0,0.571,1.571,2.143,3.0,1.143,0.429,1.714,1.286,3.714,2.971,-9.429,0.354,0.314,0.229,0.114,3.467,9.917,6.367,27.083,3.117,1.433,20.45,17.833,79.667,104.0,-4.133
2016-17,2016-11-08,GRI,NUG,GRI,15.651,1.25,4.375,0.286,1.0,3.375,0.296,0.25,1.0,0.25,0.5,0.5,1.0,0.5,1.375,1.875,2.625,1.0,0.375,1.5,1.125,3.25,2.6,-8.25,0.354,0.314,0.229,0.114,3.467,9.917,6.367,27.083,3.117,1.433,20.45,17.833,79.667,104.0,-4.133
2016-17,2016-11-12,GRI,BUC,BUC,13.912,1.111,3.889,0.286,0.889,3.0,0.296,0.222,0.889,0.25,0.444,0.444,1.0,0.444,1.222,1.667,2.333,0.889,0.333,1.333,1.0,2.889,2.311,-7.333,0.354,0.314,0.229,0.114,3.467,9.917,6.367,27.083,3.117,1.433,20.45,17.833,79.667,104.0,-4.133
2016-17,2016-11-14,GRI,JAZ,JAZ,13.696,1.1,3.7,0.297,0.9,2.8,0.321,0.2,0.9,0.222,0.4,0.4,1.0,0.4,1.2,1.6,2.2,0.8,0.3,1.4,1.0,2.8,2.04,-7.4,0.361,0.324,0.243,0.108,2.971,10.214,6.329,25.1,2.671,1.229,24.671,17.614,76.143,106.429,-5.529
