SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-10-27,TIM,KIN,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2010-10-29,TIM,BUC,TIM,9.025,2.5,5.0,0.5,2.5,4.0,0.625,0.0,1.0,0.0,1.5,2.0,0.75,1.5,0.5,2.0,0.5,0.5,0.0,0.5,2.0,6.5,4.55,7.0,0.553,0.5,0.2,0.3,19.0,5.4,11.7,9.0,2.6,0.0,7.8,29.2,119.0,115.0,-0.9
2010-11,2010-10-30,TIM,GRI,GRI,15.14,3.0,6.667,0.45,2.333,4.0,0.583,0.667,2.667,0.25,1.667,2.333,0.714,2.0,0.333,2.333,0.667,0.333,0.333,2.0,2.667,8.333,4.067,6.333,0.542,0.5,0.4,0.25,14.75,2.7,8.45,8.0,1.3,1.3,19.2,26.65,102.0,105.5,-2.95
2010-11,2010-11-02,TIM,HEA,HEA,17.518,2.75,7.5,0.367,2.25,5.0,0.45,0.5,2.5,0.2,1.75,2.5,0.7,1.75,1.75,3.5,0.75,0.5,0.25,1.5,2.5,7.75,3.75,4.25,0.451,0.4,0.333,0.233,11.067,10.1,10.167,7.733,1.467,0.867,12.8,23.367,93.0,104.0,-3.433
2010-11,2010-11-03,TIM,MAG,MAG,18.91,3.0,8.4,0.357,2.4,5.8,0.414,0.6,2.6,0.231,2.2,3.2,0.688,1.8,1.6,3.4,1.6,0.8,0.2,2.0,2.0,8.8,4.72,0.4,0.449,0.393,0.31,0.262,10.175,8.975,9.325,16.375,2.075,0.65,14.975,25.225,91.5,109.75,-2.375
2010-11,2010-11-05,TIM,HAW,TIM,20.73,3.0,8.833,0.34,2.5,6.333,0.395,0.5,2.5,0.2,2.167,3.0,0.722,1.833,1.667,3.5,1.667,0.667,0.167,1.667,2.0,8.667,4.617,-2.333,0.427,0.368,0.283,0.245,9.38,8.64,8.8,15.88,1.66,0.52,11.98,23.52,91.0,114.8,-3.1
2010-11,2010-11-07,TIM,ROC,ROC,22.829,3.571,9.143,0.391,2.571,6.143,0.419,1.0,3.0,0.333,1.857,2.571,0.722,1.571,1.571,3.143,1.714,0.714,0.286,1.429,2.0,10.0,6.2,-2.286,0.487,0.445,0.328,0.203,7.817,7.867,7.6,14.617,1.617,0.8,9.983,21.75,103.833,115.667,-1.533
2010-11,2010-11-09,TIM,LAK,LAK,23.616,3.375,9.125,0.37,2.5,6.375,0.392,0.875,2.75,0.318,1.625,2.25,0.722,1.375,1.625,3.0,1.625,0.75,0.25,1.5,2.0,9.25,5.175,-2.75,0.457,0.418,0.301,0.178,6.7,7.786,6.971,13.3,1.629,0.686,11.157,20.771,95.571,116.714,-3.043
2010-11,2010-11-10,TIM,KIN,KIN,23.773,3.333,9.333,0.357,2.444,6.556,0.373,0.889,2.778,0.32,1.444,2.0,0.722,1.444,1.667,3.111,1.667,0.667,0.222,1.667,2.333,9.0,4.478,-2.111,0.441,0.405,0.298,0.155,6.75,7.95,7.1,13.275,1.425,0.6,12.438,20.85,92.625,116.0,-4.325
2010-11,2010-11-12,TIM,KNI,TIM,24.464,3.5,9.2,0.38,2.5,6.3,0.397,1.0,2.9,0.345,1.3,1.8,0.722,1.5,2.0,3.5,1.7,0.6,0.2,1.7,2.4,9.3,4.98,-2.5,0.465,0.435,0.315,0.141,6.778,9.411,7.8,12.844,1.267,0.533,13.278,20.1,96.556,113.667,-3.389
