SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,CAV,NNE,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,CAV,KIN,CAV,11.21,1.5,5.0,0.3,1.5,3.5,0.429,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5,0.5,0.0,0.0,1.0,3.0,1.45,-3.0,0.3,0.3,0.3,0.0,0.0,24.7,13.2,8.6,2.3,0.0,0.0,19.6,70.0,81.0,-2.8
2000-01,2000-11-04,CAV,CEL,CAV,15.113,2.0,5.667,0.353,2.0,4.333,0.462,0.0,1.333,0.0,0.0,0.0,0.0,0.667,3.0,3.667,0.333,0.333,0.333,0.333,1.667,4.0,2.0,0.333,0.353,0.353,0.235,0.0,6.15,20.25,13.7,4.3,1.15,1.9,6.25,18.2,81.0,91.0,-3.55
2000-01,2000-11-08,CAV,KNI,KNI,18.053,2.25,6.0,0.375,2.25,4.5,0.5,0.0,1.5,0.0,0.5,0.5,1.0,0.75,3.0,3.75,0.75,0.25,0.25,0.75,1.25,5.0,2.825,2.0,0.402,0.375,0.25,0.083,5.7,17.733,12.133,7.5,0.767,1.267,10.9,17.533,85.0,93.667,-3.333
2000-01,2000-11-10,CAV,RAP,RAP,19.088,2.8,6.0,0.467,2.4,4.4,0.545,0.4,1.6,0.25,0.4,0.4,1.0,0.6,3.0,3.6,1.6,0.2,0.2,1.0,1.4,6.4,4.54,3.2,0.518,0.5,0.267,0.067,4.275,18.05,11.55,14.15,0.575,0.95,14.425,17.4,101.0,99.75,0.1
2000-01,2000-11-28,CAV,CEL,CAV,17.887,2.667,5.667,0.471,2.167,4.0,0.542,0.5,1.667,0.3,0.333,0.333,1.0,0.5,2.5,3.0,1.333,0.167,0.167,0.833,1.333,6.167,4.217,0.5,0.53,0.515,0.294,0.059,3.42,14.44,9.24,11.32,0.46,0.76,11.54,16.94,106.0,106.6,-0.76
2000-01,2000-12-01,CAV,PIS,PIS,17.163,2.286,5.0,0.457,1.857,3.429,0.542,0.429,1.571,0.273,0.286,0.286,1.0,0.429,2.429,2.857,1.143,0.143,0.143,0.857,1.429,5.286,3.343,-1.143,0.516,0.5,0.314,0.057,2.85,14.967,9.167,9.433,0.383,0.633,17.95,15.35,88.333,106.333,-3.517
2000-01,2000-12-02,CAV,76E,CAV,17.176,2.25,4.875,0.462,1.75,3.375,0.519,0.5,1.5,0.333,0.375,0.375,1.0,0.375,2.25,2.625,1.125,0.25,0.125,0.875,1.375,5.375,3.5,-0.125,0.533,0.513,0.308,0.077,2.443,14.014,8.329,9.414,0.757,0.543,18.014,15.043,92.714,106.429,-2.629
2000-01,2000-12-05,CAV,CHO,CAV,16.281,2.111,4.889,0.432,1.667,3.444,0.484,0.444,1.444,0.308,0.333,0.333,1.0,0.333,2.222,2.556,1.0,0.222,0.111,0.778,1.222,5.0,3.056,-1.0,0.496,0.477,0.295,0.068,2.138,15.963,8.75,8.238,0.662,0.475,15.763,16.125,87.5,108.5,-4.0
2000-01,2000-12-06,CAV,BUL,BUL,14.653,1.9,4.4,0.432,1.5,3.1,0.484,0.4,1.3,0.308,0.3,0.3,1.0,0.3,2.0,2.3,0.9,0.2,0.1,0.7,1.1,4.5,2.75,-0.9,0.496,0.477,0.295,0.068,2.138,15.963,8.75,8.238,0.662,0.475,15.763,16.125,87.5,108.5,-4.0
2000-01,2000-12-09,CAV,HAW,CAV,13.537,1.727,4.0,0.432,1.364,2.818,0.484,0.364,1.182,0.308,0.273,0.273,1.0,0.273,1.818,2.091,0.818,0.182,0.091,0.636,1.0,4.091,2.5,-1.182,0.496,0.477,0.295,0.068,1.9,14.189,7.778,7.322,0.589,0.422,14.011,14.333,77.778,109.111,-4.433
2000-01,2000-12-12,CAV,MAV,CAV,12.409,1.583,3.667,0.432,1.25,2.583,0.484,0.333,1.083,0.308,0.25,0.25,1.0,0.25,1.667,1.917,0.75,0.167,0.083,0.583,0.917,3.75,2.292,-1.083,0.496,0.477,0.295,0.068,1.9,14.189,7.778,7.322,0.589,0.422,14.011,14.333,77.778,109.111,-4.433
2000-01,2000-12-15,CAV,PAC,PAC,11.455,1.462,3.385,0.432,1.154,2.385,0.484,0.308,1.0,0.308,0.231,0.231,1.0,0.231,1.538,1.769,0.692,0.154,0.077,0.538,0.846,3.462,2.115,-1.0,0.496,0.477,0.295,0.068,1.9,14.189,7.778,7.322,0.589,0.422,14.011,14.333,77.778,109.111,-4.433
2000-01,2000-12-16,CAV,JAZ,CAV,11.702,1.429,3.429,0.417,1.071,2.286,0.469,0.357,1.143,0.312,0.214,0.214,1.0,0.214,1.571,1.786,0.643,0.286,0.071,0.5,0.857,3.429,2.164,-0.071,0.487,0.469,0.333,0.062,1.71,14.33,7.76,6.59,1.23,0.38,12.61,14.05,79.3,107.5,-3.78
2000-01,2001-02-15,CAV,MAV,MAV,12.377,1.4,3.533,0.396,1.0,2.133,0.469,0.4,1.4,0.286,0.2,0.2,1.0,0.2,1.667,1.867,0.667,0.4,0.067,0.467,0.933,3.4,2.2,0.0,0.469,0.453,0.396,0.057,1.555,14.445,7.8,6.618,1.527,0.345,11.464,13.691,78.727,106.091,-3.527
2000-01,2001-02-17,CAV,ROC,ROC,11.867,1.312,3.375,0.389,0.938,2.062,0.455,0.375,1.312,0.286,0.188,0.188,1.0,0.188,1.562,1.75,0.625,0.375,0.125,0.438,1.0,3.188,2.013,0.062,0.461,0.444,0.389,0.056,1.425,13.242,7.15,6.067,1.4,1.708,10.508,13.508,72.167,106.167,-4.258
2000-01,2001-02-19,CAV,BUL,CAV,11.169,1.235,3.176,0.389,0.882,1.941,0.455,0.353,1.235,0.286,0.176,0.176,1.0,0.176,1.471,1.647,0.588,0.353,0.118,0.412,0.941,3.0,1.894,0.059,0.461,0.444,0.389,0.056,1.425,13.242,7.15,6.067,1.4,1.708,10.508,13.508,72.167,106.167,-4.258
2000-01,2001-02-21,CAV,CLI,CAV,11.461,1.444,3.389,0.426,0.944,2.056,0.459,0.5,1.333,0.375,0.167,0.278,0.6,0.167,1.5,1.667,0.556,0.389,0.111,0.389,0.889,3.556,2.394,0.722,0.506,0.5,0.393,0.049,1.315,13.269,7.146,5.6,1.562,1.577,9.7,14.338,77.385,105.462,-2.438
2000-01,2001-02-23,CAV,PAC,CAV,12.526,1.579,3.632,0.435,1.053,2.105,0.5,0.526,1.526,0.345,0.158,0.263,0.6,0.211,1.684,1.895,0.684,0.421,0.105,0.421,1.105,3.842,2.653,0.737,0.513,0.507,0.42,0.043,1.464,13.564,7.371,6.207,1.571,1.464,9.8,14.236,79.786,105.786,-2.343
2000-01,2001-02-25,CAV,PIS,PIS,12.748,1.55,3.55,0.437,1.05,2.1,0.5,0.5,1.45,0.345,0.15,0.25,0.6,0.2,1.75,1.95,0.7,0.45,0.1,0.4,1.1,3.75,2.68,0.2,0.512,0.507,0.408,0.042,1.367,13.973,7.58,6.347,1.687,1.367,9.147,13.673,82.067,105.6,-2.18
2000-01,2001-02-27,CAV,RAP,RAP,12.888,1.667,3.619,0.461,1.095,2.143,0.511,0.571,1.476,0.387,0.143,0.238,0.6,0.19,1.667,1.857,0.667,0.429,0.095,0.429,1.19,4.048,2.833,0.381,0.543,0.539,0.408,0.039,1.281,13.1,7.106,5.95,1.581,1.281,9.619,13.831,85.938,105.688,-1.769
2000-01,2001-03-01,CAV,SUP,CAV,13.24,1.773,3.773,0.47,1.136,2.227,0.51,0.636,1.545,0.412,0.136,0.227,0.6,0.182,1.682,1.864,0.636,0.455,0.091,0.455,1.273,4.318,2.982,0.545,0.558,0.554,0.41,0.036,1.206,12.953,7.006,5.6,1.629,1.206,9.788,13.982,87.941,105.882,-1.512
2000-01,2001-03-02,CAV,MAG,MAG,13.552,1.783,3.957,0.451,1.174,2.304,0.509,0.609,1.652,0.368,0.174,0.261,0.667,0.217,1.696,1.913,0.652,0.435,0.087,0.435,1.348,4.348,2.896,0.478,0.534,0.527,0.418,0.044,1.517,12.767,7.089,5.739,1.539,1.139,9.244,14.283,87.333,105.833,-1.972
