SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-11-01,CLI,SPU,CLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2010-11-03,CLI,THU,CLI,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0,0.0,0.0,0.0,1.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,33.0,0.0,0.0,0.0,211.0,39.0,43.4
2010-11,2010-11-05,CLI,NUG,NUG,1.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,0,0.0,0.0,0.0,1.133,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,16.5,0.0,0.0,0.0,215.0,74.0,33.25
2010-11,2010-11-06,CLI,JAZ,JAZ,1.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.85,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,16.5,0.0,0.0,0.0,215.0,74.0,33.25
2010-11,2010-11-09,CLI,NHO,NHO,0.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0,0.0,0.0,0.0,0.68,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,16.5,0.0,0.0,0.0,215.0,74.0,33.25
2010-11,2010-11-10,CLI,SPU,SPU,1.76,0.333,0.5,0.667,0.333,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.333,0.333,0,0.167,0.333,0.667,0.767,0.0,0.667,0.667,0.0,0.0,0.0,6.667,3.433,47.0,11.0,0.0,8.333,9.867,171.333,86.333,18.9
2010-11,2010-11-12,CLI,PIS,CLI,3.899,0.286,0.714,0.4,0.286,0.714,0.4,0.0,0.0,0.0,0.286,0.286,1.0,0.0,0.286,0.286,1.143,0.286,0,0.286,0.571,0.857,1.129,0.714,0.51,0.4,0.0,0.4,0.0,7.325,3.525,46.0,8.25,0.0,12.7,10.025,155.75,97.0,12.75
2010-11,2010-11-15,CLI,NNE,CLI,4.334,0.25,0.875,0.286,0.25,0.75,0.333,0.0,0.125,0.0,0.25,0.25,1.0,0.0,0.25,0.25,1.125,0.25,0,0.25,0.625,0.75,0.85,1.125,0.381,0.286,0.143,0.286,0.0,5.86,2.82,40.68,6.6,0.0,10.16,10.46,130.8,101.6,6.68
2010-11,2010-11-17,CLI,TIM,TIM,3.852,0.222,0.778,0.286,0.222,0.667,0.333,0.0,0.111,0.0,0.222,0.222,1.0,0.0,0.222,0.222,1.0,0.222,0,0.222,0.556,0.667,0.756,1.0,0.381,0.286,0.143,0.286,0.0,5.86,2.82,40.68,6.6,0.0,10.16,10.46,130.8,101.6,6.68
2010-11,2010-11-18,CLI,PAC,PAC,4.115,0.3,0.9,0.333,0.3,0.8,0.375,0.0,0.1,0.0,0.2,0.2,1.0,0.0,0.2,0.2,1.1,0.3,0,0.2,0.7,0.8,0.94,1.5,0.405,0.333,0.111,0.222,0.0,4.883,2.35,41.033,6.8,0.0,8.467,10.883,132.5,102.667,6.417
2010-11,2010-11-20,CLI,KNI,CLI,4.359,0.455,1.182,0.385,0.455,1.0,0.455,0.0,0.182,0.0,0.364,0.364,1.0,0.0,0.364,0.364,1.091,0.273,0,0.182,0.636,1.273,1.336,1.364,0.474,0.385,0.154,0.308,0.0,9.943,4.286,43.0,5.829,0.0,7.257,13.9,133.143,104.857,7.614
2010-11,2010-11-22,CLI,NHO,CLI,4.748,0.5,1.333,0.375,0.5,1.083,0.462,0.0,0.25,0.0,0.333,0.333,1.0,0.083,0.417,0.5,1.167,0.25,0,0.25,0.583,1.333,1.367,1.083,0.45,0.375,0.188,0.25,2.3,10.325,5.65,41.162,5.1,0.0,9.475,14.587,127.625,108.5,5.512
