SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-27,GRI,SUN,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-11-12,GRI,JAZ,GRI,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.8,-2.0,1.136,0.0,0.0,0.0,0.0,51.8,28.7,0.0,0.0,0.0,53.2,19.8,109.0,99.0,-4.8
2018-19,2018-11-14,GRI,BUC,BUC,1.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.667,0.667,0.0,0.0,0.0,0.333,0.0,0.667,0.533,-1.333,1.136,0.0,0.0,0.0,0.0,51.8,28.7,0.0,0.0,0.0,53.2,19.8,109.0,99.0,-4.8
2018-19,2018-11-16,GRI,KIN,GRI,3.072,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.25,0.25,0.0,0.5,0.55,-0.25,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-11-25,GRI,KNI,GRI,2.458,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,1.0,0.0,0.8,0.8,0.0,0.0,0.2,0.2,0.0,0.4,0.44,-0.2,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-12-05,GRI,CLI,GRI,2.048,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.333,0.333,1.0,0.0,0.667,0.667,0.0,0.0,0.167,0.167,0.0,0.333,0.367,-0.167,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-12-14,GRI,HEA,GRI,1.756,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.286,1.0,0.0,0.571,0.571,0.0,0.0,0.143,0.143,0.0,0.286,0.314,-0.143,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-12-15,GRI,ROC,GRI,1.536,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.25,1.0,0.0,0.5,0.5,0.0,0.0,0.125,0.125,0.0,0.25,0.275,-0.125,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-12-17,GRI,WAR,WAR,1.366,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.222,0.222,1.0,0.0,0.444,0.444,0.0,0.0,0.111,0.111,0.0,0.222,0.244,-0.111,0.532,0.0,1.0,2.0,0.0,41.75,22.25,0.0,0.0,6.7,26.6,12.85,54.5,103.5,-3.8
2018-19,2018-12-21,GRI,KIN,KIN,1.626,0.1,0.3,0.333,0.1,0.2,0.5,0.0,0.1,0.0,0.2,0.2,1.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0,0.4,0.35,-0.2,0.515,0.333,0.333,0.667,0.0,36.8,19.7,0.0,0.0,4.467,17.733,16.4,65.667,106.667,-3.633
