SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2013-14,2013-10-30,PAC,PEL,34,85,0.4,29,74,0.392,5,11,0.455,17,21,0.81,15,28,43,17,7,5,15,29,90,0.478,0.429,0.129,0.247,32.6,82.4,53.8,50.0,7.6,10.6,13.7,98.3,103.8
2013-14,2013-11-01,MAG,MAG,32,92,0.348,26,80,0.325,6,12,0.5,20,26,0.769,17,27,44,16,7,5,12,21,90,0.435,0.38,0.13,0.283,30.4,84.4,50.0,50.0,7.4,10.4,10.4,95.0,116.1
2013-14,2013-11-02,BOB,PEL,37,75,0.493,30,62,0.484,7,13,0.538,24,28,0.857,8,35,43,30,10,18,17,26,105,0.601,0.54,0.173,0.373,22.9,71.4,51.2,81.1,10.6,30.5,16.3,111.7,89.4
2013-14,2013-11-05,SUN,PEL,37,85,0.435,27,67,0.403,10,18,0.556,14,19,0.737,8,32,40,26,12,11,14,20,98,0.525,0.494,0.212,0.224,19.0,82.1,49.4,70.3,12.5,20.8,13.0,102.0,108.3
2013-14,2013-11-06,GRI,GRI,38,78,0.487,34,65,0.523,4,13,0.308,19,21,0.905,13,26,39,16,10,5,14,17,99,0.567,0.513,0.167,0.269,37.1,78.8,57.4,42.1,11.7,8.9,13.8,116.0,98.4
2013-14,2013-11-08,LAK,PEL,38,87,0.437,35,78,0.449,3,9,0.333,17,22,0.773,11,39,50,25,10,8,9,22,96,0.496,0.454,0.103,0.253,23.4,76.5,51.0,65.8,10.8,13.1,8.5,104.0,92.1
2013-14,2013-11-10,SUN,SUN,39,88,0.443,35,75,0.467,4,13,0.308,12,13,0.923,14,29,43,20,6,3,17,20,94,0.501,0.466,0.148,0.148,31.8,74.4,51.8,51.3,6.5,5.4,15.4,101.8,109.3
2013-14,2013-11-12,LAK,LAK,34,84,0.405,31,74,0.419,3,10,0.3,24,33,0.727,9,22,31,23,11,3,13,20,95,0.482,0.423,0.119,0.393,17.0,71.0,36.9,67.6,11.2,5.1,11.7,96.6,118.0
2013-14,2013-11-13,JAZ,JAZ,42,85,0.494,37,73,0.507,5,12,0.417,16,20,0.8,11,23,34,19,13,3,13,30,105,0.56,0.524,0.141,0.235,26.8,62.2,43.6,45.2,13.8,6.0,12.2,111.7,118.0
2013-14,2013-11-16,76E,PEL,52,86,0.605,39,58,0.672,13,28,0.464,18,27,0.667,10,33,43,30,11,17,13,25,135,0.69,0.68,0.326,0.314,26.3,76.7,53.1,57.7,10.9,26.6,11.7,133.9,97.2
2013-14,2013-11-20,JAZ,PEL,40,79,0.506,35,64,0.547,5,15,0.333,20,33,0.606,14,30,44,24,9,13,12,20,105,0.561,0.538,0.19,0.418,33.3,76.9,54.3,60.0,9.7,22.0,11.4,113.6,106.0
2013-14,2013-11-22,CAV,PEL,36,88,0.409,30,71,0.423,6,17,0.353,26,33,0.788,19,29,48,20,11,6,12,20,104,0.507,0.443,0.193,0.375,38.0,82.9,56.5,55.6,11.6,11.1,10.5,110.1,105.9
2013-14,2013-11-25,SPU,SPU,37,97,0.381,35,82,0.427,2,15,0.133,17,20,0.85,17,31,48,21,11,6,16,18,93,0.44,0.392,0.155,0.206,30.9,81.6,51.6,56.8,10.9,10.7,13.1,92.3,111.2
2013-14,2013-11-26,WAR,PEL,41,87,0.471,32,68,0.471,9,19,0.474,10,13,0.769,14,33,47,22,5,8,16,21,101,0.545,0.523,0.218,0.149,30.4,78.6,53.4,53.7,5.3,11.6,14.7,107.1,108.2
2013-14,2013-11-29,76E,76E,51,93,0.548,43,73,0.589,8,20,0.4,11,14,0.786,10,30,40,30,13,9,13,21,121,0.61,0.591,0.215,0.151,24.4,62.5,44.9,58.8,13.0,14.8,11.6,121.0,105.0
2013-14,2013-12-01,KNI,KNI,38,77,0.494,28,56,0.5,10,21,0.476,17,23,0.739,9,23,32,22,10,1,12,19,103,0.591,0.558,0.273,0.299,23.7,63.9,43.2,57.9,11.5,2.4,12.1,118.7,114.1
2013-14,2013-12-02,BUL,BUL,50,113,0.442,39,90,0.433,11,23,0.478,20,27,0.741,22,32,54,25,9,5,11,34,131,0.525,0.491,0.204,0.239,36.1,66.7,49.5,50.0,8.1,6.4,8.1,117.4,114.7
2013-14,2013-12-04,MAV,PEL,38,94,0.404,31,72,0.431,7,22,0.318,14,15,0.933,18,40,58,21,5,2,16,17,97,0.482,0.441,0.234,0.16,37.5,83.3,60.4,55.3,5.3,3.2,13.7,103.4,106.6
2013-14,2013-12-06,THU,PEL,33,88,0.375,30,72,0.417,3,16,0.188,26,34,0.765,19,30,49,19,9,3,16,21,95,0.461,0.392,0.182,0.386,35.8,81.1,54.4,57.6,9.4,5.4,13.4,99.1,113.7
2013-14,2013-12-11,PIS,PEL,38,84,0.452,29,61,0.475,9,23,0.391,26,32,0.813,16,35,51,23,10,7,17,22,111,0.566,0.506,0.274,0.381,36.4,70.0,54.3,60.5,10.0,9.3,14.8,111.4,106.3
2013-14,2013-12-13,GRI,PEL,39,76,0.513,30,54,0.556,9,22,0.409,17,20,0.85,8,23,31,22,3,5,6,12,104,0.613,0.572,0.289,0.263,21.1,65.7,42.5,56.4,3.6,7.7,6.6,126.2,118.9
2013-14,2013-12-15,NUG,NUG,37,85,0.435,30,61,0.492,7,24,0.292,12,19,0.632,9,23,32,23,10,8,14,23,93,0.498,0.476,0.282,0.224,20.0,60.5,38.6,62.2,10.5,13.1,13.0,97.3,106.7
2013-14,2013-12-17,WAR,WAR,33,88,0.375,28,70,0.4,5,18,0.278,22,30,0.733,12,32,44,22,8,3,10,20,93,0.459,0.403,0.205,0.341,22.6,65.3,43.1,66.7,8.4,4.2,9.0,97.5,109.1
2013-14,2013-12-18,CLI,CLI,37,93,0.398,30,73,0.411,7,20,0.35,14,20,0.7,18,37,55,26,6,1,11,22,95,0.467,0.435,0.215,0.215,32.1,77.1,52.9,70.3,6.6,2.0,9.8,103.8,118.0
2013-14,2013-12-21,BLA,BLA,44,94,0.468,38,77,0.494,6,17,0.353,13,19,0.684,16,32,48,22,5,3,11,21,107,0.523,0.5,0.181,0.202,36.4,65.3,51.6,50.0,5.4,4.3,9.7,115.7,119.0
2013-14,2013-12-23,KIN,KIN,41,83,0.494,33,66,0.5,8,17,0.471,23,27,0.852,15,30,45,28,13,2,16,26,113,0.595,0.542,0.205,0.325,35.7,65.2,51.1,68.3,13.6,3.5,14.4,118.6,105.0
2013-14,2013-12-27,NUG,PEL,42,89,0.472,31,65,0.477,11,24,0.458,10,15,0.667,15,38,53,28,10,8,16,21,105,0.549,0.534,0.27,0.169,32.6,77.6,55.8,66.7,10.4,13.6,14.3,109.7,93.0
2013-14,2013-12-28,ROC,ROC,41,93,0.441,31,71,0.437,10,22,0.455,6,8,0.75,12,30,42,28,5,5,12,25,98,0.508,0.495,0.237,0.086,25.5,71.4,47.2,68.3,5.4,9.8,11.1,105.4,115.1
2013-14,2013-12-30,BLA,PEL,48,89,0.539,46,78,0.59,2,11,0.182,12,15,0.8,9,38,47,19,5,10,9,19,110,0.575,0.551,0.124,0.169,24.3,79.2,55.3,39.6,5.3,17.9,8.6,115.8,113.7
2013-14,2014-01-01,TIM,TIM,45,87,0.517,39,67,0.582,6,20,0.3,16,22,0.727,13,24,37,20,10,5,18,25,112,0.579,0.552,0.23,0.253,32.5,70.6,50.0,44.4,10.2,8.8,15.7,114.2,126.4
2013-14,2014-01-03,CEL,CEL,38,77,0.494,36,71,0.507,2,6,0.333,17,22,0.773,12,33,45,23,3,4,15,19,95,0.548,0.506,0.078,0.286,30.8,60.0,47.9,60.5,3.4,6.7,14.8,109.0,105.5
2013-14,2014-01-04,PAC,PAC,31,68,0.456,28,59,0.475,3,9,0.333,17,26,0.654,5,28,33,15,9,6,17,18,82,0.516,0.478,0.132,0.382,13.9,66.7,42.3,48.4,10.0,9.8,17.6,91.2,110.1
2013-14,2014-01-07,HEA,HEA,36,77,0.468,33,68,0.485,3,9,0.333,13,17,0.765,12,29,41,18,9,4,16,22,88,0.521,0.487,0.117,0.221,28.6,76.3,51.3,50.0,10.2,7.8,15.9,99.5,121.0
2013-14,2014-01-08,WIZ,PEL,35,78,0.449,31,65,0.477,4,13,0.308,22,27,0.815,8,29,37,23,8,9,11,24,96,0.534,0.474,0.167,0.346,19.5,69.0,44.6,65.7,8.9,15.3,10.9,107.1,113.8
2013-14,2014-01-10,MAV,PEL,36,80,0.45,33,73,0.452,3,7,0.429,15,19,0.789,15,23,38,15,6,8,18,17,90,0.509,0.469,0.088,0.238,34.9,67.6,49.4,41.7,6.9,16.0,16.9,103.6,123.2
2013-14,2014-01-11,MAV,MAV,37,77,0.481,29,58,0.5,8,19,0.421,25,31,0.806,13,35,48,22,6,2,19,33,107,0.59,0.532,0.247,0.403,34.2,87.5,61.5,59.5,6.4,5.0,17.3,113.9,117.1
2013-14,2014-01-13,SPU,PEL,38,87,0.437,31,76,0.408,7,11,0.636,12,17,0.706,9,32,41,19,7,4,9,23,95,0.503,0.477,0.126,0.195,19.1,91.4,50.0,50.0,7.7,7.3,8.7,104.3,110.9
2013-14,2014-01-15,ROC,PEL,35,77,0.455,27,57,0.474,8,20,0.4,22,29,0.759,12,32,44,19,7,8,16,34,100,0.557,0.506,0.26,0.377,28.6,80.0,53.7,54.3,7.5,13.6,15.1,107.1,110.4
2013-14,2014-01-18,WAR,PEL,32,83,0.386,30,72,0.417,2,11,0.182,21,28,0.75,15,32,47,18,4,5,13,17,87,0.456,0.398,0.133,0.337,31.3,76.2,52.2,56.3,4.5,8.1,12.0,97.9,109.1
2013-14,2014-01-20,GRI,GRI,35,77,0.455,30,68,0.441,5,9,0.556,20,23,0.87,9,25,34,21,10,8,10,22,95,0.545,0.487,0.117,0.299,23.1,64.1,43.6,60.0,11.6,14.5,10.3,110.1,106.7
2013-14,2014-01-21,KIN,PEL,33,69,0.478,28,58,0.483,5,11,0.455,26,38,0.684,9,26,35,18,8,7,15,28,97,0.566,0.514,0.159,0.551,22.5,63.4,43.2,54.5,8.8,11.5,14.9,107.0,125.8
