SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,37.622,81.902,0.461,31.317,65.354,0.481,6.305,16.549,0.38,18.927,23.829,0.794,10.134,31.354,41.488,21.22,7.537,6.0,13.915,23.256,100.476,0.545,0.5,0.203,0.295,23.591,70.584,47.752,56.333,8.06,8.761,13.091,107.666,103.054
2001-02,39.024,84.512,0.463,31.451,64.451,0.49,7.573,20.061,0.38,19.61,24.317,0.805,11.195,31.317,42.512,22.085,7.085,4.707,12.098,22.451,105.232,0.553,0.508,0.238,0.291,25.851,70.821,48.699,56.637,7.556,6.92,11.262,112.546,107.979
2002-03,38.549,85.146,0.453,30.793,64.805,0.475,7.756,20.341,0.378,18.122,21.866,0.828,11.122,31.024,42.146,22.402,8.11,5.476,11.573,21.098,102.976,0.544,0.499,0.239,0.26,25.104,71.094,47.993,57.877,8.765,8.533,10.882,111.127,102.626
2003-04,40.512,88.171,0.461,34.329,70.415,0.489,6.183,17.756,0.347,17.988,22.61,0.798,14.317,30.951,45.268,23.939,8.0,5.329,12.195,19.622,105.195,0.538,0.496,0.202,0.258,31.201,71.651,50.88,58.988,8.522,8.157,11.05,112.289,107.411
2004-05,37.293,81.598,0.458,31.646,66.073,0.48,5.646,15.524,0.358,22.268,28.22,0.788,12.073,30.854,42.927,19.634,8.634,5.622,13.439,22.28,102.5,0.547,0.493,0.191,0.351,28.552,70.4,49.89,52.49,9.265,8.61,12.496,110.429,104.052
2005-06,35.951,77.744,0.463,30.878,64.171,0.481,5.073,13.573,0.375,22.171,28.317,0.786,12.561,29.646,42.207,17.963,7.232,5.951,13.561,22.366,99.146,0.551,0.496,0.174,0.37,31.79,72.657,52.512,49.844,8.173,9.47,13.049,111.966,104.913
2006-07,36.707,78.561,0.469,30.183,61.439,0.493,6.524,17.122,0.382,20.073,24.939,0.808,11.22,30.671,41.89,19.902,6.829,4.976,13.902,22.402,100.012,0.56,0.51,0.217,0.323,28.274,75.33,52.382,54.071,7.576,7.868,13.422,111.378,103.257
2007-08,36.89,79.451,0.466,30.866,62.341,0.497,6.024,17.11,0.356,20.61,25.305,0.813,10.768,32.232,43.0,20.976,5.976,4.902,12.646,21.78,100.415,0.556,0.504,0.216,0.322,26.488,75.124,51.638,56.626,6.6,7.434,12.245,111.15,106.11
2008-09,38.146,82.561,0.463,31.183,62.659,0.499,6.963,19.902,0.354,18.488,22.585,0.822,11.085,31.646,42.732,21.695,7.207,5.232,12.72,19.512,101.744,0.551,0.505,0.241,0.276,26.234,74.711,50.823,56.7,7.779,7.944,12.054,110.523,108.477
2009-10,38.293,82.439,0.465,31.488,64.171,0.491,6.805,18.268,0.371,18.61,22.805,0.817,10.171,31.537,41.707,23.378,7.61,5.476,12.915,19.061,102.0,0.553,0.506,0.222,0.281,24.1,73.856,49.316,60.843,8.115,8.42,12.233,109.221,106.391
