SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2008-09,36.573,81.902,0.448,32.573,70.329,0.466,4.0,11.573,0.341,19.829,25.232,0.784,12.183,30.451,42.634,20.28,7.415,4.524,16.22,20.183,96.976,0.522,0.473,0.142,0.311,28.518,74.018,50.913,55.384,7.867,6.96,14.822,103.001,109.443
2009-10,37.354,80.841,0.463,32.256,65.854,0.492,5.098,14.988,0.339,21.683,26.951,0.806,11.707,31.793,43.5,19.988,7.976,5.866,14.963,21.256,101.488,0.548,0.495,0.186,0.336,28.243,73.999,51.767,53.324,8.479,8.922,13.901,108.345,104.613
2010-11,37.39,80.598,0.466,31.451,63.488,0.497,5.939,17.11,0.349,24.11,29.28,0.822,11.012,31.756,42.768,20.39,7.976,5.939,14.098,22.39,104.829,0.563,0.503,0.213,0.367,26.901,73.832,51.254,54.252,8.452,8.848,13.116,111.373,107.276
2011-12,37.303,79.227,0.472,30.152,59.273,0.509,7.152,19.955,0.363,21.303,26.424,0.808,11.0,32.682,43.682,18.545,7.545,8.167,16.348,20.485,103.061,0.568,0.517,0.252,0.338,27.364,72.489,51.452,49.756,8.003,12.142,15.283,109.73,103.195
2012-13,38.122,79.317,0.481,30.829,59.951,0.515,7.293,19.366,0.377,22.183,26.78,0.829,10.415,33.232,43.646,21.378,8.28,7.61,15.28,20.171,105.72,0.581,0.527,0.244,0.342,26.418,73.49,51.754,56.048,8.78,11.965,14.35,112.552,102.69
2013-14,38.951,82.707,0.472,30.854,60.28,0.512,8.098,22.427,0.364,20.159,25.024,0.804,10.817,33.915,44.732,21.878,8.268,6.11,15.317,22.659,106.159,0.568,0.521,0.271,0.305,26.328,75.65,52.245,56.099,8.571,10.261,14.051,110.594,103.927
2014-15,38.829,86.817,0.448,31.122,64.085,0.486,7.707,22.732,0.336,18.585,24.634,0.741,12.829,34.683,47.512,20.5,7.293,5.537,14.695,22.305,103.951,0.533,0.492,0.262,0.288,28.97,75.798,52.71,53.067,7.552,9.113,13.109,107.634,105.421
2015-16,41.122,86.366,0.477,32.854,62.646,0.526,8.268,23.72,0.35,19.707,25.207,0.786,13.061,35.561,48.622,22.963,7.354,5.939,15.915,20.622,110.22,0.566,0.525,0.275,0.295,30.989,76.052,54.72,55.887,7.563,9.322,14.007,113.204,105.711
2016-17,39.476,87.427,0.452,31.037,61.622,0.504,8.439,25.805,0.327,19.207,25.768,0.748,12.22,34.402,46.622,20.988,7.902,4.976,15.0,20.915,106.598,0.541,0.501,0.296,0.299,27.923,79.246,53.473,52.974,7.968,8.285,13.168,108.413,107.635
2017-18,39.89,88.061,0.453,29.146,57.683,0.505,10.744,30.378,0.352,17.329,24.207,0.715,12.488,32.573,45.061,21.341,9.061,5.024,13.988,20.159,107.854,0.547,0.514,0.346,0.279,27.482,77.502,51.679,53.54,9.295,9.465,12.385,110.652,107.209
2018-19,42.646,93.976,0.455,31.28,61.329,0.511,11.366,32.646,0.351,17.817,24.988,0.714,12.573,35.5,48.073,23.378,9.341,5.183,13.963,22.427,114.476,0.546,0.515,0.346,0.268,25.733,78.372,51.341,54.668,8.995,9.195,11.75,110.28,106.987
2019-20,39.986,85.5,0.469,29.292,55.347,0.529,10.694,30.153,0.354,19.75,24.819,0.797,8.236,34.653,42.889,21.694,7.639,4.903,13.694,19.306,110.417,0.574,0.532,0.352,0.293,19.201,76.851,48.938,54.19,7.663,8.826,12.435,110.982,108.91
2020-21,38.819,88.028,0.442,26.917,52.903,0.51,11.903,35.125,0.339,15.458,21.333,0.724,9.931,35.667,45.597,22.056,7.0,4.389,16.139,18.125,105.0,0.54,0.51,0.401,0.245,20.965,78.183,49.131,57.028,6.857,7.969,14.196,103.624,114.039
2021-22,38.305,89.146,0.43,26.22,51.756,0.506,12.085,37.39,0.323,15.037,19.902,0.756,10.415,35.207,45.622,22.22,7.585,4.634,13.963,18.256,103.732,0.53,0.498,0.421,0.225,21.755,76.362,48.527,58.148,7.638,9.04,12.461,104.593,112.721
2022-23,42.94,92.512,0.465,30.81,58.298,0.528,12.131,34.214,0.356,19.262,23.762,0.806,11.417,32.143,43.56,24.357,8.238,4.19,13.012,20.964,117.274,0.57,0.531,0.369,0.26,24.576,73.023,48.367,56.769,8.065,7.906,11.214,115.175,114.425
2023-24,44.549,89.317,0.5,31.256,55.11,0.569,13.293,34.207,0.387,17.695,21.451,0.83,8.805,33.232,42.037,27.11,8.463,6.561,12.671,18.841,120.085,0.609,0.575,0.382,0.244,20.882,73.85,48.413,60.813,8.398,12.863,11.368,119.512,112.28
