SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,36.047,77.279,0.466,31.57,64.279,0.491,4.477,13.0,0.344,17.512,22.988,0.762,11.5,29.826,41.326,23.395,8.035,5.035,15.14,21.035,94.081,0.538,0.495,0.168,0.227,29.109,71.769,51.094,64.072,8.914,7.659,14.591,105.176,101.433
2001-02,36.023,80.43,0.448,30.372,64.477,0.471,5.651,15.953,0.354,17.64,23.07,0.765,13.035,29.535,42.57,23.116,8.453,4.384,14.14,19.663,95.337,0.526,0.483,0.198,0.219,31.078,72.852,51.701,62.959,9.42,6.876,13.351,106.265,103.279
2002-03,36.022,78.267,0.46,31.322,64.167,0.488,4.7,14.1,0.333,17.833,23.922,0.745,12.189,28.733,40.922,22.478,8.544,3.744,14.933,19.911,94.578,0.533,0.49,0.18,0.228,30.117,71.723,50.998,61.441,9.507,5.872,14.258,105.504,102.862
2003-04,34.916,77.916,0.448,30.325,64.639,0.469,4.59,13.277,0.346,15.217,20.819,0.731,12.53,28.627,41.157,21.301,7.386,5.337,14.614,18.723,89.639,0.515,0.478,0.17,0.195,30.576,69.775,50.264,60.061,8.447,8.116,14.183,102.353,103.819
2004-05,34.892,77.373,0.451,29.831,63.386,0.471,5.06,13.988,0.362,16.976,23.422,0.725,11.687,28.964,40.651,20.747,7.024,6.554,15.759,20.518,91.819,0.524,0.484,0.181,0.219,28.853,67.101,48.712,59.073,7.788,9.655,15.012,102.054,106.342
2005-06,33.627,75.506,0.445,29.241,62.952,0.464,4.386,12.554,0.349,16.133,23.422,0.689,10.675,26.542,37.217,17.952,6.373,5.241,14.518,22.024,87.771,0.511,0.474,0.166,0.214,26.107,67.842,46.653,52.481,7.242,8.19,14.314,99.971,110.573
2006-07,34.627,77.012,0.45,29.494,62.169,0.474,5.133,14.843,0.346,18.59,24.169,0.769,11.12,27.699,38.819,18.229,6.687,4.578,14.892,23.265,92.976,0.53,0.483,0.193,0.241,27.755,72.307,49.581,51.923,7.453,7.49,14.329,103.928,108.677
2007-08,35.361,78.867,0.448,28.88,61.687,0.468,6.482,17.181,0.377,17.012,22.181,0.767,10.855,29.373,40.229,20.88,5.482,4.337,12.723,19.783,94.217,0.532,0.489,0.218,0.216,26.234,71.2,48.782,58.058,6.145,6.936,12.395,105.983,107.054
2008-09,36.157,77.989,0.464,29.09,59.562,0.488,7.067,18.427,0.384,18.101,23.663,0.765,12.573,28.303,40.876,19.719,6.584,5.022,12.618,20.236,97.483,0.551,0.509,0.236,0.232,31.639,74.243,52.417,53.708,7.555,8.257,12.353,111.935,106.838
2009-10,35.64,77.685,0.459,29.697,60.966,0.487,5.944,16.719,0.356,19.438,24.73,0.786,10.989,28.562,39.551,20.124,6.281,4.225,12.112,20.831,96.663,0.546,0.497,0.215,0.25,27.474,73.912,50.476,55.545,7.058,7.037,11.871,109.438,106.71
2010-11,35.393,79.079,0.448,29.236,61.067,0.479,6.157,18.011,0.342,17.719,22.067,0.803,11.809,26.978,38.787,20.652,7.798,4.371,12.798,19.213,94.663,0.533,0.487,0.228,0.224,28.388,71.73,49.151,57.634,8.826,7.547,12.408,107.602,106.321
2011-12,35.851,80.851,0.443,28.716,60.224,0.477,7.134,20.627,0.346,16.91,21.239,0.796,10.97,29.09,40.06,20.134,7.881,4.806,13.955,18.672,95.746,0.531,0.488,0.255,0.209,25.751,71.676,48.304,55.215,8.522,7.646,13.173,104.313,105.0
2012-13,36.253,80.904,0.448,28.145,57.964,0.486,8.108,22.94,0.353,15.711,20.241,0.776,10.53,29.807,40.337,21.494,6.482,4.253,14.494,18.289,96.325,0.536,0.498,0.284,0.194,24.777,72.725,48.443,58.687,7.029,6.527,13.742,104.442,107.928
2013-14,38.606,86.16,0.448,29.489,61.457,0.48,9.117,24.702,0.369,18.989,23.372,0.812,12.245,33.436,45.681,22.309,5.521,4.819,13.585,19.404,105.319,0.546,0.501,0.287,0.22,27.346,73.654,50.77,57.041,5.755,6.995,12.221,109.845,106.969
2014-15,37.977,84.852,0.448,28.284,58.011,0.488,9.693,26.841,0.361,15.466,19.284,0.802,10.557,34.682,45.239,21.386,6.159,4.523,13.352,18.148,101.114,0.542,0.505,0.316,0.182,23.603,75.6,50.055,55.649,6.447,6.649,12.353,106.706,102.932
2015-16,38.032,85.319,0.446,27.447,56.809,0.483,10.585,28.511,0.371,17.362,23.085,0.752,11.596,33.66,45.255,21.117,6.702,4.5,14.298,21.702,104.011,0.545,0.508,0.334,0.203,25.422,75.698,50.423,54.862,6.891,7.262,12.905,107.689,107.218
