SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,34.819,78.699,0.442,32.169,70.759,0.455,2.651,7.94,0.334,18.807,24.578,0.765,12.229,29.398,41.627,20.578,7.735,5.253,16.265,22.94,91.096,0.509,0.459,0.101,0.239,29.333,70.241,49.813,58.388,8.464,7.916,15.212,99.527,104.071
2001-02,35.518,79.301,0.448,30.855,66.94,0.461,4.663,12.361,0.377,18.422,23.855,0.772,11.663,29.916,41.578,22.783,6.892,5.663,14.41,21.084,94.12,0.524,0.477,0.156,0.232,28.527,72.17,50.502,63.404,7.586,8.464,13.659,103.677,107.371
2002-03,34.337,81.277,0.422,30.807,70.482,0.437,3.53,10.795,0.327,18.096,24.241,0.747,13.47,30.627,44.096,20.627,7.663,6.277,18.084,22.458,90.301,0.491,0.444,0.133,0.223,30.493,72.36,51.022,59.048,8.114,9.218,16.237,95.645,105.69
2003-04,35.205,81.361,0.433,32.229,71.892,0.448,2.976,9.47,0.314,18.41,24.458,0.753,13.47,31.554,45.024,21.783,7.048,6.47,14.651,21.0,91.795,0.498,0.451,0.116,0.226,30.399,72.341,51.353,61.055,7.67,9.498,13.546,100.2,103.087
2004-05,36.024,80.566,0.447,32.41,69.675,0.465,3.614,10.892,0.332,19.687,26.193,0.752,13.458,28.337,41.795,22.301,7.88,5.554,13.747,22.289,95.349,0.518,0.47,0.135,0.244,31.827,70.59,50.853,60.824,8.695,8.577,12.808,105.363,104.495
2005-06,34.844,77.198,0.451,29.094,60.146,0.484,5.75,17.052,0.337,20.156,27.5,0.733,11.677,30.188,41.865,18.438,6.792,4.656,13.802,21.385,95.594,0.535,0.489,0.221,0.261,28.297,74.546,51.21,52.158,7.529,7.485,13.262,106.149,104.576
2006-07,35.146,79.456,0.442,29.301,62.612,0.468,5.845,16.845,0.347,18.136,25.767,0.704,12.398,30.65,43.049,19.981,7.466,4.097,13.951,21.311,94.272,0.519,0.479,0.212,0.228,28.876,75.393,51.7,55.928,8.222,6.605,13.177,103.799,100.135
2007-08,34.853,79.832,0.437,28.179,61.126,0.461,6.674,18.705,0.357,18.137,25.305,0.717,13.032,30.589,43.621,19.768,6.853,5.105,13.863,20.863,94.516,0.52,0.478,0.234,0.227,29.901,75.099,51.775,55.997,7.546,8.388,13.052,104.698,104.809
2008-09,36.175,77.381,0.467,28.454,57.309,0.496,7.722,20.072,0.385,18.784,24.897,0.754,10.588,30.897,41.485,19.907,7.072,5.144,12.557,20.113,98.856,0.56,0.517,0.259,0.243,27.384,74.344,51.773,54.622,7.938,8.574,12.294,111.363,101.392
2009-10,37.074,76.702,0.483,29.83,57.457,0.519,7.245,19.245,0.376,19.404,26.851,0.723,9.426,32.277,41.702,21.989,6.713,5.298,13.84,19.489,100.798,0.569,0.531,0.251,0.253,24.32,76.414,51.498,58.582,7.295,8.332,13.359,109.862,103.437
