SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,32.36,75.291,0.43,26.616,58.616,0.454,5.744,16.674,0.344,17.023,22.465,0.758,9.709,29.279,38.988,19.535,7.535,3.709,13.698,20.953,87.488,0.514,0.468,0.221,0.226,23.631,72.019,47.824,59.573,8.606,5.865,13.703,99.891,98.387
2001-02,33.747,76.892,0.439,29.988,66.06,0.454,3.759,10.831,0.347,14.892,20.578,0.724,10.867,30.651,41.518,20.048,6.59,5.398,14.663,22.229,86.145,0.501,0.463,0.141,0.194,26.264,73.38,50.051,58.608,7.457,8.588,14.404,97.652,99.49
2002-03,32.386,78.518,0.412,28.193,65.265,0.432,4.193,13.253,0.316,15.566,20.349,0.765,11.422,29.687,41.108,18.084,7.133,3.904,14.06,22.361,84.53,0.483,0.439,0.169,0.198,26.113,72.967,49.024,55.387,8.057,6.334,13.705,95.881,101.573
2003-04,32.562,76.969,0.423,27.01,61.021,0.443,5.552,15.948,0.348,17.812,23.417,0.761,11.333,29.74,41.073,18.51,7.167,3.812,13.76,22.177,88.49,0.507,0.459,0.207,0.231,26.884,72.969,49.671,56.095,8.12,6.469,13.49,100.49,100.095
2004-05,37.112,76.173,0.487,31.347,60.949,0.514,5.765,15.224,0.379,19.98,29.745,0.672,10.316,32.031,42.347,21.163,6.224,5.714,13.847,22.265,99.969,0.56,0.525,0.2,0.262,26.02,73.392,50.964,56.279,6.758,8.705,13.313,108.698,101.933
2005-06,36.226,75.67,0.479,30.16,57.934,0.521,6.066,17.736,0.342,19.642,28.5,0.689,10.16,32.292,42.453,19.755,6.443,5.16,14.557,22.868,98.16,0.556,0.519,0.234,0.26,25.918,75.86,51.939,54.079,7.031,8.305,14.025,107.168,103.005
2006-07,35.08,75.713,0.463,28.759,57.241,0.502,6.322,18.471,0.342,16.782,24.46,0.686,9.759,30.333,40.092,20.138,6.793,5.322,14.483,21.264,93.264,0.539,0.505,0.244,0.222,23.995,72.591,48.905,56.6,7.468,8.68,14.192,102.8,104.377
2007-08,33.831,76.337,0.443,27.916,59.795,0.467,5.916,16.542,0.358,16.675,22.928,0.727,8.952,28.217,37.169,19.807,7.096,4.277,14.482,20.12,90.253,0.522,0.482,0.217,0.218,21.611,71.499,46.047,58.211,7.795,6.98,14.206,99.164,108.641
2008-09,36.144,79.256,0.456,29.122,59.578,0.489,7.022,19.678,0.357,17.111,22.544,0.759,9.889,29.111,39.0,19.733,7.711,5.456,12.444,20.567,96.422,0.541,0.5,0.248,0.216,24.337,72.103,48.131,54.032,8.473,9.134,12.112,106.389,106.248
2009-10,35.818,78.455,0.457,29.818,61.216,0.487,6.0,17.239,0.348,17.273,23.0,0.751,10.477,30.614,41.091,18.591,7.273,5.477,13.273,20.727,94.909,0.536,0.495,0.22,0.22,25.544,74.418,49.95,51.183,7.994,9.197,12.914,104.902,103.056
2010-11,35.731,75.385,0.474,29.279,57.558,0.509,6.452,17.827,0.362,21.288,27.615,0.771,9.644,31.875,41.519,19.087,6.702,5.356,13.779,19.981,99.202,0.567,0.517,0.236,0.282,24.976,74.975,51.253,52.877,7.417,8.808,13.466,109.577,102.52
2011-12,36.111,77.344,0.467,30.256,60.878,0.497,5.856,16.467,0.356,19.022,24.833,0.766,10.222,30.622,40.844,19.1,8.367,5.211,14.456,19.5,97.1,0.55,0.505,0.213,0.246,25.992,73.173,50.423,51.96,9.131,8.796,13.879,106.319,99.493
2012-13,37.472,76.509,0.49,29.038,55.057,0.527,8.434,21.453,0.393,17.283,22.84,0.757,8.481,29.651,38.132,22.292,8.5,5.34,13.623,19.274,100.66,0.581,0.545,0.28,0.226,22.358,72.195,48.425,58.933,9.342,9.081,13.44,110.922,102.674
2013-14,37.379,74.903,0.499,29.117,52.583,0.554,8.262,22.32,0.37,17.223,22.563,0.763,7.243,28.718,35.961,21.476,8.534,4.311,14.126,19.515,100.243,0.591,0.554,0.298,0.23,19.611,73.148,47.242,56.835,9.348,7.798,14.089,110.388,105.733
2014-15,34.759,76.265,0.456,28.06,56.277,0.499,6.699,19.988,0.335,17.325,23.373,0.741,9.0,29.651,38.651,19.59,7.735,4.482,14.627,19.711,93.542,0.54,0.5,0.262,0.227,22.695,72.957,48.246,55.646,8.453,7.843,14.258,102.657,105.631
2015-16,37.794,80.66,0.469,31.67,62.639,0.506,6.124,18.021,0.34,16.845,22.546,0.747,9.629,34.052,43.68,19.979,6.485,6.33,13.804,18.546,98.557,0.544,0.507,0.223,0.209,22.921,77.605,51.233,52.244,6.864,10.078,13.1,104.945,103.068
2016-17,38.578,84.783,0.455,28.843,58.12,0.496,9.735,26.663,0.365,15.036,21.301,0.706,10.506,32.59,43.096,20.988,7.084,5.651,13.277,20.241,101.928,0.541,0.512,0.314,0.177,23.693,75.622,49.528,53.894,7.389,9.257,12.187,106.598,105.537
2017-18,38.261,84.216,0.454,27.386,54.17,0.506,10.875,30.045,0.362,14.841,19.818,0.749,9.216,33.614,42.83,22.511,7.545,5.33,14.295,20.386,102.239,0.55,0.519,0.357,0.176,20.816,77.657,49.301,58.272,7.759,9.435,13.206,105.518,105.658
