SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,35.386,86.446,0.409,31.988,74.831,0.427,3.398,11.614,0.293,17.205,24.386,0.706,16.205,28.735,44.94,21.542,8.94,4.94,15.675,20.807,91.373,0.47,0.429,0.134,0.199,32.567,69.008,49.377,60.024,9.455,7.189,13.724,96.922,106.457
2001-02,36.12,84.205,0.429,32.265,72.229,0.447,3.855,11.976,0.322,20.398,28.241,0.722,16.072,30.036,46.108,20.554,7.831,6.301,16.602,22.675,96.494,0.499,0.452,0.142,0.242,34.717,68.681,51.272,56.228,8.258,8.847,14.508,101.963,107.587
2002-03,36.88,83.627,0.441,31.759,68.747,0.462,5.12,14.88,0.344,22.325,28.699,0.778,15.47,30.675,46.145,20.627,7.157,6.096,15.602,21.518,101.205,0.526,0.472,0.178,0.267,34.223,67.417,51.045,55.239,7.584,8.377,13.792,107.348,108.436
2003-04,34.639,78.446,0.442,29.47,62.988,0.468,5.169,15.458,0.334,17.711,24.434,0.725,12.072,30.518,42.59,20.253,6.94,4.687,14.59,20.373,92.157,0.517,0.475,0.197,0.226,27.692,71.575,49.488,57.876,7.641,6.914,13.896,101.761,102.563
2004-05,36.494,84.807,0.43,28.976,63.434,0.457,7.518,21.373,0.352,17.012,23.554,0.722,12.88,29.349,42.229,21.819,7.735,5.06,13.398,22.084,97.518,0.512,0.475,0.252,0.201,27.225,69.412,47.099,59.105,8.155,7.429,12.208,103.328,105.751
2005-06,35.41,81.747,0.433,27.88,59.675,0.467,7.53,22.072,0.341,18.952,26.386,0.718,11.807,29.94,41.747,20.41,7.277,4.301,13.928,23.386,97.301,0.521,0.479,0.27,0.232,26.465,71.125,48.065,56.873,7.727,6.51,12.82,103.481,104.899
2006-07,38.968,84.479,0.461,30.223,59.926,0.504,8.745,24.553,0.356,18.745,26.053,0.719,11.34,29.266,40.606,22.755,9.181,5.596,15.67,23.681,105.426,0.549,0.513,0.291,0.222,25.186,68.359,46.218,57.33,9.244,8.791,13.877,106.393,106.339
2007-08,41.0,89.229,0.459,31.831,62.904,0.506,9.169,26.325,0.348,18.53,24.627,0.752,12.59,30.072,42.663,22.084,8.964,4.542,13.036,22.59,109.699,0.548,0.511,0.295,0.208,26.673,69.707,47.366,53.045,8.986,6.776,11.394,110.569,108.386
2008-09,38.928,85.0,0.458,32.301,67.229,0.48,6.627,17.771,0.373,22.807,28.819,0.791,11.482,30.024,41.506,20.614,7.687,6.349,14.47,22.193,107.289,0.549,0.497,0.209,0.268,25.517,67.376,46.467,52.127,7.736,9.034,12.777,108.151,111.887
2009-10,40.108,85.47,0.469,32.482,65.145,0.499,7.627,20.325,0.375,19.651,25.12,0.782,9.072,28.88,37.952,22.157,9.169,4.096,14.506,22.723,107.494,0.557,0.514,0.238,0.23,20.58,67.894,43.887,54.496,9.101,6.0,12.894,106.916,110.471
2010-11,39.169,84.904,0.461,30.916,63.831,0.484,8.253,21.072,0.392,15.542,20.422,0.761,11.506,28.554,40.06,22.253,8.88,4.892,14.434,21.759,102.133,0.544,0.51,0.248,0.183,26.081,68.781,46.92,56.228,9.298,7.598,13.131,106.913,109.301
2011-12,37.149,81.239,0.457,29.328,61.075,0.48,7.821,20.164,0.388,14.194,18.433,0.77,9.552,29.06,38.612,21.94,7.881,5.403,13.657,21.045,96.313,0.539,0.505,0.248,0.175,22.291,68.143,45.436,58.148,8.457,8.648,13.051,103.887,107.499
2012-13,37.874,82.663,0.458,29.853,62.663,0.476,8.021,20.0,0.401,16.526,21.105,0.783,10.768,33.853,44.621,22.158,6.779,4.263,15.095,21.453,100.295,0.545,0.507,0.242,0.2,25.254,74.812,50.806,57.819,7.095,6.867,13.954,105.42,104.507
2013-14,38.933,84.3,0.462,29.589,59.622,0.496,9.344,24.678,0.379,16.056,21.4,0.75,10.978,33.622,44.6,23.144,7.678,4.878,15.2,21.789,103.267,0.551,0.517,0.293,0.19,25.154,75.156,50.512,58.61,7.87,7.671,13.773,106.58,102.409
2014-15,40.5,85.635,0.473,29.702,58.154,0.511,10.798,27.481,0.393,15.75,20.904,0.753,10.538,33.933,44.471,26.567,8.942,5.933,14.346,20.183,107.548,0.567,0.536,0.321,0.184,23.84,74.306,49.822,64.836,9.124,9.338,13.044,109.963,100.175
2015-16,41.336,86.112,0.48,28.411,54.617,0.52,12.925,31.495,0.41,16.607,21.953,0.756,9.981,35.112,45.093,27.626,8.224,5.879,14.776,20.822,112.206,0.586,0.555,0.366,0.193,23.269,74.689,50.204,65.982,8.213,9.13,13.176,112.678,103.338
2016-17,42.62,86.19,0.494,30.64,54.98,0.557,11.98,31.21,0.384,18.09,22.82,0.793,9.28,34.93,44.21,29.71,9.33,6.59,14.43,19.55,115.31,0.599,0.564,0.362,0.21,22.284,74.509,50.188,68.819,9.277,10.905,12.908,115.054,103.247
2017-18,42.067,84.49,0.498,30.904,55.365,0.558,11.163,29.125,0.383,16.462,20.154,0.817,8.49,34.904,43.394,28.356,7.894,7.058,14.76,19.433,111.76,0.599,0.564,0.345,0.195,20.636,76.049,50.189,66.516,7.933,11.913,13.507,112.562,105.86
2018-19,43.01,88.152,0.488,30.105,54.4,0.553,12.905,33.752,0.382,16.895,21.019,0.804,9.714,35.429,45.143,28.933,7.505,6.19,14.257,21.6,115.819,0.595,0.561,0.383,0.192,22.692,76.621,50.728,66.594,7.412,10.983,12.656,114.745,109.079
2019-20,38.03,86.818,0.438,27.758,56.03,0.495,10.273,30.788,0.334,18.394,22.894,0.803,9.803,32.394,42.197,25.197,8.091,4.53,14.682,19.758,104.727,0.54,0.497,0.355,0.212,20.865,75.758,47.165,65.285,7.983,8.414,12.977,103.548,112.068
2020-21,40.693,86.987,0.468,26.36,48.893,0.539,14.333,38.093,0.376,16.267,20.733,0.785,7.92,34.64,42.56,27.2,8.027,4.76,14.947,20.933,111.987,0.583,0.55,0.438,0.187,17.703,75.628,47.127,65.853,7.831,8.627,13.285,109.539,108.633
2021-22,40.314,85.543,0.471,26.181,46.952,0.558,14.133,38.59,0.366,15.362,20.0,0.768,9.676,35.048,44.724,26.829,8.467,4.581,14.676,20.924,110.124,0.584,0.554,0.451,0.18,22.575,78.006,51.056,65.835,8.602,9.169,13.305,112.049,106.552
2022-23,42.531,89.688,0.474,26.375,47.052,0.561,16.156,42.635,0.379,15.688,19.906,0.788,10.698,33.771,44.469,29.292,7.104,3.99,15.865,21.406,116.906,0.594,0.564,0.475,0.175,24.251,75.157,50.121,68.103,6.934,7.249,13.784,114.529,113.052
2023-24,43.036,90.417,0.476,28.5,52.048,0.548,14.536,38.369,0.379,15.476,19.845,0.78,11.952,34.143,46.095,28.821,6.869,4.524,14.167,19.226,116.083,0.585,0.556,0.424,0.171,26.79,75.142,51.427,66.163,6.88,8.599,12.354,116.3,113.971
