SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2002-03,2002-10-30,JAZ,NHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03,2002-11-01,BUL,BUL,17.5,40.0,0.438,14.5,35.0,0.414,3.0,5.0,0.6,12.0,16.5,0.727,8.0,12.5,20.5,11.0,6.0,1.5,6.0,13.0,50.0,0.529,0.475,0.125,0.3,18.2,31.25,24.4,31.45,6.9,2.15,5.65,57.55,43.15
2002-03,2002-11-02,HEA,NHO,21.667,52.667,0.411,18.333,45.667,0.401,3.333,7.0,0.476,13.0,18.0,0.722,10.0,16.667,26.667,13.333,7.667,2.667,9.333,16.0,59.667,0.492,0.443,0.133,0.247,23.0,43.367,32.533,40.967,8.8,4.067,8.933,68.567,60.867
2002-03,2002-11-06,SUP,NHO,24.75,59.0,0.419,21.0,49.75,0.422,3.75,9.25,0.405,16.5,21.75,0.759,11.0,19.25,30.25,14.75,8.0,3.25,9.25,17.75,69.75,0.509,0.451,0.157,0.28,25.2,47.525,35.925,44.7,9.225,4.8,8.925,80.675,73.45
2002-03,2002-11-08,WAR,NHO,26.2,63.2,0.415,21.8,51.8,0.421,4.4,11.4,0.386,16.2,22.4,0.723,11.8,21.4,33.2,16.6,8.0,3.2,10.4,18.2,73.0,0.5,0.449,0.18,0.256,26.82,52.66,39.2,50.76,9.24,4.78,9.98,84.5,78.24
2002-03,2002-11-10,KNI,KNI,28.833,67.5,0.427,24.667,56.833,0.434,4.167,10.667,0.391,17.333,23.333,0.743,12.667,22.167,34.833,17.167,8.0,3.5,10.833,18.5,79.167,0.509,0.458,0.158,0.257,28.933,55.283,41.517,50.233,9.117,5.05,10.217,89.85,83.567
2002-03,2002-11-12,PIS,PIS,30.143,71.286,0.423,25.857,59.571,0.434,4.286,11.714,0.366,17.143,23.429,0.732,13.429,23.429,36.857,17.571,7.714,3.571,11.0,18.714,81.714,0.501,0.453,0.164,0.24,29.743,55.9,42.314,50.571,8.729,5.057,10.229,91.829,85.529
2002-03,2002-11-13,TIM,NHO,30.625,72.0,0.425,26.5,60.75,0.436,4.125,11.25,0.367,17.0,22.875,0.743,13.125,23.25,36.375,17.5,8.0,3.5,11.875,19.625,82.375,0.502,0.454,0.156,0.236,29.55,58.738,43.188,50.5,9.05,5.212,11.125,92.612,87.95
2002-03,2002-11-15,BUL,NHO,31.222,72.667,0.43,26.667,60.444,0.441,4.556,12.222,0.373,17.556,23.111,0.76,13.0,24.0,37.0,18.444,7.556,3.667,12.0,19.222,84.556,0.51,0.461,0.168,0.242,29.778,59.967,44.156,52.911,8.544,5.3,11.3,95.156,90.5
2002-03,2002-11-16,HAW,HAW,32.3,73.7,0.438,27.4,61.1,0.448,4.9,12.6,0.389,17.1,22.9,0.747,12.9,25.0,37.9,19.7,8.0,3.6,12.4,19.3,86.6,0.517,0.472,0.171,0.232,29.8,61.88,45.28,55.0,8.95,5.19,11.65,96.66,90.58
2002-03,2002-11-19,76E,NHO,32.273,75.364,0.428,27.455,62.545,0.439,4.818,12.818,0.376,16.818,22.545,0.746,13.273,25.364,38.636,19.091,8.182,3.364,12.364,19.455,86.182,0.505,0.46,0.17,0.223,29.709,62.845,45.391,53.691,9.127,4.864,11.564,95.991,91.155
2002-03,2002-11-22,KNI,NHO,32.917,75.917,0.434,28.167,63.167,0.446,4.75,12.75,0.373,16.667,22.167,0.752,13.417,26.167,39.583,19.25,7.917,3.833,12.917,19.583,87.25,0.509,0.465,0.168,0.22,30.442,64.092,46.567,53.592,8.825,5.4,12.05,97.058,92.533
2002-03,2002-11-23,CAV,CAV,33.385,76.846,0.434,28.538,64.0,0.446,4.846,12.846,0.377,17.0,22.462,0.757,13.462,26.462,39.923,20.231,8.154,4.077,13.154,19.154,88.615,0.511,0.466,0.167,0.221,30.723,64.408,46.969,55.785,9.023,5.754,12.192,97.969,93.154
