SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,2000-10-31,TIM,ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,BUC,ROC,17.0,37.0,0.459,16.0,32.5,0.492,1.0,4.5,0.222,14.0,20.0,0.7,5.5,13.5,19.0,9.0,4.5,3.5,9.0,8.5,49.0,0.535,0.473,0.122,0.378,13.1,33.75,23.15,26.45,4.7,4.55,8.2,51.45,55.65
2000-01,2000-11-04,CLI,CLI,24.0,49.667,0.483,19.333,37.667,0.513,4.667,12.0,0.389,18.333,24.0,0.764,6.667,18.0,24.667,13.0,4.667,4.333,11.0,15.667,71.0,0.589,0.53,0.242,0.369,17.3,46.2,31.867,36.067,5.0,6.067,10.267,77.067,71.667
2000-01,2000-11-05,SUN,SUN,25.25,58.25,0.433,20.5,45.0,0.456,4.75,13.25,0.358,16.5,21.75,0.759,7.75,20.75,28.5,14.25,6.5,4.0,11.75,17.25,71.75,0.529,0.474,0.227,0.283,18.7,54.25,35.675,42.575,7.075,5.95,11.05,78.3,75.075
2000-01,2000-11-07,LAK,ROC,26.8,61.4,0.436,21.8,48.2,0.452,5.0,13.2,0.379,18.6,24.8,0.75,9.4,21.2,30.6,15.4,6.4,4.0,12.4,18.0,77.2,0.534,0.477,0.215,0.303,22.96,56.54,38.94,46.18,7.06,6.08,11.68,85.74,84.32
2000-01,2000-11-09,VGR,ROC,27.167,63.0,0.431,22.333,49.5,0.451,4.833,13.5,0.358,19.167,24.5,0.782,9.833,22.833,32.667,15.833,7.167,3.5,13.833,18.333,78.333,0.531,0.47,0.214,0.304,24.4,60.717,41.883,48.833,7.983,5.383,13.167,87.5,84.4
2000-01,2000-11-11,BLA,BLA,27.714,63.714,0.435,22.857,50.286,0.455,4.857,13.429,0.362,19.0,24.429,0.778,9.857,23.143,33.0,16.857,7.143,3.286,14.857,18.286,79.286,0.532,0.473,0.211,0.298,25.0,63.2,43.357,52.457,8.014,5.1,14.3,89.243,85.414
2000-01,2000-11-12,LAK,LAK,28.875,65.5,0.441,24.375,52.375,0.465,4.5,13.125,0.343,18.125,23.125,0.784,9.25,22.75,32.0,17.0,7.5,3.125,14.75,18.875,80.375,0.531,0.475,0.2,0.277,23.4,66.175,42.825,51.975,8.362,4.862,14.3,89.95,89.688
2000-01,2000-11-14,BUL,ROC,29.111,66.333,0.439,24.667,53.111,0.464,4.444,13.222,0.336,19.778,25.111,0.788,9.556,22.889,32.444,16.444,7.444,3.333,14.778,19.444,82.444,0.533,0.472,0.199,0.298,23.978,65.489,42.944,50.5,8.278,5.089,14.278,91.878,92.367
2000-01,2000-11-16,CHO,ROC,30.1,66.8,0.451,25.3,53.0,0.477,4.8,13.8,0.348,20.2,25.8,0.783,9.7,23.8,33.5,17.1,7.6,3.3,15.0,19.2,85.2,0.545,0.487,0.207,0.302,25.13,65.34,43.96,51.35,8.46,4.96,14.52,94.99,92.41
