SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,2000-10-31,VGR,VGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,NUG,SUP,16.0,42.0,0.381,12.0,30.5,0.393,4.0,11.5,0.348,8.0,11.0,0.727,7.0,19.0,26.0,10.0,2.5,4.5,9.5,12.5,44.0,0.47,0.429,0.274,0.19,13.75,36.55,25.25,31.25,2.6,5.9,8.45,45.55,48.65
2000-01,2000-11-04,BLA,SUP,25.333,54.333,0.466,21.0,42.667,0.492,4.333,11.667,0.371,11.667,15.333,0.761,8.0,25.0,33.0,15.667,4.0,4.333,14.667,16.0,66.667,0.546,0.506,0.215,0.215,19.6,50.067,36.433,41.3,4.067,6.033,12.9,67.467,65.233
2000-01,2000-11-06,MAG,MAG,26.75,59.5,0.45,23.0,46.75,0.492,3.75,12.75,0.294,15.25,19.75,0.772,8.75,24.5,33.25,16.75,6.5,4.5,15.0,16.5,72.5,0.532,0.481,0.214,0.256,21.25,50.05,36.975,47.1,6.85,6.075,13.475,75.0,75.225
2000-01,2000-11-08,HEA,HEA,29.4,65.4,0.45,25.0,50.4,0.496,4.4,15.0,0.293,14.6,19.4,0.753,10.4,25.6,36.0,19.2,7.2,4.8,17.0,18.0,77.8,0.526,0.483,0.229,0.223,24.9,52.28,39.8,52.18,7.5,6.44,14.88,79.98,82.36
2000-01,2000-11-09,CHO,CHO,29.833,66.333,0.45,25.167,51.167,0.492,4.667,15.167,0.308,14.0,19.167,0.73,10.167,26.667,36.833,18.5,6.833,5.0,17.833,18.0,78.333,0.524,0.485,0.229,0.211,24.7,55.167,41.3,51.3,7.183,6.867,16.033,81.833,84.933
2000-01,2000-11-11,NNE,NNE,30.857,68.286,0.452,26.0,53.286,0.488,4.857,15.0,0.324,15.143,20.0,0.757,10.571,26.286,36.857,19.429,6.714,4.571,16.714,19.0,81.714,0.53,0.487,0.22,0.222,26.057,56.314,42.357,53.629,7.171,6.343,15.157,87.357,88.657
2000-01,2000-11-12,PIS,PIS,30.875,67.625,0.457,25.875,52.875,0.489,5.0,14.75,0.339,16.125,21.75,0.741,10.0,25.625,35.625,19.25,6.875,4.875,18.5,19.5,82.875,0.537,0.494,0.218,0.238,25.225,57.0,42.25,54.188,7.262,6.65,16.825,87.675,93.138
2000-01,2000-11-14,KNI,SUP,31.222,70.111,0.445,26.333,55.111,0.478,4.889,15.0,0.326,16.556,22.111,0.749,11.0,26.0,37.0,19.111,7.222,4.333,17.889,19.778,83.889,0.525,0.48,0.214,0.236,26.567,58.333,43.289,54.044,7.667,5.911,16.222,89.033,94.978
2000-01,2000-11-17,MAV,SUP,31.5,70.2,0.449,26.0,54.6,0.476,5.5,15.6,0.353,16.6,22.6,0.735,11.0,26.8,37.8,19.8,7.3,4.9,18.2,19.8,85.1,0.531,0.488,0.222,0.236,26.66,59.17,43.91,56.29,7.78,6.86,16.62,90.72,93.75
2000-01,2000-11-18,CLI,CLI,31.636,71.909,0.44,25.909,55.364,0.468,5.727,16.545,0.346,17.0,22.818,0.745,11.727,26.909,38.636,19.909,7.545,4.727,18.0,19.545,86.0,0.525,0.48,0.23,0.236,27.491,60.0,44.464,56.955,8.055,6.609,16.364,91.782,94.936
2000-01,2000-11-21,MAV,MAV,31.667,73.667,0.43,26.167,57.25,0.457,5.5,16.417,0.335,17.167,23.417,0.733,12.25,27.167,39.417,19.25,8.0,4.583,17.5,19.917,86.0,0.512,0.467,0.223,0.233,27.658,61.25,44.717,55.333,8.483,6.5,15.85,91.4,94.042
2000-01,2000-11-22,SPU,SPU,32.538,74.923,0.434,27.154,58.769,0.462,5.385,16.154,0.333,17.846,23.846,0.748,12.769,27.462,40.231,19.077,7.769,4.538,17.308,20.077,88.308,0.517,0.47,0.216,0.238,29.008,62.354,45.908,54.115,8.238,6.592,15.608,93.877,95.823
2000-01,2000-11-24,CLI,SUP,32.5,75.5,0.43,27.286,59.286,0.46,5.214,16.214,0.322,17.857,23.857,0.749,12.714,27.929,40.643,18.714,7.714,4.857,17.357,20.929,88.071,0.512,0.465,0.215,0.237,28.686,62.857,45.979,53.379,8.171,6.993,15.643,93.5,97.321
2000-01,2000-11-25,KIN,KIN,33.0,75.867,0.435,27.8,59.933,0.464,5.2,15.933,0.326,17.533,23.333,0.751,12.2,28.2,40.4,19.067,8.0,5.067,16.8,20.8,88.733,0.515,0.469,0.21,0.231,27.627,63.307,45.813,53.82,8.493,7.24,15.22,94.34,96.68
